iteration,value
0,8484.056289080047
1,146.9484555737919
2,127.53780274991074
3,108.30988416684289
4,92.52977593768284
5,79.07881502707771
6,66.21128042511423
7,53.922806514563085
8,42.24986308846546
9,32.12876903513121
10,22.29259070228901
11,17.388466905061147
12,13.13614034656814
13,9.199242034895118
14,8.802395322900697
15,5.708682891394879
16,3.8024131673863093
17,3.25263804273996
18,1.991135118910967
19,1.0771973061049944
20,0.6037690919865087
21,0.008816423740879265
22,-0.31497669438045217
23,-0.5840379875246813
24,-0.8436333069758388
25,-1.0142858809915463
26,-1.1325475568711862
27,-1.1986101420780084
28,-1.2443283623189736
29,-1.3010852843649316
30,-1.3268788784526062
31,-1.359353889938781
32,-1.3798628262664951
33,-1.3956285766028427
34,-1.4061887592656854
35,-1.4146019876070908
36,-1.4213217007598522
37,-1.425736191238466
38,-1.429967935174138
39,-1.4326395857093854
40,-1.435347308418028
41,-1.4371542094136818
42,-1.4390623412371313
43,-1.4404605326537456
44,-1.4419764656867509
45,-1.4429513462037658
46,-1.4442642112326638
47,-1.4455608755092555
48,-1.4471654034382397
49,-1.4485099780837107
50,-1.4497138422328502
51,-1.4508913245267179
52,-1.4522026820259184
53,-1.453524352812641
54,-1.455123327806724
55,-1.456338522538258
56,-1.4576187537300251
57,-1.4593490561474007
58,-1.4612381016839464
59,-1.4631459012805095
60,-1.4654208951060712
61,-1.4672647719721712
62,-1.469160907095911
63,-1.4707138676441867
64,-1.472315600277029
65,-1.4743361999568507
66,-1.4763241509919203
67,-1.4780817150254228
68,-1.4799420555185554
69,-1.4814533112487889
70,-1.483358009467838
71,-1.4856240178570281
72,-1.4878623152172064
73,-1.4898039803275926
74,-1.4919588090512084
75,-1.493927531818962
76,-1.4958323043574777
77,-1.496262871411126
78,-1.4995636740777987
79,-1.5023926999003328
80,-1.5051582083285502
81,-1.507397111772077
82,-1.509488758933573
83,-1.5116092338228766
84,-1.5133462134265212
85,-1.515552862972567
86,-1.517615372861786
87,-1.519569038340879
88,-1.5210231257772777
89,-1.521498832516352
90,-1.5253124386386059
91,-1.5286382256301827
92,-1.5309069407066973
93,-1.5323434412271473
94,-1.5342850714277636
95,-1.536669834457769
96,-1.5390220934447214
97,-1.5412602757362144
98,-1.542906099098712
99,-1.5447105422705711
100,-1.5463961292335233
101,-1.5488225874309605
102,-1.5512880320395577
103,-1.5544429079964999
104,-1.5567435887450363
105,-1.5589560560704636
106,-1.5611548553822017
107,-1.5631281045184902
108,-1.5649644658880173
109,-1.5664897715851507
110,-1.5679557325465336
111,-1.5718569898533823
112,-1.5742689641260406
113,-1.5763405727467112
114,-1.5780498629879012
115,-1.579368050313944
116,-1.581244038910802
117,-1.584167099452354
118,-1.5864072162984735
119,-1.5880653369833626
120,-1.5901185036753347
121,-1.5929050784296375
122,-1.5952941407704058
123,-1.5967557898245297
124,-1.5983335275202326
125,-1.6020672173024955
126,-1.603940805073996
127,-1.6056846081545029
128,-1.6076387160636323
129,-1.6096392807509023
130,-1.6115695880611007
131,-1.6136405972247254
132,-1.6154024913637826
133,-1.6173389803678881
134,-1.6197061321398518
135,-1.6225582987827967
136,-1.6252295329691333
137,-1.6273628889197376
138,-1.629519119726299
139,-1.6308323681556138
140,-1.6332873826457714
141,-1.6353407312283792
142,-1.6372885019941323
143,-1.6393630695870134
144,-1.6414603122633
145,-1.6433494799147055
146,-1.6455252858387586
147,-1.6481258028993113
148,-1.6503566049594753
149,-1.6523660188847882
150,-1.6545971669265196
151,-1.6568623874120492
152,-1.6587264861783493
153,-1.6610578555666493
154,-1.663567881588682
155,-1.665182754508786
156,-1.6667195929020873
157,-1.668550815026208
158,-1.6708738724481724
159,-1.672127658953227
160,-1.6747545888158848
161,-1.6773500397711627
162,-1.6793081494883018
163,-1.6815047251754893
164,-1.6833355260862637
165,-1.6839475939161606
166,-1.6869503010481426
167,-1.6893744448142947
168,-1.6913615115063625
169,-1.693284903177557
170,-1.6949434751783155
171,-1.69740220158468
172,-1.6997150355011539
173,-1.701936525299302
174,-1.7038889075413366
175,-1.70555157273919
176,-1.7070841864463655
177,-1.7075533128553797
178,-1.7105992135505823
179,-1.7134380622868808
180,-1.7156608762554535
181,-1.7174613362484268
182,-1.718379564713336
183,-1.7208086495499173
184,-1.722413841786031
185,-1.724734930224022
186,-1.7264385878446713
187,-1.7284998561073235
188,-1.7299284623445674
189,-1.7318361168845429
190,-1.73414635433859
191,-1.7359978536343676
192,-1.7369140315973222
193,-1.739338136962725
194,-1.741589841731261
195,-1.7432843797191233
196,-1.7452236152838068
197,-1.7466628529154336
198,-1.7467612480045198
199,-1.7501518958753681
200,-1.753287173054227
201,-1.7557324146737747
202,-1.7578517122884887
203,-1.7593396684100038
204,-1.760862803164522
205,-1.760702223215194
206,-1.7643919895382623
207,-1.7671656258612916
208,-1.76911289209836
209,-1.7707595594813341
210,-1.7719219966801114
211,-1.7746521380540332
212,-1.7774159733348718
213,-1.7797154952845404
214,-1.779980685176735
215,-1.7827302421089257
216,-1.7845649139646262
217,-1.7865768462905203
218,-1.788699768572403
219,-1.790192734687928
220,-1.7916734441027073
221,-1.794106492113634
222,-1.795755574606475
223,-1.797359242029079
224,-1.7992025071956754
225,-1.8018635523119984
226,-1.8038219174520504
227,-1.8056273732697492
228,-1.8079649697554494
229,-1.8099195006479314
230,-1.812158622168673
231,-1.8131888155756204
232,-1.8156633463611636
233,-1.8182414201712818
234,-1.8199725219295795
235,-1.8222335762525752
236,-1.8230688868560352
237,-1.824468258902121
238,-1.82854249986369
239,-1.8304851558123367
240,-1.8298341907687843
241,-1.8340650327536254
242,-1.8362793722655104
243,-1.8387715941341876
244,-1.8406178207151047
245,-1.8421313544901092
246,-1.8442384962066698
