iteration,value
0,1209.8869174258418
1,30027.710289517872
2,741.6135143440886
3,736.8906026398757
4,723.3481403515299
5,712.3780530230052
6,703.7361189491978
7,696.9175063886573
8,691.4170908947991
9,687.1261990425166
10,683.5406573659978
11,680.2685014065233
12,676.9451078999876
13,673.53782636074
14,669.8078989504147
15,666.0708939850015
16,662.0102545896328
17,657.616779940849
18,652.9308135366881
19,647.9414110830365
20,642.597274244445
21,636.2271507358565
22,629.4089474838087
23,621.2667145623292
24,612.5990947971205
25,602.7311129012371
26,592.1663579924679
27,580.1265470756784
28,566.5322324437082
29,552.8401512573495
30,537.5249600920735
31,523.9328029399992
32,507.8952517493282
33,489.2922659099192
34,471.681173303908
35,458.55529594001695
36,436.9125163964674
37,415.3018070651098
38,396.21974080170446
39,384.7842986867172
40,359.9186634468674
41,359.3052490075877
42,331.4810580735871
43,318.9687138767727
44,307.773086830775
45,291.7566896050874
46,275.19049912613497
47,265.4272231694872
48,253.82992345196084
49,245.61188263229533
50,226.94094527333726
51,218.93636083250587
52,209.76860004276088
53,195.99467538112256
54,185.83429147855924
55,178.71056080721985
56,173.1301223142273
57,160.9388640231494
58,153.65926352762202
59,152.63615298169844
60,151.77992330998464
61,145.13599114661832
62,135.50541448854406
63,129.67760882730627
64,121.75488038775768
65,116.74918947070809
66,113.96975761751146
67,108.04513152938891
68,102.65035577439569
69,99.7973721127968
70,94.89578601735268
71,91.83750434735612
72,87.5982994725333
73,84.59834888803056
74,81.57083097301914
75,77.32837586829598
76,74.43789164329358
77,73.59203055402521
78,70.92885617569645
79,67.86259229171417
80,66.27864057159812
81,64.69241975654008
82,62.78994870994282
83,60.73994792902336
84,59.00321632386861
85,56.68853541881354
86,55.63892376105594
87,53.811539215092964
88,52.65204469185925
89,50.885264974393145
90,49.708269799423704
91,48.216347378492706
92,47.21439075565246
93,45.40675029436337
94,44.36997294568217
95,42.91349808705358
96,42.294022033832704
97,40.27585523131475
98,39.78820831997147
99,38.33150202398011
100,37.76965822604048
101,36.7605568719346
102,36.44005888416089
103,35.097689886332894
104,34.74703046217242
105,33.831640146125814
106,33.551511199418606
107,32.73297233348458
108,32.34200383012458
109,31.80425057997654
110,31.517085563077607
111,30.70490758522029
112,30.440573000453117
113,29.83446097926705
114,29.682928987105722
115,29.308261848700287
116,28.97953286254643
117,29.03655527130088
118,29.577850986718754
119,28.52479068309133
120,28.304765054337658
121,28.382693343591352
122,28.21732564487131
123,27.8553040157184
124,27.904930276923107
125,27.953727569809086
126,27.502061499560646
127,27.441093848768737
128,27.220834758659798
129,27.07149123985502
130,26.89298033893506
131,26.69796166592543
132,26.481080582573092
133,26.251928906163684
134,26.039466516683618
135,25.85163378892354
136,25.560954065884918
137,25.36481123305265
138,25.100779417725207
139,24.953442912068283
140,24.76702160818725
141,24.6305194156958
142,24.441365956626882
143,24.2828080456071
144,24.116244038413793
145,23.960011126658223
146,23.826448506362823
147,23.673892500669925
148,23.47048979284075
149,23.346294767916724
150,23.223970696881768
151,23.10424845258461
152,22.95088765299771
153,22.839856632984592
154,22.707300882371374
155,22.631932817101276
156,22.474136909056913
157,22.489953185762122
158,22.471675294781267
159,22.33376681853139
160,22.394137347440527
161,22.390671771393453
162,22.244931094393532
163,22.28022986180819
164,22.25605778840029
165,22.109047967180356
166,22.100328981753027
167,22.126063791322164
168,21.972427188693647
169,21.948882561128798
170,21.883655803374005
171,21.83188845827646
172,21.766170208300334
173,21.69079805151393
174,21.60420237798121
175,21.505278588118752
176,21.42154477695495
177,21.34569867459577
178,21.279831263703496
179,21.202412897913916
180,21.176747134725147
181,21.067593941650237
182,21.025988389569626
183,20.902689695332683
184,20.825361213253277
185,20.92535633604128
186,20.92637448164947
187,20.78851763902973
188,20.871183750274692
189,20.820636930867366
190,20.70679039823965
191,20.772845871530407
192,20.774633485113693
193,20.656064850769383
194,20.672270814958786
195,20.71041158597274
196,20.567813555918143
197,20.534742469042843
198,20.528275358308136
199,20.472596787714227
200,20.425557189399147
201,20.3854035257472
202,20.332652900849617
203,20.282161872224307
204,20.22070785445636
205,20.182680308593206
206,20.121486249952763
207,20.091940901099036
208,20.010172614337147
209,19.951437971492627
210,19.903446531527347
211,19.8596296428827
212,19.78353232439156
213,19.75367205041731
214,19.708924932597142
215,19.626570328484437
216,19.7344280300701
217,19.764493194097383
218,19.60516029514
219,19.71579439346825
220,19.675034203343827
221,19.565111351662996
222,19.652502530398973
223,19.644913948035356
224,19.530297509821008
225,19.58346442748117
226,19.64327265150831
227,19.48064271286478
228,19.478360807834992
229,19.436441252875913
230,19.43962329817025
231,19.47546758238492
232,19.38803876456637
233,19.36250109837491
234,19.34288568006537
235,19.311646499504107
236,19.286194690805292
237,19.251929132902124
238,19.219026235805888
239,19.179173310830702
240,19.1520357649548
241,19.119369912303426
242,19.08661070850761
243,19.04663977225696
244,19.012644662055294
245,18.98073784361603
246,18.947395765331162
247,18.90783921997922
248,18.875194078876444
249,18.831493218868832
250,18.814513511023666
251,18.796393911346637
252,18.727939984465515
253,18.76223232277156
254,18.715196581550032
255,18.66721536878315
256,18.675786364603802
257,18.647725477700565
258,18.606225180509778
259,18.602381494697283
260,18.562914554654313
261,18.53763112121911
262,18.508207104024216
263,18.479465493332892
264,18.453637117639
265,18.432505628933008
266,18.40569464024757
267,18.400052130869057
268,18.357783193225305
269,18.329084180517835
270,18.300501146960638
271,18.27443612338995
272,18.24516927497847
273,18.21008761691107
274,18.19356106233999
275,18.15228857562265
276,18.127603517877258
277,18.088767125668078
278,18.07008033930008
279,18.04201326334358
280,18.01252676641395
281,18.013473658493226
282,17.981195935546786
283,17.971389619686448
284,17.93553081551243
285,17.91191583572297
286,17.8851960058765
287,17.867987009293202
288,17.832188774052025
289,17.811538590026036
290,17.784998389088106
291,17.766427046304056
292,17.739102087154972
293,17.713808647898173
294,17.701306705114202
295,17.67738906602703
296,17.661702685900888
297,17.632139149955623
298,17.608715194186917
299,17.592196168438136
300,17.557108480963347
301,17.536123954073137
302,17.513576762939056
303,17.507021289331433
304,17.489625356055154
305,17.471150431663037
306,17.451190419361875
307,17.4488695737525
308,17.419427592515838
309,17.403292586581777
310,17.379081050822123
311,17.38627354723645
312,17.43354042334309
313,17.334707599549134
314,17.503212385083497
315,17.586233259829744
316,17.34320971915879
317,17.811704175158265
318,17.944703088973377
319,17.36591106637391
320,18.728030006453725
321,19.15359291368831
322,17.518196770509405
323,19.475730074959383
324,19.89304255276683
325,17.737670132360083
326,21.366240972293852
327,20.943268461766085
328,18.3373386879122
329,21.066273652610633
330,19.475803751376123
331,19.52915677483809
332,19.07932671721005
333,21.664720063715173
334,22.07051185252034
335,25.44815448715522
336,28.37185365809425
337,28.541940060077568
338,30.873653993085338
339,38.8748177300443
340,47.49802295888528
341,65.68796187541959
342,101.45196717870701
343,96.84256658722755
344,143.10345269564775
345,182.14181703042118
346,209.7749811738001
347,217.09576562239647
348,234.34511143690497
349,264.4012562154616
350,280.8658010227611
351,269.9343065950552
352,259.9264760122234
353,273.62306228896915
354,293.9509755262176
355,292.60866307538976
356,301.4559737103134
357,308.2581197913394
