iteration,value
0,-4.538347371910804
1,-471.7960369033412
2,-614.5822531818028
3,-638.4019252013273
4,-723.7785042426818
5,-763.5412635415516
6,-780.8037552174249
7,-826.0156476937749
8,-841.3050546182538
9,-864.4721427101061
10,-858.2835429877304
11,-889.0546633001744
12,-855.6007300936977
13,-914.6164839147408
14,-889.3085893046813
15,-933.6514000046353
16,-952.2021906763875
17,-953.3804311473688
18,-949.7246437384424
19,-959.211111627951
20,-970.2943867122398
21,-975.1533876814805
22,-971.8294217395254
23,-1012.801156517151
24,-1011.2071444640379
25,-1030.5495203820071
26,-990.9874454649989
27,-1069.0153759698026
28,-1034.79484366092
29,-1152.2627157148647
30,-1148.7886433709086
31,-1209.9621449079991
32,-1217.5146003368986
33,-1225.3768269179618
34,-1272.2546410440707
35,-1276.4677851048875
36,-1239.9984750766262
37,-1322.2136728654966
38,-1389.090242869942
39,-1446.476449356078
40,-1423.1347348601903
41,-1502.0247946623124
42,-1514.6537581079228
43,-1571.9825902115624
44,-1622.6564185787795
45,-1713.5916553879736
46,-1768.9053582774397
47,-1824.7787783847768
48,-1940.93427215614
49,-2018.1778355264826
50,-2129.7150040857755
51,-2254.2285941423793
52,-2393.6313421814516
53,-2549.683562082669
54,-2722.4644524224195
55,-2917.517091645746
56,-3147.9676585392335
57,-3414.7854804323706
58,-3706.687325689009
59,-4042.4924207831073
60,-4429.142304641175
61,-4869.037856052493
62,-5359.654020531213
63,-5917.253909288588
64,-6536.806549562013
65,-7232.408518307397
66,-8020.1341068958645
67,-8905.446493925116
68,-9893.467663008449
69,-11004.032752155385
70,-12252.32818829377
71,-13647.23560500832
72,-15212.463875814834
73,-16957.812767971765
74,-18902.556238565634
75,-21073.140258761345
76,-23501.13845730721
77,-26212.16373840865
78,-29226.175995974747
79,-32589.260576029927
80,-36334.2426724884
81,-40510.38410246116
82,-45166.88302730981
83,-50349.388132027874
84,-56118.813581463895
85,-62540.47921919236
86,-69683.80355498084
87,-77633.39546868253
88,-86476.48294286542
89,-96309.26699790863
90,-107258.79176615641
91,-119437.90648228124
92,-132977.59913232285
93,-148025.34219962228
94,-164751.39030207365
95,-183351.8547838308
96,-204034.6952558803
97,-227018.36953694126
98,-252568.60829553189
99,-280979.4373292746
100,-312555.28568468505
101,-344138.7261013773
102,-379244.42463942757
103,-418265.67671845213
104,-457293.3592704919
105,-500670.464338873
106,-548878.4962034969
107,-597092.0938036283
108,-650678.0279425922
109,-710218.8768614485
110,-769768.4338962308
111,-835940.600762117
112,-909476.2156930508
113,-983007.6241717091
114,-1064723.0405859877
115,-1155530.914960331
116,-1246350.3056256755
117,-1347258.64534203
118,-1459384.7807466418
119,-1571517.2936491023
120,-1696126.0593441466
121,-1834580.529810194
122,-1973030.2111946472
123,-2126875.8673549145
124,-2297818.643305734
125,-2468761.441386922
126,-2658715.187481702
127,-2869776.5697602974
128,-3080840.203640013
129,-3315367.9090446285
130,-3575956.9195698206
131,-3836545.35181762
132,-4126085.6801936207
133,-4447803.7349044
134,-4769530.398434599
135,-5127014.482076856
136,-5524210.880802164
137,-5921410.3827596065
138,-6362749.785979247
139,-6853133.446653147
140,-7343527.365507218
141,-7888401.558121453
142,-8493820.615708556
143,-9099237.321698813
144,-9771926.906494563
145,-10519365.248365294
146,-11266809.141474273
147,-12097304.175065843
148,-13020077.998294065
149,-13942851.69809044
150,-14968168.426661326
151,-16107411.622752534
152,-17246648.97016548
153,-18512467.334688753
