iteration,value
0,18771.65988158994
1,962275768982.7037
2,331664511.76560885
3,327636595.7135865
4,323259540.67904437
5,318514741.992574
6,312808008.284105
7,306177963.9613498
8,298654405.48499644
9,291028128.24175924
10,281981234.5576376
11,272904119.1313889
12,261982024.91831592
13,251241797.4266908
14,240605686.84462294
15,229604786.22380403
16,217516968.5210191
17,204832920.87885255
18,192617794.94453713
19,180009035.55127162
20,166486822.54848102
21,153789651.75086167
22,142496321.81134078
23,131349986.76102132
24,122126315.28432827
25,112998683.92735706
26,102016910.81101502
27,93558813.30495249
28,84208312.54424433
29,75683363.53335275
30,68239766.30273433
31,62038707.6065342
32,56553681.23472398
33,50416186.282697335
34,44593164.218870014
35,40341306.73694234
36,36130754.690634206
37,29999398.264193773
38,26715171.12404538
39,24140891.464191686
40,21731667.483037427
41,19616815.99549012
42,17871666.167518035
43,15688456.228986455
44,14363305.90971006
45,12848186.573023533
46,11745906.202104656
47,10787642.475559726
48,9924728.799408214
49,9159620.93391925
