iteration,value
0,-7.813428243286387
1,-21.41155560016043
2,-29.568056314503334
3,-35.8620807231126
4,-41.34709466568192
5,-46.4507260524893
6,-51.39749796893096
7,-56.32738743935657
8,-61.339955791842016
9,-66.5139994075524
10,-71.91751289060434
11,-77.61329839940845
12,-83.66243169936766
13,-89.48021010525999
14,-95.72923340033205
15,-102.47049289309616
16,-109.03955225275583
17,-116.17438737618045
18,-123.94455689779353
19,-131.57814839077383
20,-139.92771109219674
21,-149.0764166893648
22,-158.11220277508482
23,-168.04150215340456
24,-178.96554032082267
25,-189.79343694253953
26,-201.72965608160655
27,-214.8982631795415
28,-227.98311326041585
29,-241.55612193697817
30,-255.12728852800598
31,-268.69661353908697
32,-282.2640974758757
33,-295.82974084409386
34,-309.39354414952976
35,-322.955507898039
36,-336.51563259554337
37,-350.07391874803176
38,-363.63036686155954
39,-377.1849774422483
40,-390.73775099628654
41,-404.2886880299287
42,-417.83778904949577
43,-431.3850545613748
44,-444.93048507201934
45,-458.4740810879482
46,-472.01584311574703
47,-485.5557716620667
48,-499.09386723362456
49,-512.6301303372028
50,-526.1645614796504
51,-539.697161167881
52,-553.2279299088741
53,-566.7568682096745
54,-580.2839765773929
55,-593.8092555192045
56,-607.33270554235
57,-620.8543271541356
58,-634.3741208619318
59,-647.892087173175
60,-661.4082265953654
61,-674.9225396360689
62,-688.4350268029158
63,-701.9456886036008
64,-715.4545255458838
65,-728.9615381375888
66,-742.4667268866037
67,-755.970092300882
68,-769.4716348884403
69,-782.9713551573598
70,-796.469253615786
71,-809.965330771928
72,-823.4375891348185
73,-823.6748066977528
74,-826.0783154484789
75,-835.6751644719727
76,-846.8226533620744
77,-854.7012223077571
78,-863.8857311085717
79,-874.0763098182581
80,-885.2232293843962
81,-893.0193140375931
82,-903.1106591221378
83,-914.4648353194441
84,-923.821361664229
85,-934.7441692282522
86,-943.7085272532494
87,-951.7700725635444
88,-962.27312794406
89,-973.7685735504319
90,-986.3212189593443
91,-999.3575413996658
92,-1011.8334227138935
93,-1018.1311530157858
94,-1029.6648293257203
95,-1040.3741674214111
96,-1052.6608096495127
97,-1062.7101208989172
98,-1074.4815481959345
99,-1084.3731235903292
100,-1096.1869271579094
101,-1107.6466673080597
102,-1118.86633505763
103,-1131.3307441511133
104,-1140.622386331097
105,-1150.9286114281524
106,-1162.916867714675
107,-1173.8779830398764
108,-1185.849669608721
109,-1196.7414296463942
110,-1201.1500489404573
111,-1211.5168241775386
112,-1223.5716671601751
113,-1232.7678577102442
114,-1243.0320473137508
115,-1253.0160475370146
116,-1263.7425264084409
117,-1272.5303858784903
118,-1281.1912345023607
119,-1293.0187141456659
120,-1303.0255027582616
121,-1313.784037342261
122,-1326.6309083933115
123,-1337.5597826512094
124,-1350.1844175586095
125,-1358.9581530624882
126,-1371.924876089548
127,-1384.3056191989485
128,-1394.2879962707575
129,-1405.9151532398632
130,-1416.3821348693723
131,-1426.8646834521467
132,-1437.7956164392028
133,-1449.2061953478687
134,-1460.9392553980742
135,-1471.4089918800007
136,-1483.1722165987198
137,-1494.8018236506377
138,-1506.6308633803233
139,-1519.4405308721127
140,-1531.9315088963704
141,-1543.7212264864897
142,-1555.7830049859135
143,-1567.840825675646
144,-1580.4398739996204
145,-1593.4739947337973
146,-1605.3252952829275
147,-1617.8759450493876
148,-1630.3941465899252
149,-1643.0509490960565
150,-1656.1569747397814
151,-1668.9479065436333
152,-1681.6970444569993
153,-1694.3025595650472
154,-1707.0854491964265
155,-1719.7096537942714
156,-1731.0814107040578
157,-1743.7752112080746
158,-1755.3965328790766
159,-1767.8084381697322
160,-1779.169086655144
161,-1791.7706024753415
162,-1802.6771160515843
163,-1814.4777269035712
164,-1826.1132340010524
165,-1837.7456393598104
166,-1849.2179863367298
167,-1860.4814333277418
168,-1872.4436554021295
169,-1884.644010768894
170,-1895.910548565583
171,-1907.1961228794248
172,-1919.7925461061222
173,-1932.0678767087
174,-1942.998074719327
175,-1955.3495909698481
176,-1966.6119817402232
