iteration,value
0,2.457755273422499
1,0.49792454147722054
2,0.25640119466374206
3,0.26402722441658993
4,0.1589011689951113
5,-0.8319806844342623
6,-1.0381067110220024
7,-1.4199333131017033
8,-1.636971266499264
9,-2.806328883861187
10,-3.8947934188013105
11,-3.9120857457842977
12,-4.225305412238935
13,-4.154928681920076
14,-4.253083822116532
15,-4.101713744142724
16,-4.215264904552557
17,-4.240872411750407
18,-4.318643983925967
19,-4.344137423687023
20,-4.406942495212246
21,-4.3941477233397395
22,-4.340275077568448
23,-4.391857757353562
24,-4.411010678109987
25,-4.448679522842468
26,-4.44975265417095
27,-4.4572485714645715
28,-4.463832044509708
29,-4.4609101499080115
30,-4.445458342401561
31,-4.439361997519425
32,-4.244462758874314
33,-4.443677734247655
34,-4.3076198229656235
35,-4.405155910344856
36,-4.13647102642364
37,-4.272013083500619
38,-3.8018680570746
39,-4.203087090541129
40,-3.7530670112864146
41,-3.833039377923105
42,-3.618399704200161
43,-3.984883460809267
44,-4.093460265077761
45,-3.7091649918955594
46,-4.293924196320288
47,-4.479348735225019
48,-4.525297127164862
49,-4.5431885332452016
50,-4.552428276596047
51,-4.5577747263078425
52,-4.562390585937628
53,-4.565154920550488
54,-4.568573818583855
55,-4.56175082560804
56,-4.576245134589583
57,-4.569949935627982
58,-4.5773886366311975
59,-4.561983817963962
60,-4.582569661748496
61,-4.579023472052092
62,-4.588661694085858
63,-4.585649098669663
64,-4.592502396910997
65,-4.5915426907790176
66,-4.596867559371584
67,-4.5957001213759145
68,-4.598935864986695
69,-4.598204377644833
70,-4.600796444706703
71,-4.600671820876271
72,-4.602179610653369
73,-4.602417954439911
74,-4.602927593181429
75,-4.603210056841367
76,-4.603527745023825
77,-4.603786560052182
78,-4.6040538995505695
79,-4.604321270402278
80,-4.604591637623054
81,-4.604896930247076
82,-4.605228705865184
83,-4.6056033345049485
84,-4.605927457468926
85,-4.606343627372733
86,-4.6066696445477735
87,-4.606989557604889
88,-4.607291913083911
89,-4.607589425715495
90,-4.607900497730301
91,-4.608247570195199
92,-4.60858870446697
93,-4.608915990362316
94,-4.609308411038513
95,-4.609682567150583
96,-4.6100597224669215
97,-4.610393688905134
98,-4.6107080435245775
99,-4.611117371633863
100,-4.611408886303344
101,-4.611847758111844
102,-4.612092327219858
103,-4.612505806717337
104,-4.6127520665717325
105,-4.613006982573134
106,-4.613225278984302
107,-4.613432850664872
108,-4.613665466537134
109,-4.61394332828941
