iteration,value
0,3.4420985750877877
1,-1.7748480079467257
2,-3.7493214827846977
3,0.07239728027898495
4,0.19348154941073947
5,-1.2680258416989107
6,-3.191297435948316
7,-4.597774187796785
8,-3.3291225610236586
9,-3.8075591138805063
10,-4.8674500664432605
11,-5.216025824459577
12,-4.626990449417278
13,-3.1440472040510783
14,-4.062000586135977
15,-4.528174982409572
16,-5.089901700314117
17,-5.0698317858159845
18,-5.4690551924057065
19,-5.572304949978149
20,-5.525117696754585
21,-5.807554575618367
22,-5.761047700733102
23,-6.005856458016557
24,-5.7504046864081575
25,-5.886716816152978
26,-6.071764249379363
27,-6.107865886060617
28,-6.123888329304691
29,-6.118806870622496
30,-6.107702260925037
31,-6.170198849501333
32,-6.155485091860483
33,-6.199846079307106
34,-6.205801177925484
35,-6.21353567912828
36,-6.269148762596721
37,-6.279934345424645
38,-6.304745029906335
39,-6.311758840527155
40,-6.3196829208695275
41,-6.3295955496749725
42,-6.332290875602229
43,-6.33824502526369
44,-6.340595597798004
45,-6.343553022634356
46,-6.346174173177009
47,-6.348896236025176
48,-6.351153272690535
49,-6.35354001082785
50,-6.355849241865119
51,-6.358053329827299
52,-6.35988223599846
53,-6.362324829569568
54,-6.364604078239299
55,-6.367063674809867
56,-6.369430513682326
57,-6.371753114371479
58,-6.373700551137971
59,-6.375761484710762
60,-6.377910419652904
61,-6.380001511538372
62,-6.38207306577517
63,-6.384167186510183
64,-6.385998864148151
65,-6.387850128847172
66,-6.3899196385191255
67,-6.392103278493603
68,-6.394085029032723
69,-6.396262479909931
70,-6.3984024324333895
71,-6.400512350400568
72,-6.402366592126704
73,-6.40409760873804
74,-6.406097169645646
75,-6.4080248801465345
76,-6.41004591594907
77,-6.412013785918143
78,-6.413732739217724
79,-6.415456202260533
80,-6.417367596195832
81,-6.419163588102196
82,-6.421165777574593
83,-6.423145460749571
84,-6.424892073898602
85,-6.42651418287089
86,-6.42850746717461
87,-6.43035893532644
88,-6.4321246263079335
89,-6.433829216880217
90,-6.435371102076874
91,-6.437381579271537
92,-6.4392900224456975
93,-6.441269890466639
94,-6.442858053270056
95,-6.444684230400372
96,-6.446537154757932
97,-6.448224974927826
98,-6.4498204932838865
99,-6.451765171442002
100,-6.4535506761252055
101,-6.455386031875457
102,-6.456720826272504
103,-6.4585982079306286
104,-6.460294943115824
105,-6.461946848880147
106,-6.463445449399755
107,-6.464941990069995
108,-6.466502342239296
109,-6.468184141938541
110,-6.46984759784822
111,-6.471696776739187
112,-6.473671772696562
113,-6.475631817187083
114,-6.476922110595684
115,-6.478801801891287
116,-6.480311227440048
117,-6.48171016112037
118,-6.483302684632513
119,-6.4850543687516975
120,-6.486706631597397
121,-6.488422444711752
122,-6.489788694610538
123,-6.491401671661723
124,-6.492990545501508
125,-6.494602586697489
126,-6.496058284290635
127,-6.497371349673078
128,-6.498894573031916
129,-6.500514185530319
130,-6.502042049669774
131,-6.50369601329008
132,-6.505232067155146
133,-6.506560739261327
134,-6.50820481667594
135,-6.509601850475639
136,-6.510930945058372
137,-6.512496005985511
138,-6.513965207926118
139,-6.5153651190445805
140,-6.516579072464224
141,-6.518235170104978
142,-6.519738354293408
143,-6.521034894545643
144,-6.522546297926725
145,-6.524272096507296
146,-6.525603077701294
147,-6.526978600893681
148,-6.528421018570323
149,-6.52957070525264
150,-6.530996833503941
151,-6.532413988833597
152,-6.533783221551085
153,-6.535275884275572
154,-6.536735986443206
155,-6.53793146362747
156,-6.539298489628259
157,-6.540493544306899
158,-6.5419345750689
159,-6.543004519719458
160,-6.544384181526342
161,-6.545642854676601
162,-6.546812200246822
163,-6.548064285444987
164,-6.549510063871715
165,-6.550619877036007
166,-6.551989594703329
167,-6.553527466867804
168,-6.55481946260271
169,-6.555867702885445
170,-6.557330257445609
171,-6.5587486233775065
172,-6.559873635266406
173,-6.56124833562179
174,-6.562391527259339
175,-6.5635678657093806
176,-6.564816063164815
177,-6.566051277564748
178,-6.567154654011629
179,-6.5683202711410225
180,-6.569548093862895
181,-6.5707570384310845
182,-6.571778579140438
183,-6.573032654398364
184,-6.574240195047253
185,-6.575306376274371
186,-6.576272465674886
187,-6.5774382070785045
188,-6.578682858878693
189,-6.580052355927078
190,-6.581437256514812
191,-6.582621220381063
192,-6.583748957498553
193,-6.584988991624616
194,-6.586044689258111
195,-6.587323804187765
196,-6.5884615202805294
197,-6.589595885601248
198,-6.590524860387275
199,-6.5918599365226695
200,-6.59285616970816
201,-6.5937710035496275
202,-6.594866563246694
203,-6.596084876017675
204,-6.597212957075343
205,-6.598451395185664
206,-6.599621748156869
207,-6.600613852469646
208,-6.601594456801813
209,-6.60262884171718
210,-6.603652900936455
211,-6.604573094623253
212,-6.605592547804095
213,-6.606747357494174
214,-6.607739716676722
215,-6.608751375624416
216,-6.6095777834955
217,-6.610702807532222
218,-6.611678867184853
219,-6.612734599929993
220,-6.613558095486821
221,-6.6146453041742435
222,-6.615570086977934
223,-6.616438138852606
224,-6.617299429614374
225,-6.618305131760349
226,-6.619274761274467
227,-6.620325827929577
228,-6.6213173914797006
229,-6.622129543638429
230,-6.623070391541016
231,-6.62380867086041
232,-6.624778098675461
233,-6.625732561239003
234,-6.6264309542292406
235,-6.627504154922173
236,-6.628380235674522
237,-6.629183346685011
238,-6.630071636829973
239,-6.630864250934784
240,-6.631722669391157
241,-6.632548511463565
242,-6.633277391239309
243,-6.6340123274396525
244,-6.634931637957278
245,-6.635841823475792
246,-6.636640906898
247,-6.637440273255364
248,-6.63827697827059
249,-6.638953292928536
250,-6.6399085824403175
251,-6.640952817735994
252,-6.641808696897272
253,-6.642573020369476
254,-6.643299313251506
255,-6.644104672564673
256,-6.644879634225503
257,-6.645549289153983
258,-6.646373521514434
259,-6.647488024891815
260,-6.648166202429229
261,-6.6490570691122475
262,-6.649736899719404
263,-6.650517898117051
264,-6.651217748555838
265,-6.651914933223663
266,-6.652671333680175
267,-6.6537315065289935
268,-6.65447849098955
269,-6.655234894567505
270,-6.65586164221287
271,-6.656628778877195
