iteration,value
0,93.74984639734888
1,9.644261332060095
2,6.412473687191098
3,2.408721903846404
4,0.3620562119153341
5,-0.1189054116171806
6,-0.37028633267246547
7,-0.4808756007244438
8,-0.5516957327707993
9,-0.5229056614982573
10,-0.6813178994746466
11,-0.724364294597136
12,-0.7434140756519317
13,-0.7979899885166846
14,-0.8452959830998722
15,-0.8701784242459762
16,-0.9345826768828303
17,-0.9340936886808231
18,-0.9391459419954251
19,-0.9621164356850986
20,-0.9766679916390687
21,-0.9848619214098082
22,-0.9949612847267547
23,-0.9944523310345891
24,-0.9954109358460798
25,-1.0022050428624931
26,-1.0049296766235332
27,-1.0066272651943762
28,-1.0069197489420134
29,-1.0079582122200372
30,-1.008958721596969
31,-1.0099133451236846
32,-1.0105432684166096
33,-1.010960420971209
34,-1.0112653494856945
35,-1.0114267287641023
36,-1.0116416627239089
37,-1.0117916011878645
38,-1.0118774574104363
39,-1.0119368623890548
40,-1.0119824945219913
41,-1.0120299601095308
42,-1.012078947211747
43,-1.0121077681448762
44,-1.012135008591832
45,-1.0121510236720288
46,-1.0121620624891203
47,-1.0121705330459798
48,-1.012177500687529
49,-1.0121830023806409
50,-1.0121864917684034
51,-1.0121891795941047
52,-1.0121915351074
53,-1.0121939870683792
54,-1.0121957312879892
55,-1.0121967591191507
56,-1.0121977594032574
57,-1.0121987149004505
58,-1.012199405552624
59,-1.0121999304398825
60,-1.0122003816267837
61,-1.0122007083877875
62,-1.0122009825672542
63,-1.012201193853059
64,-1.0122013651351696
65,-1.0122015031900582
66,-1.0122016187202263
67,-1.0122017131772518
68,-1.012201794545416
69,-1.012201857915701
70,-1.0122019130154218
71,-1.012201957124389
72,-1.0122019910366649
73,-1.0122020216831944
74,-1.0122020449719533
75,-1.0122020663804074
76,-1.012202083795171
77,-1.0122020970981276
78,-1.0122021090221507
79,-1.0122021198912663
80,-1.0122021290357137
81,-0.4658282354547434
82,-0.22782183801881462
83,-0.8585919620881615
84,-0.806800332539154
85,-0.933107423572386
86,-0.8953705496279248
87,-0.9316177779002828
88,-0.9885499278513141
89,-0.97933152040133
90,-0.9682450101504643
91,-0.9974342295445482
92,-1.000302484547602
93,-1.0016749289834999
94,-1.0047468685138838
95,-1.0073531711788182
96,-1.008649315032501
97,-1.0096447365961274
98,-1.0104628854438023
99,-1.0110813794842908
100,-1.0113494584303488
101,-1.0116167612179956
102,-1.0116751879207766
103,-1.0117823865878528
104,-1.0118543995237774
105,-1.011909621208671
106,-1.0119620949795658
107,-1.0120002772163796
108,-1.0120414230221233
109,-1.012077287129548
110,-1.0120996981236487
111,-1.0121109042839307
112,-1.0121268499868838
113,-1.0121384297474212
114,-1.0121480696504843
115,-1.01215484645919
116,-1.0121599813956337
117,-1.0121664934273447
118,-1.0121741025140514
119,-1.012178734639483
120,-1.0121816930644836
121,-1.0121846612938332
122,-1.012187518650216
123,-1.0121894785309944
124,-1.012191432268814
125,-1.0121927969300883
126,-1.0121942477057662
127,-1.0121954125418595
128,-1.0121963349078367
129,-1.0121971754658756
