iteration,value
0,75.39748123495184
1,16.225174324289704
2,6.85126136250956
3,3.6129044489698154
4,2.377345530855141
5,1.670583290272555
6,1.2421111057491454
7,0.950986003914612
8,0.7446791778853918
9,0.5924984608181681
10,0.4760854898491624
11,0.38554925490980857
12,0.31371392380980756
13,0.25624656524183
14,0.20988067573630878
15,0.17291386126125005
16,0.1429732784677741
17,0.11843096441681437
18,0.0984387770921261
19,0.08177439773887256
20,0.06791512784788403
21,0.05648685127231125
22,0.047116144194856414
23,0.03935373516375958
24,0.03285251755919181
25,0.027462842635888836
26,0.022975148015867756
27,0.019259990663151722
28,0.01615465270831737
29,0.013571935478759714
30,0.01161885983618307
31,0.009930876052489025
32,0.00860059597008063
33,0.00742887748656164
34,0.006490295389184533
35,0.0057229591743594745
36,0.005027425737646329
37,0.0043998371583524485
38,0.0038884920122511353
39,0.003424091740415005
40,0.003043385516304564
41,0.002694585508423694
42,0.0024060830765235113
43,0.0021408122677594532
44,0.0019211052488511773
45,0.0017159044999532024
46,0.0015265152501187525
47,0.001370021182404117
48,0.0012237217038328814
49,0.0011011541471316084
50,0.0009874037529953182
51,0.0008913156661047207
52,0.0008011090866567501
53,0.000717036939683292
54,0.0006461934071578618
55,0.0005803419340426882
56,0.0005248181389918366
57,0.00047264668654390545
58,0.0004239663385728955
59,0.00038299589923382094
60,0.00034457017461347097
61,0.00031187371868072024
62,0.00028101387296954934
63,0.0002522609511309395
64,0.00022794749772259243
65,0.00020504315884197405
66,0.0001855103521036921
67,0.00016723456055528873
68,0.0001502261935206169
69,0.00013577142559815277
70,0.0001222472071513633
71,0.00011072291972823556
72,9.984323057339264e-05
73,8.974025470606596e-05
74,8.119484012759733e-05
75,7.318411284246241e-05
76,6.637489723017023e-05
77,5.993810103272783e-05
78,5.389177684140848e-05
79,4.8761785318959306e-05
80,4.393808244782006e-05
81,3.985785076009202e-05
82,3.5996024210628645e-05
83,3.2381347786011545e-05
84,2.9311511119716552e-05
85,2.6411835987650197e-05
86,2.3937833215814613e-05
87,2.1609422407273357e-05
88,1.9438261720888945e-05
89,1.7606361803026134e-05
90,1.5887977222155303e-05
91,1.4419559395799666e-05
92,1.303146588146731e-05
93,1.1724259783413389e-05
94,1.061855091677416e-05
95,9.574108394056538e-06
96,8.598358633989893e-06
97,7.770320945891129e-06
98,6.991121930512141e-06
99,6.328503585722207e-06
100,5.704527828159858e-06
101,5.11858279069419e-06
102,4.62521307446491e-06
103,4.1616847246959015e-06
104,3.7708762728357256e-06
105,3.40185509347248e-06
106,3.054170485278487e-06
107,2.7587581239075526e-06
108,2.4811210005762765e-06
109,2.246994342355941e-06
110,2.0247131878006523e-06
111,1.8177218224143718e-06
112,1.6430633880646732e-06
113,1.4777160319254818e-06
114,1.338137404533859e-06
115,1.2059177913001913e-06
116,1.0936624809473353e-06
117,9.87388600663548e-07
118,8.869751772935492e-07
119,8.01917992716474e-07
120,7.217328226836097e-07
121,6.534926296634114e-07
122,5.890796521551227e-07
123,5.285890985486061e-07
124,4.772837184040697e-07
125,4.2949049190910966e-07
126,3.8869190306252865e-07
127,3.503865617646948e-07
128,3.143205725879784e-07
129,2.836362772556387e-07
130,2.54865568158681e-07
131,2.3059285797305683e-07
132,2.077055267894057e-07
133,1.8620438449377418e-07
134,1.680891288083227e-07
135,1.2635052432572388e-08
136,4.671183175664571e-09
137,2.4835850143857203e-09
138,1.5627032478473015e-09
139,1.0963895239277967e-09
140,8.221721682893207e-10
141,6.451126154140377e-10
142,5.239938344176888e-10
143,4.360392801378668e-10
144,3.699014420108395e-10
145,3.1835585037427575e-10
146,2.7752804389050166e-10
147,2.4443632782573614e-10
148,2.170920365234542e-10
149,1.9440722147273338e-10
150,1.752985285713846e-10
151,1.5890810651423878e-10
152,1.4482225277126615e-10
153,1.3265171503793747e-10
154,1.2203883050452683e-10
155,1.1269950392446341e-10
156,1.0447529702846e-10
157,9.71826288583472e-11
158,9.06611601017369e-11
159,8.480241143489038e-11
160,7.952731797128437e-11
161,7.477337441583719e-11
162,7.047584077086268e-11
163,6.655181465790085e-11
164,6.297868231156841e-11
165,5.97003930275796e-11
166,5.6681876370100454e-11
167,5.390440533068499e-11
168,5.133559972590721e-11
169,4.896296533673022e-11
170,4.676168974600925e-11
171,4.471444600073182e-11
172,4.281224565590385e-11
173,4.1033056161244966e-11
174,3.937127936624955e-11
175,3.7812674493945406e-11
176,3.6350369581612766e-11
177,3.497488414987594e-11
178,3.367974655716944e-11
179,3.2463574714237105e-11
180,5.101755190423041e-12
181,2.0923829748028533e-12
182,1.1701428988490678e-12
183,7.724164269588068e-13
184,5.510143671949807e-13
185,4.168172796863332e-13
186,3.277408185944369e-13
187,2.656315497668561e-13
188,2.2064993593237186e-13
189,1.8678109481587699e-13
190,1.605786696126092e-13
191,1.3978445622289763e-13
192,1.229107474560547e-13
193,1.090587844184733e-13
194,9.753137340628894e-14
195,8.782872034204491e-14
196,7.957443102121845e-14
197,7.248523449595443e-14
198,6.635715336902259e-14
199,6.100397685153223e-14
