iteration,value
0,4193.815043574951
1,4155.362966769624
2,4150.442634272862
3,4150.386737228582
4,4150.377885943659
5,4150.376323681779
6,4150.376043290386
7,4150.375996600299
8,4150.375986973524
9,4150.375984654035
10,4150.3759840248285
11,4150.375983838506
12,4150.375983778836
13,4150.375983758881
14,4150.37598375158
15,4150.375983748937
16,4150.375983747977
17,4150.375983747566
18,4150.375983747415
19,4150.375983747324
20,4150.375983747267
21,4150.3759837472435
22,4150.375983747222
23,4150.375983747205
24,4150.3759837471935
25,4150.375983747183
26,4150.375983747176
27,4150.375983747171
28,4150.375983747167
29,4150.375983747164
30,4150.375983747162
31,4150.375983747161
32,4150.37598374716
33,4150.375983747159
34,4150.375983747158
35,4150.375983747158
36,4150.375983747157
37,4150.375983747157
38,4150.375983747157
39,4150.375983747157
40,4150.375983747157
41,4150.375983747157
42,4150.375983747157
43,4150.375983747156
44,4150.375983747156
45,4150.375983747156
46,4150.375983747156
47,4150.375983747156
48,4150.375983747156
49,4150.375983747156
50,4150.375983747156
51,4150.375983747156
52,4150.375984106092
53,4150.375984424703
54,4150.375984277077
55,4150.375983817041
56,4150.375983752737
57,4150.375983749085
58,4150.3759837488105
59,4150.375983747939
60,4150.375983747704
61,4150.375983747567
62,4150.375983747412
63,4150.3759837473335
64,4150.375983747315
65,4150.375983747268
66,4150.375983747226
67,4150.375983747194
68,4150.3759837471825
69,4150.375983747174
70,4150.375983747168
71,4150.375983747165
72,4150.3759837471625
73,4150.375983747161
74,4150.37598374716
75,4150.375983747158
76,4150.375983747158
77,4150.375983747157
78,4150.375983747157
79,4150.375983747157
80,4150.375983747157
81,4150.375983747157
82,4150.375983747157
83,4150.375983747156
84,4150.375983747156
85,4150.375983747156
86,4150.375983747156
87,4150.375983747156
88,4150.375983747156
89,4150.375983747156
90,4150.375983747156
91,4150.375983747156
92,4150.375983747156
