iteration,value
0,12499892177.685963
1,12492123680.224644
2,12471018719.046686
3,12451072302.64053
4,12431522863.516415
5,12411630833.81047
6,12390785840.044739
7,12368451071.921923
8,12344106128.623316
9,12317206697.036129
10,12287153865.87704
11,12256747480.576817
12,12222599036.44482
13,12183934188.53071
14,12144361048.673756
15,12099439775.586292
16,12048126664.627878
17,11995212319.361057
18,11934739560.727072
19,11865287028.27221
20,11793354733.874794
21,11710848658.216997
22,11615859397.653084
23,11517341896.03189
24,11404275580.773642
25,11274195456.626652
26,11139548494.932995
27,10985468782.860458
28,10809020587.006754
29,10627520338.274942
30,10421379357.918596
31,10187630544.559284
32,9923422539.400423
33,9656234446.447292
34,9358775709.531096
35,9029935379.94113
36,8669804792.53936
37,8319115050.034015
38,7944642640.430265
39,7550482424.6739235
40,7181924448.597229
41,6839403762.164259
42,6487403131.076383
43,6163622376.936489
44,5833187179.667908
45,5531540259.509623
46,5226500348.56121
47,4950228991.493746
48,4668647710.485272
49,4401401508.592336
50,4102735236.911977
51,3752779194.2413335
52,3345314664.472185
53,2916992404.2150917
54,2551041160.523176
55,2311821569.5386286
56,2101392601.4633784
57,1806791196.9933624
58,1330090606.4430575
59,745811446.6212564
60,220915572.76925904
61,15977823.237016482
62,982060.6740339012
63,854768.9059101563
64,334729.4254652726
65,324223.12814811413
66,276413.40764897346
67,274905.86500394344
68,273056.175731389
69,255177.9510715719
70,252681.58040119542
71,248490.82615797457
72,248601.1031896192
73,247807.00358824455
74,246845.7330586978
75,246833.48775614606
76,246589.34007950136
77,246440.6700364979
78,246413.69970250994
79,246352.92564068682
80,246349.19070606123
81,246268.2193301566
82,246268.05771929323
83,246241.99612432386
84,246224.63814305983
85,246215.78112225354
86,246212.9166757256
87,246205.37293528885
88,246202.67536619346
89,246200.44605670276
90,246198.62622273547
91,246197.1358639145
92,246195.96083427983
93,246194.8777540124
94,246193.627356882
95,246192.59551170887
96,246191.6347619662
97,246190.72373531884
98,246189.83350568434
99,246188.90379242704
100,246187.90260974475
101,246186.86809901384
102,246185.81681919476
103,246184.6896041558
104,246183.39573015337
105,246182.13917576833
106,246180.71505015116
107,246179.29092714295
108,246177.8034847335
109,246176.26599830773
110,246174.65528387806
111,246172.91297517714
112,246171.04405927387
113,246169.06576918403
114,246167.10046958592
115,246164.89372683654
116,246162.59594030882
117,246160.31091707217
118,246157.88855999394
119,246155.34195948803
120,246152.76210446935
121,246150.04406427196
122,246147.13210378218
123,246144.27610512913
124,246141.38516134873
125,246138.36232783366
126,246135.20568859816
127,246132.15596362652
128,246128.87275202802
129,246125.80112236412
130,246122.4963291467
131,246119.08312351495
132,246115.62116676412
133,246112.17103759735
134,246108.67324521637
135,246105.12198371306
136,246101.8071843696
137,246098.4325539026
138,246095.05001629604
139,246091.62855486735
140,246088.10383274467
141,246084.54031536717
142,246080.9651689715
143,246077.57726720427
144,246073.89247446618
145,246070.09964327453
146,246066.7860017877
147,246063.36956410715
148,246059.93499130313
149,246056.48153382225
150,246053.00304627162
151,246049.4473642599
152,246045.9040134545
153,246042.36650616486
154,246038.81765757472
155,246034.90385804643
156,246031.07422355431
157,246027.16761823036
158,246022.8218480603
159,246018.64820277976
160,246014.8684543316
161,246011.35395074464
162,246008.09884144465
163,246004.82478746472
164,246001.53433373157
165,245997.96645293458
166,245994.06079081484
167,245990.14155208145
168,245986.12722994736
169,245982.28119551679
170,245978.97073737255
171,245975.83043316455
172,245972.76424497395
173,245969.5813911808
174,245966.03881953366
175,245962.06895422222
176,245958.11041025602
177,245954.2273446794
178,245950.2184518474
179,245946.5288307264
180,245943.22162244364
181,245939.82402588348
182,245936.4615189017
183,245932.72187535328
184,245928.5550436612
185,245924.10261598654
186,245919.76739156852
187,245915.50014578225
188,245911.2586523514
189,245907.03816042235
190,245902.8598231155
191,245898.78602720145
192,245894.84234125135
193,245891.00344049334
194,245887.52106626198
195,245884.42408834404
196,245881.22918789106
197,245878.0025122145
198,245874.4925438964
199,245870.62030159376
200,245866.3441129115
201,245862.2530569652
202,245858.14407694535
203,245853.96838470746
204,245849.94179115078
205,245845.98034804384
206,245841.84403487883
207,245838.02319547813
208,245834.14875668386
209,245830.3831012649
210,245826.67470467655
211,245823.10401368223
212,245819.4323112344
213,245815.3444532479
214,245811.03920819407
215,245806.61308575998
216,245802.07197990816
217,245797.50698585864
218,245793.7684949816
219,245789.6156628242
