iteration,value
0,22.296573013651777
1,-31.34167982513477
2,-37.57288025955252
3,-42.479925180182356
4,-44.505414691792396
5,-46.40724322306256
6,-46.96727742419843
7,-47.04989253307295
8,-47.069492065189735
9,-47.07424165652071
10,-47.07712990601972
11,-47.07921835019319
12,-47.08041108950085
13,-47.08119887068777
14,-47.08181409800149
15,-47.08212250724806
16,-47.08237953549437
17,-47.082467094376604
18,-47.08259100878822
19,-47.082653681420375
20,-47.0827052365706
21,-47.08272326697213
22,-47.082748787356806
23,-47.0827692817202
24,-47.082782918715
25,-47.08279082683191
26,-47.08279774118415
27,-47.08280341983728
28,-47.082808398079315
29,-47.08281192564542
30,-47.082814745615664
31,-47.082817143384844
32,-47.08281908286128
33,-47.08282035771169
34,-47.08282236369368
35,-47.08282370964385
36,-47.08282476702664
37,-47.082825711314975
38,-47.08282649531304
39,-47.08282715465752
40,-47.08282772379546
41,-47.082828202879426
42,-47.08282862829287
43,-47.08282896307267
44,-47.082829240139866
45,-47.0828294561332
46,-47.082829619924695
47,-47.082829763751306
48,-47.08282990063678
49,-47.08283001342694
50,-47.08283009511963
51,-47.08283017161312
52,-47.082830234831036
53,-47.08283028643726
54,-47.08283032909128
55,-47.082830362817326
56,-47.082830390137055
57,-47.08283041499766
58,-47.08283043477705
59,-47.0828304515298
60,-47.08283046788213
61,-47.082830481117114
62,-47.08283049283978
63,-47.08283050303214
64,-47.08283051156481
65,-47.082830518596495
66,-47.082830524171584
67,-47.08283052853453
68,-47.08283053245088
69,-47.08283053556237
70,-47.08283053830212
71,-47.08283054037486
72,-47.082830542193435
73,-47.0828305436391
74,-47.08283054494248
75,-47.08283054608733
76,-47.08283054700516
77,-47.08004514766145
78,-47.08163498909712
79,-47.08151131077508
80,-47.08188941382903
81,-47.08230858527874
82,-47.08257951660217
83,-47.08258381676674
84,-47.08264896196355
85,-47.08271406559955
86,-47.082724568281975
87,-47.08276757529367
88,-47.08276702562667
89,-47.0827758804258
90,-47.0828003859789
91,-47.08280322875999
92,-47.08281158655291
93,-47.082816409795605
94,-47.08281951138777
95,-47.082822681330526
96,-47.08282395673042
97,-47.082825118190044
98,-47.082826199214054
99,-47.082827115303914
100,-47.08282767086877
101,-47.082828152775676
102,-47.08282855698123
103,-47.08282885187036
104,-47.082829071651275
105,-47.08282929264013
106,-47.08282948098193
107,-47.08282963308638
108,-47.08282975777661
109,-47.082829865605866
110,-47.08282995931722
111,-47.08283003901906
112,-47.08283011082363
113,-47.08283017640813
114,-47.08283023050852
115,-47.08283027834549
116,-47.08283032167355
117,-47.082830358168714
118,-47.082830386221985
119,-47.08283041110584
120,-47.08283043141121
121,-47.08283044920154
122,-47.082830465654176
123,-47.08283047906139
124,-47.082830489451524
125,-47.08283049922585
