iteration,value
0,442.6049637886109
1,141.01369100423486
2,13.48732978278886
3,0.1100130950390635
4,0.03246556156051203
5,0.011633872333514721
6,0.006690363355533274
7,0.00598738231462412
8,0.005997132543675102
9,0.005962577132591909
10,0.005978902953596
11,0.005967680007807118
12,0.0059696147993917245
13,0.0059836493797153344
14,0.005989874970283951
15,0.005990333884461241
16,0.006019697598874689
17,0.006045116474596916
18,0.006059804121033796
19,0.0060794962123753085
20,0.006094860526779833
21,0.006095732660075089
22,0.006133062707873489
23,0.006143509882258773
24,0.006150161148150579
25,0.0061592612584046155
26,0.006172903705069977
27,0.006190315259826762
28,0.0061893779424853825
29,0.006221526755854851
30,0.006225321733570539
31,0.006215717165420988
32,0.006216428323064305
33,0.006232697812740412
34,0.006239721949191121
35,0.006113022091988611
36,0.006047966448804625
37,0.006051263675815708
38,0.00605289659387835
39,0.005874470728389887
40,0.005876038950893058
41,0.0057960019395374325
42,0.005688795178110107
43,0.005633437503608032
44,0.005573582508128703
45,0.0054648094559071785
46,0.0053407990190112165
47,0.0052125149795236025
48,0.005103448620804834
49,0.004918624146710608
50,0.004831784512102611
51,0.004688370084462892
52,0.004586440123569518
53,0.004361625601215791
54,0.004262932253923258
55,0.0041220468676582255
56,0.00402982343120976
57,0.003886190800742206
58,0.003786306394073748
59,0.0037128591561666063
60,0.003673424325231269
61,0.0035954760760083617
62,0.003568742650473905
63,0.0035138593747553884
64,0.0035069352695062173
65,0.003468444985091177
66,0.003392638472314166
67,0.003388564021548113
68,0.0033569183807926352
69,0.0033318621231616862
70,0.003121100167269759
71,0.0029687917601226342
72,0.002821192760020894
73,0.002827484783986007
74,0.00277114088650601
75,0.002607775488110587
76,0.0021288028501113224
77,0.001964482128352898
78,0.0019104073823641452
79,0.0015690741885653764
80,0.0013914733783250608
81,0.0013152226852321685
82,0.0013034910556109019
83,0.001119542326579969
84,0.0010920243569632578
85,0.0009638415170706006
86,0.0008532386202116056
87,0.0007841752503447264
88,0.0007722724356839647
89,0.000716935905526986
90,0.0006683954631308867
91,0.000652408530268272
92,0.0006131076236703053
93,0.0005751481845816501
94,0.0005389694667949791
95,0.0005119449747527525
96,0.00048504392752447096
97,0.0004438313536023452
98,0.0003854886574627129
99,0.0003206092165374041
100,0.0003068407627932255
101,0.00024902467241021305
102,0.0002309769693205389
103,0.00019585214757380888
104,0.00017851125255812677
105,0.0001556511116879024
106,0.0001478719496317631
107,0.00011950275430168213
108,0.00011255893679388787
109,9.349800556687374e-05
110,8.82716823052936e-05
111,7.765876020512053e-05
112,7.334319379023008e-05
113,6.7588221894275e-05
114,6.676458205677965e-05
115,6.158838681417946e-05
116,5.861619388614826e-05
117,5.717167671753677e-05
118,5.565690119149304e-05
119,5.459351548510298e-05
120,5.344710302010764e-05
121,5.336742236150934e-05
122,5.1803171159378356e-05
123,5.001019998441654e-05
124,4.976971762815563e-05
125,4.836790113112758e-05
126,4.808852449419549e-05
127,4.706653139075628e-05
128,4.636793342687456e-05
129,4.6206778645855717e-05
130,4.625648395046169e-05
131,4.539580144806479e-05
132,4.462889769705839e-05
133,4.4307613401270466e-05
134,4.375861615156214e-05
135,4.3378643892053923e-05
136,4.305344443062292e-05
137,4.266595742330437e-05
138,4.196853758318275e-05
139,4.162129762595307e-05
140,4.120438575765254e-05
141,4.091996756900966e-05
142,4.048328839686101e-05
143,4.013605622048552e-05
144,4.013549096233719e-05
145,4.014797607435127e-05
146,3.9805052119825467e-05
147,3.9369384843956855e-05
148,3.918183685737674e-05
149,3.869621876542513e-05
150,3.819521607320479e-05
151,3.804024601325528e-05
152,3.785210608194397e-05
153,3.726022065206759e-05
154,3.693388683073379e-05
155,3.658936065474204e-05
156,3.642217644394586e-05
157,3.609605707656032e-05
158,3.571748048537697e-05
159,3.575800180580351e-05
160,3.5736365283231395e-05
161,3.519431665632593e-05
162,3.4991616851249046e-05
163,3.4482181560787136e-05
164,3.439959496415433e-05
165,3.398013108850205e-05
166,3.37924311498267e-05
167,3.355943130484119e-05
168,3.338769321736778e-05
169,3.3147133295836445e-05
170,3.296102536820085e-05
171,3.271546502615712e-05
172,3.241009233661947e-05
173,3.243828817922712e-05
174,3.234953748549114e-05
175,3.194800975028735e-05
176,3.1720546596712324e-05
177,3.148787051340482e-05
178,3.145169583637825e-05
179,3.116142659169775e-05
180,3.106402801058897e-05
181,3.0877392868413334e-05
182,3.073212032960825e-05
183,3.0599855411018105e-05
184,3.0510665570615973e-05
185,3.0382273806107658e-05
186,3.0270466253042394e-05
187,3.0232283066685713e-05
188,3.0082600089127296e-05
189,2.9899307133037945e-05
190,2.984447821657984e-05
191,2.9638164166742927e-05
192,2.9556620236123162e-05
193,2.9437055530787924e-05
194,2.935581009757191e-05
195,2.9274372338585624e-05
196,2.92147111840058e-05
197,2.9152318179433323e-05
198,2.9100851042125954e-05
199,2.899315221691786e-05
200,2.8988453966020653e-05
201,2.8907142151880347e-05
202,2.8844436241373253e-05
203,2.877245660958964e-05
204,2.8751729495941593e-05
205,2.870518268243906e-05
206,2.8623035067885892e-05
207,2.8586134350341813e-05
208,2.8509730574924526e-05
209,2.84874638260333e-05
210,2.8432848259538316e-05
211,2.841411068635755e-05
212,2.837421434321646e-05
213,2.8350196833864242e-05
214,2.8328831094288398e-05
215,2.830566273758152e-05
216,2.829745506813473e-05
217,2.8284292112180347e-05
218,2.8234840440599613e-05
219,2.822436848634833e-05
220,2.8194705254025465e-05
221,2.8185440409607555e-05
222,2.8162679446392018e-05
223,2.815107260674614e-05
224,2.813321177727601e-05
225,2.812400062188715e-05
226,2.8108780030333527e-05
227,2.809955267182969e-05
228,2.808685396744259e-05
229,2.8078347313344586e-05
230,2.807211978280369e-05
231,2.8060681200897243e-05
232,2.8049676010280376e-05
233,2.8042873460348836e-05
234,0.0048528763462053655
235,0.0060960969007367305
236,0.006475362369587927
237,0.006782250056871222
238,0.006924360106287371
239,0.007023282752672119
240,0.0071112226500226715
241,0.007136372139623807
242,0.0069677544967893055
243,0.006700579129710851
244,0.00646633757921075
245,0.005953543293377851
246,0.005594754391064006
247,0.005532840170945812
248,0.005240618326798201
249,0.004864339651995523
250,0.004361444429479643
251,0.00404483821492799
252,0.003674756365013082
253,0.0033970018688193855
254,0.0030471003612044557
255,0.0027297388584934788
256,0.002528962086026651
257,0.002108187391836123
258,0.0019655947628448574
259,0.0016391869813621306
260,0.0015037676786945156
261,0.0013166685269435769
262,0.0012660603142456784
263,0.001080178370489047
264,0.0009677555026253566
265,0.0009009649703676256
266,0.0008106005149539793
267,0.0007546713865931217
268,0.000634570277236551
269,0.0005916349451506565
270,0.0005718457297249388
271,0.0004932262578010479
272,0.0004420058688285294
273,0.0004064315844334256
274,0.00039011600687755026
275,0.0003565574363853121
276,0.00035234244238830417
277,0.00032596019659660605
278,0.000289075215706589
279,0.0002632444113857778
280,0.00021122083584109407
281,0.00018870842754532767
282,0.00018702250113101436
