iteration,value
0,0.0061036574434500945
1,-24.899462619016088
2,-37.74741349503429
3,-47.53648222750931
4,-59.638519210788075
5,-63.768155871125984
6,-68.3655572302178
7,-75.80877222438177
8,-78.40319446412616
9,-80.71246636527788
10,-82.96990667374051
11,-85.2562799445455
12,-88.80511507189318
13,-91.16845140231885
14,-94.12512607036041
15,-96.6985745329425
16,-99.44650292928355
17,-102.07212860140335
18,-105.27957992275923
19,-107.53150192979622
20,-110.65030537661706
21,-114.04300941959771
22,-116.40162386179335
23,-119.66554092010318
24,-123.14328523292286
25,-125.60280526126944
26,-128.94936720612887
27,-131.32162532330113
28,-134.63300248585682
29,-136.9557997148751
30,-140.33672231483524
31,-142.9324788848515
32,-145.9737117197915
33,-149.7565216626157
34,-152.31961761222158
35,-155.91555411816378
36,-159.9070241677344
37,-162.78663094716012
38,-166.84027461509922
39,-169.8615808672991
40,-174.49211317662377
41,-177.971434037533
42,-183.3228171037659
43,-186.87470951759397
44,-191.86006818065437
45,-198.44183705975166
46,-203.14982041962966
47,-208.87252862687131
48,-217.6790728502578
49,-225.20761372481465
50,-232.2980128857094
51,-240.47623738487982
52,-249.68792874680165
53,-260.2485995313223
54,-272.713616815081
55,-286.8373814537881
56,-302.74615447671755
57,-320.63977112708164
58,-340.0581429359511
59,-361.3922241202364
60,-387.5151497859059
61,-418.466544256675
62,-452.3245543362233
63,-490.8807085200144
64,-534.5680593102596
65,-584.9107706346515
66,-641.029664186153
67,-703.14734440917
68,-771.5936254892903
69,-850.3838844248736
70,-940.6390101868435
71,-1040.5972328731086
72,-1148.4273205794568
73,-1272.3760427971179
74,-1412.9445300280051
75,-1568.3059913177092
76,-1739.2650726379877
77,-1931.3363151134763
78,-2147.10389828825
79,-2386.384525194684
80,-2654.4075863713088
81,-2951.9627114491313
82,-3283.167702393906
83,-3650.0505510182747
84,-4059.974894938787
85,-4515.9647382405665
86,-5024.638107655335
87,-5590.689267360555
88,-6220.887810882751
89,-6922.924188148382
90,-7703.264089638014
91,-8570.044957046184
92,-9533.619861880026
93,-10606.65933260246
94,-11802.379762197748
95,-13130.619089783657
96,-14604.938135132692
97,-16245.83439316241
98,-18070.547570768824
99,-20099.385725684224
100,-22356.179047107467
101,-24862.935501846485
102,-27648.763989510877
103,-30745.876264113074
104,-34186.43135432966
105,-38008.5705849434
106,-42258.62385272841
107,-46984.07830138107
108,-52234.82913323246
109,-58068.91154828496
110,-64552.05118745861
111,-71757.27542178285
112,-79765.28363479281
113,-88665.35420798487
114,-98553.92940617485
115,-109540.44241887462
116,-120527.74799708616
117,-132738.27179874055
118,-146307.2956901303
119,-159877.6009108359
120,-174957.06597807546
121,-191712.18870677843
122,-208466.61147796168
123,-227085.52889720665
124,-247773.10591986898
125,-268460.7203401366
126,-291449.59917207924
127,-316991.7622371542
128,-342534.9039099813
129,-370918.1238449511
130,-402455.42462612013
131,-433992.6869031588
132,-469033.95680827386
133,-507969.07614477136
134,-546905.148504969
135,-590168.0693126445
136,-638240.5350911104
137,-686312.0027530151
138,-739726.9138109235
139,-799074.7140845524
140,-858423.1155613158
141,-924364.7182355248
142,-997635.0508991559
143,-1070906.681610812
144,-1152320.3457989618
145,-1242781.6093042053
146,-1333242.8532474388
147,-1433755.5292492958
148,-1545436.5140868656
149,-1657117.9935377475
150,-1781209.9253308005
151,-1919089.6761881064
152,-2056969.095413542
153,-2210168.757740798
154,-2380391.2339867195
155,-2569527.0412221313
156,-2758662.8491356107
157,-2968816.057018072
158,-3202320.202508666
159,-3435823.7488733367
160,-3695273.13384134
161,-3983549.949503991
162,-4271826.516523857
163,-4592135.609654874
164,-4948035.123154905
165,-5303934.366180013
166,-5699378.056560094
167,-6138758.183269355
168,-6578140.987671586
169,-7066344.783106189
170,-7608792.444545768
171,-8151237.779343532
172,-8753956.953809267
173,-9423645.660347372
174,-10093337.0660708
175,-10837435.988217305
176,-11664212.18491752
177,-12490988.754609933
178,-13409629.92862041
179,-14430342.959127573
180,-15451055.73104202
181,-16585181.356195455
182,-17845321.94575579
183,-19105461.849222116
184,-20505618.983152997
185,-22061348.858117644
186,-23617077.88376888
187,-25345667.455982737
188,-27266321.944369394
189,-29186974.247322828
190,-31321034.516289756
191,-33692215.45624638
192,-36063395.67379612
193,-38698040.94277604
194,-41625424.179036595
195,-44552809.60322405
196,-47805456.52093221
197,-51419510.05193241
198,-55033564.110812224
199,-59049178.208440825
200,-63510973.41302353
201,-67972770.52950096
202,-72930321.46289171
203,-78438709.50214647
204,-83947099.8046251
205,-90067533.84480119
206,-96868015.79333028
207,-103668498.71007982
208,-111224590.51617512
209,-119620246.95114344
210,-128015905.12005161
211,-137344413.52529997
212,-147709422.6368218
213,-158074433.9253781
214,-169591112.6404718
215,-182387420.37749138
216,-195183730.93466952
217,-209401856.4418406
218,-225199769.01795477
219,-240997679.97568753
220,-258550915.39157063
221,-278054511.91902214
222,-297558109.49269956
223,-319228773.2979423
224,-343307288.12367284
225,-367385803.42552495
226,-394139708.9011142
227,-423866269.814186
228,-453592830.79454076
229,-486622345.32917726
230,-523321804.9878686
231,-560021266.2254734
232,-600798445.1668962
233,-646106417.9609408
234,-691414393.6268942
235,-741756589.354688
236,-797692362.9703996
237,-853628137.7210004
238,-915778997.1974434
239,-984835506.269242
240,-1053892018.352791
241,-1130621475.9256585
242,-1215876427.4860935
