iteration,value
0,10.462178565449076
1,-8.191193203481413
2,-20.93841831696247
3,-30.87186409840031
4,-37.13901897820014
5,-40.089803744891356
6,-40.62518786162378
7,-40.61738204993309
8,-41.29201687187177
9,-42.399916885735664
10,-43.47154295985942
11,-44.29242047694086
12,-44.83007707537405
13,-45.137660280849445
14,-45.29749305859366
15,-45.38558400306134
16,-45.46047507372893
17,-45.55208145365517
18,-45.66849014715564
19,-45.80234137494312
20,-45.93669885471808
21,-46.053256954198176
22,-46.14542465909197
23,-46.215094593764356
24,-46.26873301282792
25,-46.31480335736069
26,-46.360912571423825
27,-46.40860890490981
28,-46.458256370955596
29,-46.50687132216852
30,-46.5509480145976
31,-46.59097005425035
32,-46.62772986134692
33,-46.66101675611966
34,-46.6931665112301
35,-46.72478051253687
36,-46.75619370586584
37,-46.7872945459153
38,-46.81653905173708
39,-46.84288736953533
40,-46.866017375901556
41,-46.88715109622921
42,-46.907074068791154
43,-46.92539298483623
44,-46.94148422743634
45,-46.95641158027132
46,-46.97052929816239
47,-46.98226155017879
48,-46.992816371646015
49,-47.002571460998716
50,-47.01217764569833
51,-47.02120425550495
52,-47.02880444424099
53,-47.035686774381915
54,-47.04186259793152
55,-47.04718488116313
56,-47.05177840523612
57,-47.05547834149233
58,-47.0585570398648
59,-47.061104927086646
60,-47.06367844570067
61,-47.066027140706765
62,-47.068187500897025
63,-47.07014617663301
64,-47.07175784064761
65,-47.07311059950134
66,-47.07435557985245
67,-47.07549234645162
68,-47.07649641006394
69,-47.07733711364868
70,-47.07804623684097
71,-47.07870619319319
72,-47.07925052296059
73,-47.079737050589486
74,-47.080169955303774
75,-47.080549929414616
76,-47.08088540319829
77,-47.081152195287515
78,-47.08136973377251
79,-47.08155067070804
80,-47.081717535260395
81,-47.08185461217586
82,-47.08198022299217
83,-47.08208445268109
84,-47.08218000855048
85,-47.08226706827086
86,-47.0823384875216
87,-47.082403116085324
88,-47.08245557603901
89,-47.082502737058434
90,-47.08254137877216
91,-47.08257384445836
92,-47.082603908706076
93,-47.08263182935152
94,-47.08265768012547
95,-47.08268122707559
96,-47.08270227792816
97,-47.08271953043559
98,-47.082733815492546
99,-47.082746863071925
100,-47.08275763168971
101,-47.08276753498009
102,-47.08277565220105
103,-47.0827830211384
104,-47.082789612906616
105,-47.082794947266144
106,-47.08279933136008
107,-47.08280336515052
108,-47.08280670250953
109,-47.082809747117935
110,-47.0828125322108
111,-47.08281503031169
112,-47.082817067417295
113,-47.082818753578366
114,-47.082820286137135
115,-47.082821675490855
116,-47.0828228113444
117,-47.08282375154177
118,-47.08282454227195
119,-47.08282527713604
120,-47.082825955887365
121,-47.08282652081674
122,-47.08282703980743
123,-47.08282751371838
124,-47.08282790456869
125,-47.08282825789568
126,-47.082828549959395
127,-47.08282879092732
128,-47.08282901313495
129,-47.08282921715452
130,-47.08282940178568
131,-47.08282955246177
132,-47.08282967674065
133,-47.08282979083648
134,-47.08282988494091
135,-47.082829970866754
136,-47.082830049131665
137,-47.08283011365378
138,-47.08283017262763
139,-47.08283022088098
140,-47.08283026470266
141,-47.082830300712374
142,-47.08283033342738
143,-47.08283036041038
144,-47.08283038283129
145,-47.08283040357351
146,-47.08283042258847
147,-47.08283043836546
148,-47.0828304529111
149,-47.0828304649325
150,-47.07687378314807
151,-47.07537175091823
152,-47.07763314957037
153,-47.07951112107875
154,-47.08084040172024
155,-47.08152552017539
156,-47.08190932337435
157,-47.08215795018175
158,-47.082342579325385
159,-47.08245966265927
160,-47.082530353521186
161,-47.08256891694094
162,-47.08259147619322
163,-47.0826102995067
164,-47.08262970290959
165,-47.08265349422136
166,-47.082678787012874
167,-47.08270333282467
168,-47.08272514485178
169,-47.08274484848698
170,-47.08275997718175
171,-47.08277212456396
172,-47.08278068888657
173,-47.08278689220184
174,-47.082792016653485
175,-47.08279649902637
176,-47.08280063859524
177,-47.082804215581575
178,-47.082807667853245
179,-47.08281057926215
180,-47.08281301699766
181,-47.082815039756696
182,-47.082816845844135
183,-47.08281844005627
184,-47.08281985827283
185,-47.082821125374
186,-47.08282227358294
187,-47.08282333884413
188,-47.08282432880305
189,-47.08282525465177
190,-47.082826117228066
191,-47.0828268373306
192,-47.08282743031823
193,-47.082827912742744
194,-47.082828300782964
195,-47.08282861379554
196,-47.08282889115012
197,-47.08282913259225
198,-47.08282934252314
