iteration,value
0,8484.056289080047
1,8483.82118577965
2,8483.686171063238
3,8483.439389008852
4,8483.212548193793
5,8482.933292848524
6,8482.703279338833
7,8482.422303579233
8,8482.11300650405
9,8481.838508129807
10,8481.479938955508
11,8481.372704462023
12,8481.128661229355
13,8480.992078568745
14,8480.521867361524
15,8480.268396044094
16,8480.17894252213
17,8479.77016126301
18,8479.537704779263
19,8479.38630564882
20,8479.074787228486
21,8478.796261292775
22,8478.393440925793
23,8478.239624659567
24,8478.087811921621
25,8477.941513753218
26,8477.644354765442
27,8477.53984097423
28,8477.203758092452
29,8476.868256046606
30,8476.559642407425
31,8476.30231530504
32,8476.106053278778
33,8475.762745614074
34,8475.62637730575
35,8475.259356199598
36,8475.132107703512
37,8474.95792769936
38,8474.609090872551
39,8474.377194829185
40,8474.026317078236
41,8473.937527969872
42,8473.759522227829
43,8473.540137016571
44,8473.388851787606
45,8473.238450913697
46,8473.03190132651
47,8472.943597780688
48,8472.838683357877
49,8472.65963370631
50,8472.397911205031
51,8472.12026393152
52,8472.036813044797
53,8471.809371643885
54,8471.589746692187
55,8471.338285182104
56,8471.049269685185
57,8470.910044220991
58,8470.67236699627
59,8470.512283406802
60,8470.216363872521
61,8470.012204263869
62,8469.755092668302
63,8469.59562419802
64,8469.328052006842
65,8469.152520043108
66,8469.097104824905
67,8468.997193166091
68,8468.863343972593
69,8468.693703082374
70,8468.485231416695
71,8468.32780065061
72,8468.140062102237
73,8467.862183553629
74,8467.56780631452
75,8467.302618545724
76,8467.158764322288
77,8466.993670699454
78,8466.650587847385
79,8466.518972741891
80,8466.266309569915
81,8465.86344585435
82,8465.751102700206
83,8465.594430697738
84,8465.31605262879
85,8464.94079002678
86,8464.715144482916
87,8464.559835585575
88,8464.289963107778
89,8464.129686997365
90,8463.954214583118
91,8463.771574755814
92,8463.569399325988
93,8463.371580882033
94,8463.100190922982
95,8463.035452172959
96,8462.902114313893
97,8462.643867308689
98,8462.504557912484
99,8462.384416995672
100,8462.283691152476
101,8462.034074943678
102,8461.834343873552
103,8461.552460774672
104,8461.414012823316
105,8461.197956397136
106,8461.008202407378
107,8460.77631105914
108,8460.563744748322
109,8460.407472503477
110,8460.077295785382
111,8459.97893361609
112,8459.785094667866
113,8459.682969141571
114,8459.508765776272
115,8459.266822103571
116,8458.992061336718
117,8458.90154864656
118,8458.638144915261
119,8458.305167645858
120,8458.177141737775
121,8458.076354529447
122,8457.956678748522
123,8457.738622979454
124,8457.513695522506
125,8457.405668030859
126,8457.274840243492
127,8457.090297222596
128,8456.701482553404
129,8456.58903654067
130,8456.49200022917
131,8456.280477792634
132,8456.137040624639
133,8455.955645468437
134,8455.749432659679
135,8455.64224229417
136,8455.477013330492
137,8455.174590080678
138,8455.04434481506
139,8454.765283910083
140,8454.482002132056
141,8454.282185436008
142,8453.971259232223
143,8453.691627088641
144,8453.538316616992
145,8453.300858579363
146,8453.183420936246
147,8452.932938286938
148,8452.734108538127
149,8452.63069651862
150,8452.495116804292
151,8452.26446328612
152,8452.135743782113
153,8451.97405945539
154,8451.756472731084
155,8451.569131232452
156,8451.493025911706
157,8451.179478819397
158,8450.938695915036
159,8450.77700061482
160,8450.589892930286
161,8450.454771865523
162,8449.998308498401
163,8449.843251278242
164,8449.373575963873
165,8449.078021982123
166,8449.019283585554
167,8448.80349376593
168,8448.317900302645
169,8448.16535715108
170,8447.849215191785
171,8447.702368474836
172,8447.602239127053
173,8447.3652251653
174,8447.316985635693
175,8447.094246343277
176,8446.868767830718
177,8446.742356980158
178,8446.558371545076
179,8446.467067395894
180,8446.283258628726
181,8446.141600370205
182,8446.00429564848
183,8445.852982265422
184,8445.39115200199
185,8445.206620227822
186,8444.937134680866
187,8444.7680782598
188,8444.583742466617
189,8444.507007230393
190,8444.376022140363
191,8444.162921761936
192,8443.912701228004
193,8443.740111104731
194,8443.530962267658
195,8443.403691534284
196,8443.280763183742
197,8443.137756446773
198,8442.799880356983
199,8442.431679732603
200,8442.118536042019
201,8441.929630350605
202,8441.781624674983
203,8441.543962470154
204,8441.424123713701
205,8441.236109209163
206,8441.093281800477
207,8440.966394876696
208,8440.695823420949
209,8440.492860358334
210,8440.313703285858
211,8440.191431305222
212,8439.785266017265
213,8439.579681679324
214,8439.41290635781
215,8439.136240943351
216,8438.788776587377
217,8438.67948335926
218,8438.615827652291
219,8438.504419504863
220,8438.34751998362
221,8438.154265476225
222,8438.044540032373
223,8437.772639976645
224,8437.369992444197
225,8437.21496819576
226,8437.029808986359
227,8436.97010234442
228,8436.866757491254
229,8436.680903237211
230,8436.489464696577
231,8436.309856309845
232,8436.188705370738
233,8435.942334149664
234,8435.845075375619
235,8435.752700774592
236,8435.57724863928
237,8435.295959574238
238,8434.920008466157
239,8434.647231125842
240,8434.514727206868
241,8434.324657221465
242,8434.16307130651
243,8433.8256716422
244,8433.550582393378
245,8433.412440790678
246,8433.302314911365
247,8433.070287265691
248,8432.88899441696
249,8432.68265565464
250,8432.522247573837
251,8432.291372799915
252,8432.12336656166
253,8431.992135842816
254,8431.89562109862
255,8431.66718983964
256,8431.448116493651
257,8431.128964771395
258,8430.904355710478
259,8430.728122750315
260,8430.63712464025
261,8430.544128254038
262,8430.233152423656
263,8430.008337660844
264,8429.787404977495
265,8429.707640407487
266,8429.55802216111
267,8429.409371410124
268,8429.06139199937
269,8428.65546322647
270,8428.478790516401
271,8428.198700636618
272,8428.03874378635
273,8427.77632584472
274,8427.635374459565
275,8427.347935642043
276,8427.151276873423
277,8426.872930909478
278,8426.733097046228
279,8426.364053682428
280,8426.311503031111
281,8426.08515408552
282,8425.922061594541
283,8425.808253956899
284,8425.675610701259
285,8425.448252567194
286,8425.287052544507
287,8425.040886245422
288,8424.830360361108
289,8424.668127094734
290,8424.384209064357
291,8424.200589206583
292,8424.05632562077
293,8424.002279833918
294,8423.789480241167
295,8423.631726538266
296,8423.44525499521
297,8423.171858744901
298,8422.899228734386
299,8422.668618384409
300,8422.46637735033
301,8422.267518759661
302,8422.070833893984
303,8421.764694478017
304,8421.510189273251
305,8421.211346055836
306,8421.033039442967
307,8420.909044043414
308,8420.454767131743
309,8420.104648112056
310,8419.888729720813
311,8419.770784699625
312,8419.36852357044
313,8419.225791891848
314,8419.022349729014
315,8418.600266642434
316,8418.229569959109
317,8418.08137367506
318,8417.887637798878
319,8417.812492982832
320,8417.349045944111
321,8417.205876488186
322,8416.92952095898
323,8416.767644605949
324,8416.677194679674
325,8416.546462978326
326,8416.441327126917
327,8416.334067684562
328,8415.953879036295
329,8415.6951272603
330,8415.387979670633
331,8415.26802091672
332,8415.130578301154
333,8414.99426490614
334,8414.899700604943
335,8414.684526001358
336,8414.562277393834
337,8414.178247184615
338,8413.90355337383
339,8413.716918583734
340,8413.55161685409
341,8413.179782695905
342,8412.953209336587
343,8412.829989870082
344,8412.496552218698
345,8412.104783930292
346,8411.878611189897
347,8411.789443876607
348,8411.482793589119
349,8411.35671664239
350,8411.176999125324
351,8411.095561245616
352,8410.857959575358
353,8410.575418997745
354,8410.410229747453
355,8410.005504901215
356,8409.793100234412
357,8409.519757450995
358,8409.29833590819
359,8409.009976943882
360,8408.824289546577
361,8408.691468021543
362,8408.399358705603
363,8408.173293400781
364,8407.744356879117
365,8407.41082158616
366,8407.088083171808
367,8406.960703491408
368,8406.649897231579
369,8406.534669549183
370,8406.368085259535
371,8406.160333684315
372,8406.134320821633
373,8405.917695435428
374,8405.707787709436
375,8405.425338991095
376,8405.26270961709
377,8404.97264589773
378,8404.827717825918
379,8404.602655707355
380,8404.268927835868
381,8404.08811190237
382,8403.88259685445
383,8403.727315226346
384,8403.603187887737
385,8403.45900026248
386,8403.398855343043
387,8403.169992857798
388,8403.073884216601
389,8402.985631086536
390,8402.796549664836
391,8402.567149735149
392,8402.424758833786
393,8402.280335111353
394,8402.081695616595
395,8402.01007255352
396,8401.724517654353
397,8401.518662112105
398,8401.339991369654
399,8401.003694838293
400,8400.681337515627
401,8400.482314475952
402,8400.300496710766
403,8400.094759510848
404,8399.876971928234
405,8399.679533769378
406,8399.363827483812
407,8399.118877283321
408,8398.95488720906
409,8398.795652558623
410,8398.717001749344
411,8398.502146122679
412,8398.139565181611
413,8397.954407041707
414,8397.736302759024
415,8397.512742601666
416,8397.397801834028
417,8397.205378498493
418,8396.990634188598
419,8396.846338350144
420,8396.59178932674
421,8396.302857023491
422,8396.089223102284
423,8395.695836707428
424,8395.448107895993
425,8395.310382241125
426,8395.170290833841
427,8394.967867073847
428,8394.79613891116
429,8394.550658071998
430,8394.296723807636
431,8394.098024178553
432,8393.817702411267
433,8393.46351046048
434,8393.224680375239
435,8393.025527773969
436,8392.931080650802
437,8392.724816147636
438,8392.575376013534
439,8392.475205840197
440,8392.247696133134
441,8392.055376340946
442,8391.932481615444
443,8391.83335272497
444,8391.637528612504
445,8391.34846368578
446,8391.144814952166
447,8391.08435716248
448,8390.874458717704
449,8390.609191635041
450,8390.507811730527
451,8390.293419655132
452,8390.1577827492
453,8390.015684786109
454,8389.700389562322
455,8389.472942755949
456,8389.329931947514
457,8388.816238954261
458,8388.625519527404
459,8388.479633804795
460,8388.33992125667
461,8388.18929089139
462,8388.040998056724
463,8387.816106299722
464,8387.571217223314
465,8387.425849130192
466,8387.157487037346
467,8386.818978003666
468,8386.59113355731
469,8386.416259197435
470,8386.302547435685
471,8386.172267284706
472,8386.052337350917
473,8385.755743342492
474,8385.701012090454
475,8385.38886215375
476,8385.1451644766
477,8384.982857541134
478,8384.818211392412
479,8384.556541414118
480,8384.354802220723
481,8384.180914271741
482,8384.03825266115
483,8383.819530190165
484,8383.554039163155
485,8383.419268145279
486,8383.208990318242
487,8382.868730536278
488,8382.593672650593
489,8382.49098156134
490,8382.330097731307
491,8382.142137445917
492,8381.904085081693
493,8381.81311622055
494,8381.5506396762
495,8381.367932202049
496,8381.194860982521
497,8380.917858433118
498,8380.694296113585
499,8380.535378059829
