iteration,value
0,6739.132007899145
1,6739.128489572734
2,6739.1267444499
3,6739.124197430937
4,6739.121312266863
5,6739.116604362258
6,6739.113473211863
7,6739.110684045081
8,6739.103176650179
9,6739.098295251647
10,6739.0933717342705
11,6739.091615314182
12,6739.087667706315
13,6739.083438859994
14,6739.077040120176
15,6739.074280535217
16,6739.072064960251
17,6739.067637871516
18,6739.063026767305
19,6739.060192352505
20,6739.0559450541705
21,6739.0533703797755
22,6739.048634788857
23,6739.047316731037
24,6739.0430026622125
25,6739.040465669839
26,6739.037241439429
27,6739.034701178093
28,6739.030472476895
29,6739.024297867546
30,6739.020910888254
31,6739.0170970199815
32,6739.012951694788
33,6739.009036505793
34,6739.006531424368
35,6739.001604388999
36,6738.999379298456
37,6738.995376250904
38,6738.989591136889
39,6738.987361594908
40,6738.981858099216
41,6738.980588010011
42,6738.978065658362
43,6738.973903536581
44,6738.970007977622
45,6738.966573570058
46,6738.961847491119
47,6738.959826070623
48,6738.958105933279
49,6738.954872911788
50,6738.9497771556735
51,6738.945790609572
52,6738.944862797075
53,6738.940688921607
54,6738.935221494867
55,6738.932827505394
56,6738.928264233815
57,6738.925025686484
58,6738.92181150136
59,6738.919056725392
60,6738.913530234128
61,6738.910124768432
62,6738.907564610471
63,6738.904745077021
64,6738.9005609638625
65,6738.897451899166
66,6738.895540910798
67,6738.893621653288
68,6738.891125093659
69,6738.889086918926
70,6738.88480669632
71,6738.8831077562345
72,6738.880371813774
73,6738.874188768893
74,6738.869871569658
75,6738.865534404214
76,6738.86357808311
77,6738.860690683652
78,6738.856027028959
79,6738.853430451092
80,6738.84847348309
81,6738.840411843447
82,6738.839188365584
83,6738.836595404135
84,6738.831256776802
85,6738.826369104772
86,6738.822924034405
87,6738.819844711054
88,6738.814913417584
89,6738.813111100549
90,6738.8092590940805
91,6738.805368050085
92,6738.803214505251
93,6738.79943435172
94,6738.793891681711
95,6738.792488898999
96,6738.790537264811
97,6738.786534667473
98,6738.785009842819
99,6738.7826651390415
100,6738.7803536853735
101,6738.776751024502
102,6738.773576339126
103,6738.769216179239
104,6738.766290032651
105,6738.760897098333
106,6738.758829785575
107,6738.755134803449
108,6738.751339634866
109,6738.748651861649
110,6738.743923595456
111,6738.742756757169
112,6738.738081860786
113,6738.735696316348
114,6738.732548110801
115,6738.727009269125
116,6738.722495032333
117,6738.720201414076
118,6738.715168749771
