iteration,value
0,65629.93276470578
1,65599.86213958536
2,65574.60452126617
3,65528.421738824036
4,65490.33340789253
5,65443.44406696758
6,65399.99111673975
7,65353.51662949625
8,65312.649404809985
9,65276.4480934696
10,65219.9021234987
11,65206.17636816498
12,65170.45991323454
13,65156.809031415214
14,65087.44833630745
15,65032.71808194073
16,65008.84437645025
17,64923.13905433398
18,64890.37395660532
19,64856.96808356026
20,64798.224149254325
21,64739.59111678977
22,64672.178056024255
23,64635.33105376701
24,64609.6887811169
25,64583.62143811179
26,64526.630809557675
27,64510.1476638364
28,64449.66009729018
29,64406.04797892841
30,64347.09172478311
31,64296.897967157056
32,64273.33974195267
33,64216.3099019307
34,64183.46294737535
35,64138.84436260195
36,64123.42189464192
37,64093.77614585157
38,64053.768471941665
39,63999.607727391594
40,63943.884166588025
41,63930.358973155846
42,63900.499686206545
43,63868.65152490389
44,63842.81202527719
45,63819.78476395259
46,63787.395491919495
47,63775.249067775
48,63756.46051577804
49,63725.42495233271
50,63699.890691422
51,63653.35537618612
52,63625.21736103834
53,63596.55154628798
54,63578.045345465354
55,63533.632449522665
56,63492.91804169102
57,63462.113965841294
58,63425.4415592231
59,63395.90878774724
60,63359.722658318635
61,63328.24474666323
62,63282.75168988554
63,63264.0238303897
64,63221.30671358792
65,63192.18815689431
66,63175.71044340983
67,63158.52288902518
68,63134.993128481445
69,63101.725763628725
70,63078.778953871406
71,63042.89271498558
72,63016.964354056596
73,62980.34907021961
74,62928.81597864019
75,62878.66297430136
76,62842.333069924345
77,62806.65364561409
78,62752.83733370007
79,62733.70316419394
80,62698.336673829996
81,62661.01959028065
82,62639.89386141863
83,62616.59830397989
84,62593.20300803677
85,62526.41414769292
86,62491.87564787381
87,62474.303360317346
88,62433.52305714389
89,62397.03668829474
90,62365.01602138914
91,62342.08965398789
92,62304.33946128852
93,62274.68716616106
94,62239.43296202233
95,62224.59194144923
96,62199.27956123162
97,62166.99433822189
98,62138.26437577845
99,62114.269813557235
100,62092.69458413978
101,62058.65464059355
102,62029.250625342436
103,61993.88321369014
104,61977.66685530948
105,61953.94359278949
106,61919.595111993534
107,61890.902696868965
108,61869.269143887555
109,61837.23704133555
110,61790.01466538842
111,61766.70079167442
112,61745.29941856608
113,61723.245952537756
114,61700.083267231515
115,61669.09416165182
116,61631.07593727272
117,61620.082959553416
118,61581.33131566941
119,61529.81097412345
120,61505.70899483084
121,61478.919991329894
122,61455.07708242864
123,61432.81765393122
124,61408.452783777204
125,61387.43270823614
126,61360.61913843101
127,61335.5930406133
128,61282.96016674677
129,61257.583063803584
130,61245.05462970811
131,61223.08457638617
132,61198.887433975775
133,61174.57387930316
134,61148.67995803287
135,61125.70694819199
136,61106.3925046402
137,61072.9560312611
138,61057.071316812275
139,61006.42400780682
140,60965.75017651984
141,60941.39222240525
142,60897.95549094165
143,60851.99658885761
144,60830.776346325634
145,60774.145352327076
146,60758.15318337661
147,60723.052886364465
148,60692.63752555138
149,60676.9264911223
150,60653.502166386636
151,60623.76951228206
152,60614.997284250116
153,60589.14875814704
154,60563.99580502507
155,60530.25535820848
156,60515.75946814409
157,60478.67643573531
158,60437.74490609633
159,60412.35767820396
160,60383.8382094235
161,60361.271492730295
162,60290.137164574335
163,60258.351304603166
164,60213.09642279428
165,60172.25815455436
166,60165.46728019588
167,60135.27852388823
168,60068.30881600937
169,60049.46620218413
170,60004.7191437697
171,59975.03752411856
172,59959.326661101135
173,59935.97681764807
174,59924.04777230321
175,59898.888763111776
176,59878.275774189424
177,59867.55152513478
178,59840.78181005908
179,59816.39011236851
180,59799.66798632878
181,59782.30498506801
182,59758.92739576077
183,59737.15692109174
184,59685.11800811821
185,59655.11924855272
186,59612.13056579038
187,59584.235063833505
188,59549.49498320911
189,59533.33462277188
190,59511.05598392586
191,59466.747087127726
192,59429.55536811467
193,59407.09795652178
194,59367.52099274258
195,59347.55265040469
196,59336.88797286066
197,59316.65807297387
198,59272.49022168676
199,59226.125093265626
200,59178.43378923311
201,59141.69722707959
202,59131.11980071625
203,59093.53120957617
204,59078.31546814362
205,59053.67156664835
206,59029.79071918875
207,59013.493859618524
208,58975.55053077544
209,58948.73205302582
210,58922.322297699946
211,58898.751400348
212,58854.63031647573
213,58833.54918936665
214,58814.890587338945
215,58780.59216200044
216,58747.35983204516
217,58740.421752648544
218,58723.84057587896
219,58707.8113104434
220,58681.872660790636
221,58653.73856567483
222,58628.1916469364
223,58580.751501694795
224,58548.248821142224
225,58527.96556971859
226,58486.184056969374
227,58470.238840061196
228,58450.05327224861
229,58426.1344270925
230,58402.49313196137
231,58382.49289912883
232,58364.45887322715
233,58326.99146123756
234,58307.103153337695
235,58294.303327738104
236,58267.9777517194
237,58231.20103523685
238,58190.69021481368
239,58158.432003051035
240,58122.98105362175
241,58102.28948362453
242,58085.641658116925
243,58045.82076492528
244,58017.54045218862
245,57995.67841687527
246,57974.078473490474
247,57944.24547242731
248,57919.19980568687
249,57895.4690984082
250,57877.90551802138
251,57855.00692107911
252,57833.37655127147
253,57802.61711682147
254,57791.16426858415
255,57775.15917603675
256,57757.29824298143
257,57719.67304772185
258,57687.84053613216
259,57675.435306477535
260,57666.22627653225
261,57651.97208177162
262,57609.78656198445
263,57578.73007082373
264,57554.10595673609
265,57539.103807856576
266,57528.80076706034
267,57507.56228451793
268,57465.67113928576
269,57414.852439049144
270,57398.149547242996
271,57360.65147301202
272,57331.698141152105
273,57301.107559403186
274,57278.1308560642
275,57238.51477360776
276,57208.735814676074
277,57171.92838337655
278,57153.803553680526
279,57111.22273941783
280,57103.327150387
281,57053.01634762339
282,57034.21422381783
283,57017.404500952274
284,56996.3285595711
285,56961.43287182457
286,56940.36645663905
287,56921.32204549117
288,56905.47244511948
289,56878.68871484094
290,56839.81828275651
291,56821.70214070725
292,56800.88696954148
293,56794.37719599498
294,56759.43653979538
295,56738.87859619802
296,56713.60832520213
297,56658.01468820444
298,56635.749614469365
299,56613.74401929069
300,56591.71869045043
301,56557.25550303346
302,56534.18213110703
303,56500.68057186858
304,56473.067902142495
305,56434.44496076015
306,56392.84573836319
307,56373.271511993735
308,56323.698187141745
309,56280.51810570216
310,56255.8119640508
311,56241.87738581503
312,56193.50922482148
313,56171.79527746736
314,56140.6008699004
315,56085.425668045464
316,56040.05448297814
317,56016.85603844384
318,55988.94099904326
319,55971.96696682811
320,55913.46849741122
321,55899.53326642017
322,55864.11703976659
323,55841.74504534111
324,55834.01597973179
325,55820.46542245876
326,55802.53147288411
327,55778.935490080505
328,55745.48198953143
329,55716.40534995466
330,55682.565709833565
331,55666.774291527916
332,55658.518063658965
333,55642.42441873121
334,55629.12376607254
335,55611.237203797995
336,55594.460352306385
337,55549.325343729855
338,55517.740239648985
339,55494.42802168204
340,55480.09411442796
341,55437.15557860704
342,55416.13579631914
343,55393.29430595303
344,55363.451852377264
345,55310.79537874395
346,55281.78594984305
347,55265.817384717186
348,55238.91426076073
349,55214.08217521645
350,55186.35588859277
351,55173.602937080665
352,55142.980141959975
353,55104.847718203135
354,55082.386898134915
355,55046.433029224936
356,55025.505412647646
357,54995.33451568344
358,54956.0917582217
359,54923.83091062913
360,54912.74321484107
361,54897.687135890636
362,54867.53383226174
363,54845.34854638242
364,54788.950352790634
365,54741.28719209718
366,54709.34668004274
367,54693.69692877561
368,54651.48043053934
369,54627.75878929858
370,54602.3728486688
371,54574.437198301035
372,54563.25023526261
373,54543.41526419385
374,54521.99810997115
375,54480.806578069976
376,54458.3705250318
377,54426.14620982088
378,54408.671533609
379,54380.573887570565
380,54340.48548941505
381,54319.33765741119
382,54293.85742019363
383,54281.19278205032
384,54270.79026298549
385,54240.081110092186
386,54229.14231751119
387,54213.9682246818
388,54197.4638965282
389,54191.97278640247
390,54163.22082516456
391,54122.793093002954
392,54099.82355084179
393,54077.279490424466
394,54050.70645809405
395,54040.59599473595
396,53998.13636962344
397,53971.09074168898
398,53950.838351832
399,53920.26433622335
400,53892.78246354278
401,53872.909449312196
402,53856.68747620707
403,53829.771712909
404,53806.799657421565
405,53782.01766830463
406,53754.984966520904
407,53729.59962006872
408,53707.87929581401
