iteration,value
0,373.4230127883276
1,373.4228577921238
2,373.42277776609495
3,373.4226835496932
4,373.42254883424056
5,373.4223516650774
6,373.4222522736512
7,373.4221723177796
8,373.4218587014819
9,373.4217409924126
10,373.4215741059574
11,373.42149167839904
12,373.4213025121835
13,373.4209630111779
14,373.42077973992707
15,373.4207286529528
16,373.42057332100615
17,373.4202759258618
18,373.42008920840186
19,373.41982599324353
20,373.4196442048748
21,373.41954278803246
22,373.4192434179454
23,373.41914558718173
24,373.4189805714094
25,373.4188409847304
26,373.41859475551047
27,373.4183676250461
28,373.4181473912979
29,373.41803437536424
30,373.4178791950971
31,373.4177455888588
32,373.41749458336375
33,373.4174334185238
34,373.4173131073057
35,373.41719297150456
36,373.41703517970194
37,373.41676207270916
38,373.41647330450314
39,373.4162948018035
40,373.41609067521813
41,373.4160186079806
42,373.415959397921
43,373.4157428031673
44,373.41565307064565
45,373.4154926045163
46,373.41512836473106
47,373.41494699194914
48,373.41477075119207
49,373.41449538221747
50,373.4142920805645
51,373.41416997220585
52,373.4140669129762
53,373.4139004188031
54,373.413673889733
55,373.41360044046144
56,373.4133474735192
57,373.4130245595964
58,373.4129515031302
59,373.41279476178966
60,373.4126314957184
61,373.41251573407925
62,373.4122478872578
63,373.4121371316837
64,373.41181528106677
65,373.4116805948024
66,373.4115660751132
67,373.4114288150104
68,373.4113386935381
69,373.4113002652371
70,373.4111443830966
71,373.41100606381065
72,373.41091571449846
73,373.4106579062214
74,373.4104744359614
75,373.4103379065518
76,373.41015133623335
77,373.4099641742938
78,373.40986370923787
79,373.4096921848568
80,373.40936702887103
81,373.40915136566315
82,373.4089747386051
83,373.4087938321402
84,373.40854956316684
85,373.40829893041854
86,373.4080838145324
87,373.40793523379193
88,373.4076537246999
89,373.4074865318128
90,373.4073134399153
91,373.4071675641817
92,373.4069785228875
93,373.4067334948165
94,373.4063611790149
95,373.40626960335055
96,373.40617731373703
97,373.406027421459
98,373.40588219063915
99,373.405691925401
100,373.4055332531767
101,373.40547073368583
102,373.4052792953286
103,373.40509358190434
104,373.40495967273597
105,373.40476018612657
106,373.4045894425925
107,373.40444339548134
108,373.40438581020896
109,373.4042736656214
110,373.4041890791945
111,373.4040886665969
112,373.40388667129633
113,373.4038327738615
114,373.4036519706687
115,373.40331617790304
116,373.4031769854457
117,373.40310689928754
118,373.40281390859207
119,373.4025616033395
120,373.4022745373201
121,373.40212165744185
122,373.4020620417143
123,373.4017010604696
124,373.4013651810374
125,373.4011236727685
126,373.4009863659294
127,373.40070998472555
128,373.4005771517268
129,373.4003928003935
130,373.40013812383313
131,373.3998728707374
132,373.39969438836073
133,373.3995331198373
134,373.39943988299825
135,373.39929917880664
136,373.39905951760176
137,373.39885739058
138,373.3987653674078
139,373.3985771754518
140,373.3983083966815
141,373.39813456386463
142,373.3979213668771
143,373.3978057984682
144,373.3976837813646
145,373.3975212150988
146,373.3974214909184
147,373.39733340290206
148,373.3971663819274
149,373.3970148996319
150,373.3968117455686
151,373.39654164976184
152,373.3963243656757
153,373.39622751236556
154,373.3961420307554
155,373.39596719300465
156,373.3958104946016
157,373.39560420467353
158,373.3954463972013
159,373.3953158326807
160,373.3952163535627
161,373.3951097549462
162,373.394900937605
163,373.39480155593185
164,373.3943646286114
165,373.39426425604887
166,373.39417755610674
167,373.3940443559102
168,373.3939148071112
169,373.39383249474736
170,373.3934027229065
171,373.3932490643304
172,373.39303646973036
173,373.3929492708117
174,373.3927674870803
175,373.39235564999007
176,373.3921596994957
177,373.39188565893204
178,373.39165777569883
179,373.39144065449307
180,373.3912415060641
181,373.39104347827714
182,373.39091287620346
183,373.3908089989892
184,373.3906079191483
185,373.390409087279
186,373.39034114775137
187,373.3901391394121
188,373.38985758533244
189,373.3896860913305
190,373.38957654414185
191,373.389471875406
192,373.3894145183249
193,373.3892669123283
194,373.38915578810276
195,373.3890499191424
196,373.3889101991904
197,373.3887701093983
198,373.388579107169
199,373.38837863529716
200,373.38817746916277
201,373.3880243593404
202,373.387572591499
203,373.38738193031236
204,373.3871515346985
205,373.38687214477704
206,373.38673795683405
207,373.38666124435997
208,373.3865391822431
209,373.3864518176052
210,373.3863583554184
211,373.3862459276699
212,373.3861670522557
213,373.38601775565064
214,373.38589133214185
215,373.3858117420657
216,373.38558143791806
217,373.3853896678612
218,373.38520659752356
219,373.3850483724795
220,373.38480862852026
221,373.38464523201026
222,373.3844511819938
223,373.3842825779716
224,373.38408502508355
225,373.3839376022971
226,373.38377695104987
227,373.38364997946206
228,373.38354229949067
229,373.3834970016365
230,373.38320650493506
231,373.3830739245685
232,373.38293059072635
233,373.3826609408361
234,373.382589005615
235,373.38251199007766
236,373.3823402333178
237,373.3822252503396
238,373.38187859224485
239,373.38177531433683
240,373.3816763591534
241,373.3815548450966
242,373.3814581992075
243,373.381193208297
244,373.3810400285638
245,373.3809319966747
246,373.3808582055385
247,373.38058518355825
248,373.38039722905626
249,373.3802504693118
250,373.38013776430756
251,373.37999892240146
252,373.3798086295066
253,373.37951713189284
254,373.3793517247801
255,373.37910676620845
256,373.3788404368549
257,373.37862898755844
258,373.37846157751943
259,373.3783826059751
260,373.3782846158014
261,373.3782373335421
262,373.37803644655816
263,373.3777598593994
264,373.37768835605345
265,373.37761713315507
266,373.3773279155394
267,373.37717895593016
268,373.3769450252946
269,373.3768160246566
270,373.3766725129328
271,373.3765013568993
272,373.37631042335676
273,373.376123731025
274,373.3760426054748
275,373.37589126668325
276,373.37579711991907
277,373.3756400603829
278,373.3754281706259
279,373.37511832323776
280,373.37499314875123
281,373.3749760482885
282,373.3748136765734
283,373.37465352577635
284,373.37426592014083
285,373.3740635280586
286,373.3739013015721
287,373.3737390176763
288,373.3736555599561
289,373.37342410552526
290,373.37315694307273
291,373.3729548947261
292,373.37277257531787
293,373.3724991728354
294,373.37223358997625
295,373.37214688059555
296,373.37202120769183
297,373.37189249842953
298,373.3716239102536
299,373.37154068905073
300,373.3714193203257
301,373.3713224138366
302,373.3710739059793
303,373.3709329751247
304,373.3707896558845
305,373.37053512637937
306,373.3703387495692
307,373.3702885425722
308,373.3702303740977
309,373.3700397050219
310,373.369904297177
311,373.3697213998563
312,373.36961496707454
313,373.3694598639413
314,373.3693560210772
315,373.3692027263659
316,373.3690626435105
317,373.3689219224769
318,373.3686778704382
319,373.3686108587871
320,373.3685442038267
321,373.3682919366678
322,373.36826290305595
323,373.36800108017815
324,373.367868363033
325,373.3677395471419
326,373.36756231532183
327,373.36731789195954
328,373.3669383709089
329,373.3668187157214
330,373.3665385783312
331,373.3664144151895
332,373.3662264568804
333,373.3661228208371
334,373.3659558772374
335,373.36577312597524
336,373.3656583457479
337,373.36552789903396
338,373.36535829777574
339,373.36531794033425
340,373.36511118804754
341,373.3649132879322
342,373.36470362014495
343,373.3645740714195
344,373.36446841807026
345,373.3643275425513
346,373.36413217120395
347,373.3640383250735
348,373.36395032720185
349,373.36384089634066
350,373.36362141631446
351,373.36354164577244
352,373.3634304723341
353,373.36331226776286
354,373.36303188438086
355,373.36282854544066
356,373.36267734881136
357,373.3625695441128
358,373.3624023936888
359,373.36216286820127
360,373.3620250259312
361,373.3618780340137
362,373.36165580724565
363,373.3612068207818
364,373.36106148439916
365,373.3608348590835
366,373.3605892097019
367,373.36044730214877
368,373.3602883838614
369,373.360002866801
370,373.35991930967936
371,373.3597755250917
372,373.35965535578316
373,373.35961391631105
374,373.3595340365527
375,373.3593658021507
376,373.3591861934643
377,373.3590811969071
378,373.3589514815498
379,373.3587905451445
380,373.3587123730508
381,373.35856526653436
382,373.35838182214917
383,373.3581060988483
384,373.3580423915328
385,373.357723502604
386,373.3576287269559
387,373.3574351649145
388,373.3572931385764
389,373.3571926572687
390,373.3571046236956
391,373.356869314374
392,373.35676326101776
