iteration,value
0,75.20127624050708
1,141.41709065425155
2,4.615954041991867
3,2.927175927704496
4,2.033918822028796
5,1.4264082896345256
6,0.9998613303133926
7,0.6974842103517895
8,0.4859585985716473
9,0.3388403092404404
10,0.2362330587884836
11,0.16429593993576122
12,0.11363912491179866
13,0.07821801351571789
14,0.05357532889009238
15,0.03658654883432233
16,0.02502999852212405
17,0.017197170659749947
18,0.01187051899515665
19,0.008223301080368133
20,0.005705937182010233
21,0.004101489028757262
22,0.0030284846875840024
23,0.002289800632977536
24,0.0017681547934381102
25,0.001390361630505117
26,0.0011089773431398073
27,0.0008971533939549097
28,0.0007347984370060387
29,0.0005959169585987144
30,0.0004891366539864491
31,0.00040581966864959557
32,0.0003333672856161744
33,0.0002767800811051271
34,0.00023200315315796794
35,0.0001925507675182112
36,0.00016134662729546263
37,0.0001363735672923798
38,0.00011413428026164473
39,9.636256103424408e-05
40,8.05586365795068e-05
41,6.794674818120543e-05
42,5.777158357658625e-05
43,4.864098050251676e-05
44,4.1290542414189505e-05
45,3.4708286300590386e-05
46,2.9419949843630263e-05
47,2.469324105232388e-05
48,2.0902651435572753e-05
49,1.7830792571516542e-05
50,1.5062636263099622e-05
51,1.2825032603537881e-05
52,1.0813495649974271e-05
53,9.191290418873409e-06
54,7.869972744567966e-06
55,6.6735287855207045e-06
56,5.701847377437923e-06
57,4.8244374170773074e-06
58,4.113780867214598e-06
59,3.4737156496122128e-06
60,2.956587611736158e-06
61,2.4919269618558557e-06
62,2.117374596050705e-06
63,1.8124228100714599e-06
64,1.5364016078617423e-06
65,1.3123207588286903e-06
66,1.1100548519102421e-06
67,9.462889012636851e-07
68,7.988405757456631e-07
69,6.797521053744684e-07
70,5.826196334915693e-07
71,4.945525345839255e-07
72,4.2293904401867827e-07
73,3.5819565612824464e-07
74,3.056955096771631e-07
75,2.583578633684779e-07
76,2.200710913882276e-07
77,1.8880304091542079e-07
78,1.6041859969683797e-07
79,1.3730974605478284e-07
80,1.1639415609887487e-07
81,9.941510688858878e-08
82,8.408965654089759e-08
83,7.168180517391426e-08
84,6.051069959014797e-08
85,5.148855406014685e-08
86,4.4130045153683014e-08
87,3.7458521268137194e-08
88,3.203361122468246e-08
89,2.712927609541378e-08
90,2.3152486567891314e-08
91,1.2019790029234094e-09
92,3.821050033652191e-11
93,7.405048404970929e-12
94,2.4527904724620447e-12
95,1.0624714215603211e-12
96,5.414433898834423e-13
97,3.079305922637482e-13
98,1.895814335816856e-13
99,1.2361406023358537e-13
100,8.438146544411119e-14
101,5.971917599566536e-14
102,4.3570248463348033e-14
103,3.2596433879179736e-14
104,2.4923896443926664e-14
105,1.9413160966861025e-14
106,1.53661246166387e-14
107,1.2339037290181402e-14
108,1.0035870358588342e-14
109,8.256058027145253e-15
