iteration,value
0,3.4420985750877877
1,1.7808395003017967
2,2.4829758647460887
3,3.2373928752199963
4,1.3803648324169444
5,-4.356233649364945
6,-3.730417578701945
7,-4.3915154235002705
8,-5.04705592481199
9,-5.570359365716882
10,-6.187694373532769
11,-6.018248112646766
12,-6.957738086311393
13,-5.961549067251715
14,-7.634497690680606
15,-7.751390058471553
16,-7.828568415508019
17,-7.643151173693212
18,-7.704082670691085
19,-7.802216849033593
20,-7.513747030614999
21,-8.01658571920345
22,-8.12465287075426
23,-8.005914495483287
24,-7.448637960848985
25,-6.090226456746318
26,-5.557773809367751
27,-6.583850492928551
28,-6.487846570076426
29,-7.503723889911321
30,-7.854976423146895
31,-7.984240844791856
32,-7.987584105222062
33,-8.11332433078631
34,-8.074542164459622
35,-8.207905790507919
36,-8.175000850703908
37,-8.063023598623179
38,-7.615195359550443
39,-6.663526809802384
40,-5.735232690742063
41,-7.538439261259663
42,-7.053752234766735
43,-6.658294549767369
44,-6.605104293067662
45,-7.096683975092281
46,-7.19661703384142
47,-7.439815499837958
48,-7.720921758701745
49,-7.336578352567282
50,-6.744570693505927
51,-6.980825149081933
52,-6.899385577036763
53,-8.030411819049228
54,-8.213695485521953
55,-8.40346931022738
56,-8.508351601663895
57,-8.630069521910332
58,-8.641238187201726
59,-8.638878587711053
60,-8.672532563637827
61,-8.683044768662525
62,-8.693939426832689
63,-8.700531502308761
64,-8.709696124545985
65,-8.719757137155982
66,-8.725339776604685
67,-8.731886284109892
68,-8.731612014098381
69,-8.729832122854916
70,-8.720460262156367
71,-8.733805374988538
72,-8.730850640661927
73,-8.746132086628624
74,-8.746696881893008
75,-8.760880453821146
76,-8.761737979005009
77,-8.773883196586736
78,-8.774293759159894
79,-8.784650398289946
80,-8.784603584883449
81,-8.793669177300806
82,-8.793252880986055
83,-8.800885424196409
84,-8.802709764502461
85,-8.809309290639229
86,-8.809804664269846
87,-8.814818220528062
88,-8.81615054166522
89,-8.819685502678666
90,-8.820744857459418
91,-8.822566120087311
92,-8.82336229986173
93,-8.8247400299051
94,-8.82560373315475
95,-8.826857712418045
96,-8.827738588352725
97,-8.828607928363276
98,-8.829567212007111
99,-8.830512941457473
100,-8.83146105245747
101,-8.832419007849554
102,-8.833214061550988
103,-8.834127527057396
104,-8.835041792507031
105,-8.836008795711331
106,-8.836913324545016
107,-8.837652250692042
108,-8.83864676140206
109,-8.839543609788054
110,-8.840236576705745
111,-8.841279342577632
112,-8.84222272571027
113,-8.842930288016433
114,-8.843916729722162
115,-8.844719355176723
116,-8.845532153766207
117,-8.846510840959482
118,-8.847278883952114
119,-8.848121691438754
120,-8.848985835862837
121,-8.84982627218368
122,-8.85050269563104
123,-8.85146691943796
124,-8.852301173244387
125,-8.853035827567833
126,-8.85390234786313
127,-8.854582570710665
128,-8.855479445809884
129,-8.85614232655039
130,-8.857042267079613
131,-8.85768748395226
132,-8.858574092586961
133,-8.859328056767067
134,-8.860091304324506
135,-8.860968605415485
136,-8.861692072795664
137,-8.862464226616094
138,-8.863257794764072
139,-8.863989338908409
