iteration,value
0,5.856356147796612
1,-5.254663095220102
2,-15.26928306000434
3,-37.82416036889794
4,-81.45017980723954
5,-152.8294785177734
6,-258.42215091872146
7,-403.5977406327477
8,-593.5924539383536
9,-834.3697345414054
10,-1133.2409694943533
11,-1499.326425783594
12,-1944.056394867895
13,-2481.629865195746
14,-3129.6348189448263
15,-3828.538838794298
16,-4654.681965065283
17,-5633.902919498829
18,-6797.171364203855
19,-8041.711190359899
20,-9506.8988343628
21,-11238.523909938027
22,-13083.328048425352
23,-15251.856296283582
24,-17809.326902101428
25,-20532.661067097197
26,-23734.10487505561
27,-27516.200287826563
28,-31543.78612459225
29,-36283.89320963379
30,-40851.88475357169
31,-44709.32798591334
32,-48454.072217948975
33,-52469.455101605156
34,-55529.445209839185
35,-57227.42531842362
36,-58467.79261265184
37,-59499.624746690024
38,-60370.23422723265
39,-61501.879558673834
40,-61728.11661989834
41,-62309.18106466237
42,-62882.884196952116
43,-63620.35604234889
44,-64429.60117802269
45,-65197.433037067494
46,-66163.13552853727
47,-66839.40929060815
48,-67805.14830013788
49,-68877.71422907834
50,-69272.46130653162
51,-69827.88207316009
52,-70298.07511859291
53,-71127.70755934416
54,-72974.51174459749
55,-73867.27947528286
56,-73915.58824816447
57,-74746.19130095307
58,-74780.36886326976
59,-75316.96850788886
60,-75367.18305588565
61,-75605.0303770256
62,-76317.52385275574
63,-79649.2545424677
64,-79673.65826689475
65,-79495.43649962753
66,-79184.40601645845
67,-79254.61755759643
68,-82990.96328668152
69,-80793.75989127414
70,-80793.75840047243
71,-80793.73931845915
72,-80794.80407224367
73,-80794.97545714509
74,-80896.00808484657
75,-80899.96307856795
76,-80900.26172779105
77,-80921.53086727961
78,-81551.16542953628
79,-81551.16503089013
80,-81551.12909070408
81,-81550.98267820323
82,-81551.0102445658
83,-81606.77646620097
84,-84641.15432311018
85,-90957.30416081534
86,-90957.30416191871
87,-90957.30461500779
88,-90957.37511612684
89,-90958.5113153822
90,-90958.93910805898
91,-91084.72951732014
92,-91090.45553135348
93,-91096.73622839694
94,-96491.59787950614
95,-112506.27868984887
96,-112506.27868984887
97,-112506.27868984897
98,-112506.27868984903
99,-112506.27869011808
