iteration,value
0,75.1928002298645
1,141.19803943032298
2,4.599800268775544
3,2.929311702971293
4,2.042463734494914
5,1.4374639417051471
6,1.0112033884847313
7,0.7080853797898008
8,0.49532518189273816
9,0.3467723941570893
10,0.24270461867029228
11,0.1693925807555582
12,0.1175960466312755
13,0.08124258217064671
14,0.055848109797153885
15,0.03832017578839525
16,0.026358736235258418
17,0.018210168680107327
18,0.012633024014749252
19,0.008786743045044438
20,0.006112239479646192
21,0.00439622027305473
22,0.0032509460770810145
23,0.0024631570769271644
24,0.00190620029565197
25,0.0015013695893543318
26,0.0011995698658766652
27,0.0009719050698828966
28,0.0007972839410920532
29,0.0006477968155900978
30,0.0005327377906666635
31,0.00044285260678152296
32,0.0003645873826978691
33,0.0003033647564848532
34,0.0002499908568914295
35,0.0002081900261779533
36,0.0001750247559932862
37,0.0001457256230909564
38,0.0001224859103229798
39,0.00010383538868472614
40,8.718104072646441e-05
41,7.38334776557233e-05
42,6.19296555514574e-05
43,5.240109507609288e-05
44,4.469084924720773e-05
45,3.775199936179192e-05
46,3.2148803514894525e-05
47,2.7115992356172266e-05
48,2.305959385011139e-05
49,1.942260474067941e-05
50,1.6496276575489096e-05
51,1.4117281358020368e-05
52,1.196679931403708e-05
53,1.0222784235756155e-05
54,8.649919794781348e-06
55,7.377197292382547e-06
56,6.231804741796112e-06
57,5.306885027592729e-06
58,4.476116335698501e-06
59,3.8065226425451153e-06
60,3.2613141989456196e-06
61,2.767741956819763e-06
62,2.366882000342568e-06
63,2.0048653768332566e-06
64,1.7115409475408117e-06
65,1.44722982411587e-06
66,1.2335344382422052e-06
67,1.0590441619551518e-06
68,9.006559689527569e-07
69,7.716837626845577e-07
70,6.549207596087374e-07
71,5.600859890461175e-07
72,4.744368971988016e-07
73,4.050366118081373e-07
74,3.4249828842782823e-07
75,2.919340833752929e-07
76,2.5064502880508195e-07
77,2.131648709352577e-07
78,1.8264454072452962e-07
79,1.5501255371446965e-07
80,1.3256919619799207e-07
81,1.1229910639701472e-07
82,9.587406492556436e-08
83,8.243510460454272e-08
84,7.021268987234762e-08
85,6.024148212225919e-08
86,5.119805240743937e-08
87,4.384021359856589e-08
88,3.7184090857886364e-08
89,3.178208398271571e-08
90,2.690681175689972e-08
91,2.295919453941373e-08
92,1.2529520211144848e-09
93,4.299366503932564e-11
94,8.519722761018532e-12
95,2.8595740518094366e-12
96,1.2504261017581802e-12
97,6.41894176900013e-13
98,3.66881374224274e-13
99,2.2608485357712424e-13
100,1.4807203554204712e-13
101,1.0140416771707607e-13
102,7.194167295123627e-14
103,5.260215640930848e-14
104,3.945215937646271e-14
105,3.023889356006719e-14
106,2.3602177045116373e-14
107,1.8715921273144887e-14
108,1.504393066745545e-14
109,1.2252678548564065e-14
110,1.0090498824174825e-14
111,8.397467209562014e-15
112,7.049672778987686e-15
113,5.966152440474411e-15
114,5.087790768510651e-15
