iteration,value
0,15.752573127505254
1,7.376373111418836
2,-3.0071213124355043
3,-23.55651870349643
4,-25.604442991716173
5,-26.944165531441065
6,-28.03971514145526
7,-28.849013697092918
8,-29.38102685458216
9,-29.69980543377263
10,-29.890651489896193
11,-30.00289445678709
12,-30.075246365111944
13,-30.116763231543615
14,-30.14404531355182
15,-30.16510046658012
16,-30.1785064642321
17,-30.18551650418823
18,-30.195115539286423
19,-30.20271364345651
20,-30.207137097842022
21,-30.212016436798088
22,-30.216300363062597
23,-30.22043883441572
24,-30.223280580108515
25,-30.225987159668357
26,-30.228026634720685
27,-30.22988468383175
28,-30.231336019550834
29,-30.232883326236344
30,-30.234373137178537
31,-30.235685592726057
32,-30.236747803739977
33,-30.237696050475257
34,-30.2385007573667
35,-30.239118444359367
36,-30.239628314330382
37,-30.240114368022457
38,-30.240597257297907
39,-30.24107865227099
40,-30.241543754253897
41,-30.241949491028823
42,-30.2422892192649
43,-30.24257666736989
44,-30.24283884546707
45,-30.243029456908715
46,-30.243233318072278
47,-30.243406941760657
48,-30.243554357672206
49,-30.24368412955831
50,-30.243800314357166
51,-30.2438988449858
52,-30.244002224652345
53,-30.24409561203602
54,-30.244172420650763
55,-30.244240878448682
56,-30.244304581071262
57,-30.244359554050227
58,-30.244411391515186
59,-30.244456394965525
60,-30.244492187452245
61,-30.244526694525685
62,-30.24455942930793
63,-30.24458910362199
64,-30.24461550214172
65,-30.24463748845571
66,-30.244660570238054
67,-30.244680135327442
68,-30.244696267615765
69,-30.244712006318476
70,-30.244726473243297
71,-30.24473957370465
72,-30.244751523193628
73,-30.2447624073289
74,-30.24477142567258
75,-30.24478145556568
76,-30.244789803284043
77,-30.244797490234745
78,-30.24480366932503
79,-30.244809530457758
80,-30.24481513983128
81,-30.244819745765902
82,-30.244824129620422
83,-30.244828247820607
84,-30.24483202605392
85,-30.244835200337075
86,-30.2448381770551
87,-30.244840856729578
88,-30.24484320235286
89,-30.244845455561915
90,-30.244847557742656
91,-30.244849330070487
92,-30.244851032671917
93,-30.244852617586968
94,-30.244854082243855
95,-30.24485541621132
96,-30.244856696640102
97,-30.24485777894006
98,-30.244858804049777
99,-30.244859773192623
100,-30.244860590999156
101,-30.24486136022915
102,-30.244862079979978
103,-30.24486268758407
104,-30.244863255958972
105,-30.24486372412226
106,-30.244864172554145
107,-30.24486456122782
108,-30.24486493188073
109,-30.244865282594304
110,-30.24486561104728
111,-30.244865917003416
112,-30.244866176421468
113,-30.24486642064627
114,-30.24486662734443
115,-30.244866823101567
116,-30.244867007313168
117,-30.24486716392034
118,-30.244867312369113
119,-30.24486743881903
120,-30.24486755795943
121,-30.244867670319472
122,-30.244867765874687
123,-30.244867855603168
124,-30.24486793992844
125,-30.244868011857236
126,-30.24486807943488
127,-30.2448681374337
128,-30.24486819253405
129,-30.24486824427796
130,-30.24486828825026
131,-30.244868329785852
132,-30.244868369016892
133,-30.244868402446336
134,-30.24486843404054
135,-30.244868461149547
136,-30.24486848708245
137,-30.244868511700034
138,-30.244868532722897
139,-30.244868552722643
140,-30.244868571537506
141,-30.244868587555565
142,-30.244868602671517
143,-30.24486861691407
144,-30.244868629028407
145,-30.244868640457703
146,-30.24486865015443
147,-30.16699998658902
148,-29.91378938772949
149,-29.747836478662315
150,-30.119417736347735
151,-30.21027512785691
152,-30.24335534137741
153,-30.241487366825986
154,-30.242378364278025
155,-30.24378082158725
156,-30.243760348231838
157,-30.244211166108883
158,-30.244381072724032
159,-30.244512947732936
160,-30.24461214667142
161,-30.244671933641193
162,-30.24471653023378
163,-30.24474956531313
164,-30.244779740401306
165,-30.244799738977356
166,-30.244813497577006
167,-30.244822588528894
168,-30.244829635243157
169,-30.24483533326781
170,-30.24483958512244
171,-30.244843168147654
172,-30.24484622881081
173,-30.244848668186567
174,-30.244850695746663
175,-30.24485253458349
176,-30.244854200604074
177,-30.24485570454207
178,-30.24485695336866
179,-30.244858073680252
180,-30.24485909833313
181,-30.244860074936355
182,-30.24486096192735
183,-30.244861750035508
184,-30.244862408687233
185,-30.24486303127425
186,-30.24486357953595
187,-30.244864059781385
188,-30.244864516287652
189,-30.24486493301991
190,-30.24486530312105
191,-30.244865627640173
192,-30.244865925936693
193,-30.24486617643499
194,-30.244866419409444
195,-30.244866652685523
