iteration,value
0,8484.056289080047
1,146.9484555737919
2,126.43490815482262
3,107.283574557777
4,92.45847253184358
5,79.09048397648547
6,65.93827112381761
7,53.09472442098377
8,42.990804949731654
9,32.7795360858167
10,24.1260957173516
11,17.35316396104411
12,14.647917645665455
13,10.7552620987318
14,8.094577430524057
15,6.330037938736379
16,4.3132809081031525
17,2.5457812714003505
18,1.5172170367150235
19,0.89618507665403
20,0.26960544805543857
21,-0.15278902543470999
22,-0.466795303492642
23,-0.7395743895907797
24,-0.9471724747191764
25,-1.0784613204386906
26,-1.1699471146922342
27,-1.2003643812477276
28,-1.2399327162600127
29,-1.2653880181969555
30,-1.2805048593692505
31,-1.2973703626234812
32,-1.3135942210927274
33,-1.32720586377638
34,-1.337042519779039
35,-1.344123606447246
36,-1.348774135829148
37,-1.3520103070995466
38,-1.3547465801341727
39,-1.3568797638665386
40,-1.3588619812130198
41,-1.3605322122089727
42,-1.3619777195949192
43,-1.3632614169748953
44,-1.3644691344490456
45,-1.3656394597835195
46,-1.3665509574631913
47,-1.3675641138043964
48,-1.3686162523288985
49,-1.3697780210344375
50,-1.3708783856344973
51,-1.3720198496703686
52,-1.3735633065357025
53,-1.3751324853590587
54,-1.3768236918805337
55,-1.3787219740648857
56,-1.3806333406253635
57,-1.3824483684954016
58,-1.3839773539115425
59,-1.3853290354798153
60,-1.3868547590276141
61,-1.3887768916262262
62,-1.3907151833503606
63,-1.3925463853477127
64,-1.3944360038165409
65,-1.3964708389099538
66,-1.3983414887980548
67,-1.3998515631298323
68,-1.4011955914905971
69,-1.4026538378295517
70,-1.4050304287196023
71,-1.4074580934354146
72,-1.4096256527372077
73,-1.4116037603110385
74,-1.413456664607428
75,-1.4157675788106059
76,-1.4176492782657606
77,-1.4202110073862269
78,-1.4215719310091455
79,-1.423614976015681
80,-1.4256885023816643
81,-1.427592292531771
82,-1.4288969323822212
83,-1.4315823270833876
84,-1.4334699978669165
85,-1.4354114535412914
86,-1.4384984699122212
87,-1.4409162675853235
88,-1.4429127017812653
89,-1.4447220202434181
90,-1.4464443740630433
91,-1.4480938077820475
92,-1.449949113422143
93,-1.4521840865640971
94,-1.4545328771389197
95,-1.4565751476147693
96,-1.4586289933522472
97,-1.4615724647371622
98,-1.464595563956874
99,-1.4672419898637756
100,-1.469558250521936
101,-1.4715916116991805
102,-1.4729174948691852
103,-1.4748836268486707
104,-1.478036849014996
105,-1.480194127094129
106,-1.4818844504478477
107,-1.4838821154328405
108,-1.4855781494720952
109,-1.4875475728560696
110,-1.4900187902954536
111,-1.4924378811196224
112,-1.4944957307229465
113,-1.4966465071273398
114,-1.4983831273209094
115,-1.5012969155795532
116,-1.503594966806954
117,-1.5056988077320237
118,-1.5075405656863248
119,-1.508656147021531
120,-1.5105474379551886
121,-1.5132210530682864
122,-1.5156761103186054
123,-1.515825963508843
124,-1.5198225533960739
125,-1.5216051226327292
126,-1.52442121931362
127,-1.5265419673802365
128,-1.5285452060469018
129,-1.5307060169929767
130,-1.5323464290603974
131,-1.5347112641980065
132,-1.5374308452556216
133,-1.5395269811683123
134,-1.5419019436294288
135,-1.5428847742318255
136,-1.5449760454597279
137,-1.5483307755967213
138,-1.5510339382798244
139,-1.5531665981411034
140,-1.5550991902110203
141,-1.5568699320715367
142,-1.5584612624845215
143,-1.55971499330176
144,-1.5622207830770418
145,-1.5656305302321298
146,-1.5680659702221693
147,-1.5693812070719724
148,-1.5715821652109485
149,-1.5743453242412133
150,-1.577121555622299
151,-1.5792971795578366
152,-1.5811527335304114
153,-1.5829863965084003
154,-1.5836990045725652
155,-1.5853424471432573
156,-1.5878610715950519
157,-1.5902392324576522
158,-1.5921497965341254
159,-1.5939240509372623
160,-1.5952283836875947
161,-1.5972818965368598
162,-1.598735404498182
163,-1.600908064005572
164,-1.6027522055704297
165,-1.6046967978685647
166,-1.605908601665163
167,-1.6085215526552734
168,-1.6106095842301436
169,-1.6135895160175175
170,-1.6147923453381123
171,-1.6184297562717496
172,-1.6205242984841903
173,-1.6233800631033364
174,-1.6253682245651686
175,-1.6271821785072071
176,-1.6295759419972575
177,-1.6309315566252827
178,-1.6320499017543062
179,-1.6328802070553334
180,-1.635440069689214
181,-1.6365235696953833
182,-1.639252359026484
183,-1.6413629777392953
184,-1.6436457460073215
185,-1.6454212530646428
186,-1.6474514947874412
187,-1.6484013913652436
188,-1.651113659268936
189,-1.6534547867059697
190,-1.6542393508881796
191,-1.6563321765081023
192,-1.659027252966603
193,-1.6599988130147323
194,-1.6623548179075442
195,-1.6644604687028006
196,-1.666577850996036
197,-1.668800572132369
198,-1.6701864100009267
199,-1.6720439362679134
200,-1.674569178330982
201,-1.677118426871684
202,-1.6793212682518714
203,-1.6805116964837334
204,-1.6818915114020632
205,-1.6828943974886497
206,-1.6858444111588002
207,-1.6882749879991645
208,-1.6904328952086183
209,-1.691888862933858
210,-1.6932398671622528
211,-1.6924154746544242
212,-1.6958795801447955
213,-1.6995016508356091
214,-1.7014993005386732
215,-1.7039013501332636
216,-1.7053797723280375
217,-1.7068643777267116
218,-1.7083247702403093
219,-1.71003959154817
220,-1.7109247838907993
221,-1.712302934318477
222,-1.7129332473868923
223,-1.7153562089849186
224,-1.7175754864715034
225,-1.719430381033931
226,-1.7201334936841088
227,-1.722445969213016
228,-1.7245653589545022
229,-1.7254143013535725
230,-1.7272595216816389
231,-1.7297612536475777
232,-1.731781532232994
233,-1.7337387882882638
234,-1.7347841353254052
235,-1.7364478064609916
236,-1.7373676837145269
237,-1.7393880308608562
238,-1.74201366586778
239,-1.7434050198145723
240,-1.7449122332431557
241,-1.7473916285524256
242,-1.7487304426764458
243,-1.747807093687665
244,-1.7510300477504201
