iteration,value
0,75.1928002298645
1,141.19803943032298
2,10.984859996063584
3,4.418808023874058
4,3.2145254864613477
5,2.684439603303143
6,2.298170627850382
7,1.9761442387673376
8,1.697097662409174
9,1.4533283712688971
10,1.2409498758642987
11,1.0571025738454947
12,0.8978597244369854
13,0.7607889629431731
14,0.642884832058707
15,0.5419790193594236
16,0.4558221608159791
17,0.38254133862292017
18,0.3203830106269824
19,0.267821932755323
20,0.22348815533444005
21,0.18619359525353127
22,0.15488726494006316
23,0.1286694174459242
24,0.10675113118051978
25,0.08846518535283503
26,0.07323111974198446
27,0.060562386062916605
28,0.050039556295880035
29,0.04131207403041871
30,0.03408090885306848
31,0.02809679964040775
32,0.023148872416186943
33,0.01906178852296605
34,0.015688165780259698
35,0.013147966871211648
36,0.011186007473544571
37,0.009487096193168577
38,0.008152724095856647
39,0.006979943366190805
40,0.006046450740586714
41,0.005216149932992524
42,0.004548089227904832
43,0.003948059302310552
44,0.0034609728503722454
45,0.0030199452462540887
46,0.002659278675811613
47,0.0023305046670435616
48,0.0020599625602636673
49,0.0018119327957654904
50,0.0016067553711107121
51,0.001417735019591146
52,0.0012606661318087663
53,0.0011153617789047762
54,0.000994150700053668
55,0.0008816146875228118
56,0.0007779315379057644
57,0.0006917711278962247
58,0.0006120582994520916
59,0.0005455606223208007
60,0.00048381826960396844
61,0.00043213936543264216
62,0.0003840067622199137
63,0.0003395239737306913
64,0.000302452008152805
65,0.0002680631351832832
66,0.00023930372074814423
67,0.00021253948081599493
68,0.000190088969382536
69,0.00016913718092195177
70,0.0001515160618677065
71,0.00013503088216425285
72,0.00011972866680028017
73,0.00010692368357615628
74,9.500017188072033e-05
75,8.499316896576865e-05
76,7.564950767457066e-05
77,6.778757910071667e-05
78,6.042923320148035e-05
79,5.359603107222573e-05
80,4.7875659520075534e-05
81,4.254711201274249e-05
82,3.807346941744537e-05
83,3.389503611646149e-05
84,3.0378145612773585e-05
85,2.7085600093111944e-05
86,2.402716975748984e-05
87,2.146616381359864e-05
88,1.9079991087404607e-05
89,1.7076202441137943e-05
90,1.5204239676521823e-05
91,1.3628342372312684e-05
92,1.2152695684012506e-05
93,1.0781726536747237e-05
94,9.633534333465941e-06
95,8.563558043567928e-06
96,7.664910348229074e-06
97,6.825267924737099e-06
98,6.118328558090116e-06
99,5.456281475080325e-06
100,4.841123391259882e-06
101,4.325869002214949e-06
102,3.845663672583992e-06
103,3.4423117157045555e-06
104,3.0654092396263585e-06
105,2.7480483389590916e-06
106,2.450816658353479e-06
107,2.174614754769768e-06
108,1.9432518257601466e-06
109,1.7276122934740496e-06
110,1.546472616904996e-06
111,1.377201043797183e-06
112,1.2346622872927728e-06
113,1.1011574207433109e-06
114,9.77091861514491e-07
115,8.73162321751912e-07
116,7.762914417537442e-07
117,6.94915418505272e-07
118,6.188680745900588e-07
119,5.548284549914911e-07
120,4.948454943585649e-07
121,4.3910169822076704e-07
122,3.924037156234238e-07
123,3.488760897674664e-07
124,3.1230985551330083e-07
125,2.781371905128802e-07
126,2.493596233839772e-07
127,2.2240440262059048e-07
128,1.9965620517887517e-07
129,1.7830585932361677e-07
130,1.5842479017863612e-07
131,1.4173885028168738e-07
132,5.209664872011068e-09
133,1.7590573163913303e-09
134,9.050000118947604e-10
135,5.60013583140635e-10
136,3.8456030726834356e-10
137,2.823547079476523e-10
138,2.1721619282585945e-10
139,1.7295427818873398e-10
140,1.4139824902660382e-10
141,1.1804421590554176e-10
142,1.0023560335342573e-10
143,8.631903571793761e-11
144,7.521957635331248e-11
145,6.621257788543597e-11
146,5.879437699257462e-11
147,5.260563392899946e-11
148,4.73841178273303e-11
149,4.293465107210375e-11
150,3.910941272243372e-11
151,3.5794699846581034e-11
152,3.290183993432736e-11
153,3.03608110672763e-11
154,2.8115691035727397e-11
155,2.6121364056483965e-11
156,2.4341090990730617e-11
157,2.2744696209608992e-11
158,2.1307199992699373e-11
159,2.0007772434778086e-11
160,1.8828926212974158e-11
161,1.77558891016626e-11
162,1.6776110446192014e-11
163,1.5878866608385627e-11
164,1.5054951571890624e-11
165,1.4296421822058927e-11
166,1.3596393342633878e-11
167,1.294887591627129e-11
168,1.2348636092936077e-11
169,1.1791083579007693e-11
170,1.1272179466833371e-11
171,1.0788357526962367e-11
172,1.0336456992425239e-11
173,9.913670906170647e-12
174,9.517497525879314e-12
175,9.145701736108506e-12
176,8.796280328357623e-12
177,1.088609353120199e-12
178,4.295538161607625e-13
179,2.3477936212955e-13
180,1.5003749517980507e-13
181,1.0528347951441551e-13
182,7.852168447602301e-14
183,6.109676425374084e-14
184,4.912158487210147e-14
185,4.0483857354103064e-14
186,3.403552872309346e-14
187,2.904992842371602e-14
188,2.512472662344694e-14
189,2.196909117389968e-14
