iteration,value
0,-3.2708967146459305
1,-3.271924455944972
2,-3.2725762246720556
3,-3.2734773158205392
4,-3.274379747385529
5,-3.2753636883355304
6,-3.276254108185612
7,-3.278066973790261
8,-3.2792692212605115
9,-3.2808458512592464
10,-3.28268839279937
11,-3.283776506817495
12,-3.2844966372993882
13,-3.286335781848835
14,-3.2876914818852647
15,-3.289010271856475
16,-3.290147030965058
17,-3.2911703051251875
18,-3.2916460071723264
19,-3.292042909803712
20,-3.292912812984632
21,-3.2950189714379103
22,-3.29605523791453
23,-3.2969223556996523
24,-3.2986974270139555
25,-3.299596975249001
26,-3.3014486048579976
27,-3.3032868094614747
28,-3.3049854218558106
29,-3.306335958962037
30,-3.307469527579962
31,-3.308320472189473
32,-3.3097365171655158
33,-3.310899411841791
34,-3.3117686583614443
35,-3.312223829840339
36,-3.3131882525227603
37,-3.3155214928391277
38,-3.3163701995648887
39,-3.317737560318788
40,-3.3198386615008335
41,-3.321877263038915
42,-3.3233210297370963
43,-3.3239468474118055
44,-3.324456373885796
45,-3.325405261405792
46,-3.327293053202752
47,-3.3281661764525756
48,-3.3295729531634954
49,-3.3303826366438845
50,-3.3305272241866914
51,-3.330723905882046
52,-3.3309506355744283
53,-3.33118866240899
54,-3.331401344223967
55,-3.3315544331096056
56,-3.3317965777911054
57,-3.3320244541287876
58,-3.3321848489447796
59,-3.3325181417944076
60,-3.332696806658033
61,-3.333061286997369
62,-3.33324265729257
63,-3.3333946493169337
64,-3.3335955788504186
65,-3.3339501280845667
66,-3.3341215734299348
67,-3.3343485159744
68,-3.334798782852462
69,-3.3350329036215105
70,-3.335508224973476
71,-3.3357472431007995
72,-3.3362106349271157
73,-3.336567141408287
74,-3.3369357429841076
75,-3.3372279492994026
76,-3.3374968281586166
77,-3.33787708436956
78,-3.3380640368008105
79,-3.3382933919324445
80,-3.3387777745994054
81,-3.3391098097083325
82,-3.3395307251858917
83,-3.3396707159651733
84,-3.3401863841044124
85,-3.3404801844293477
86,-3.340965086423891
87,-3.341358071883267
88,-3.3418162985015636
89,-3.3423289894168855
90,-3.3426911297712425
91,-3.3428980917882263
92,-3.34329752221046
93,-3.3435991731391277
94,-3.3439080729380763
95,-3.3443395514363337
96,-3.344682670308543
97,-3.3451554025370185
98,-3.3455305477816033
99,-3.3457751142733683
100,-3.3460212351579686
101,-3.346181756387373
102,-3.3465937986351024
103,-3.3469059883725882
104,-3.34731273028193
105,-3.3476939593102752
106,-3.348070007139043
107,-3.3484646751668095
108,-3.3488482916269184
109,-3.3490207773930805
110,-3.349374269677499
111,-3.349632361893258
112,-3.349794198921855
113,-3.3499622233228945
114,-3.350446869049523
115,-3.3507718645814526
116,-3.3510649001398987
117,-3.3514760349238752
118,-3.351842456115519
119,-3.3521039963261092
120,-3.3525297222551362
121,-3.3527366238541654
122,-3.3531784660828174
123,-3.353526353595918
124,-3.3539360621053174
125,-3.354314661948787
126,-3.3544616556724836
127,-3.3548534165232664
128,-3.355143089351225
129,-3.3555445825271724
130,-3.3557238986246585
131,-3.356113413426666
132,-3.356441037931907
133,-3.3568500222247772
134,-3.3573072069872874
135,-3.3574793667545286
136,-3.357781961441499
137,-3.3580755987655277
138,-3.3584265424100614
139,-3.3587292331801817
140,-3.3589541388251094
141,-3.3592417043504237
142,-3.3595220560983963
143,-3.3596916465386872
144,-3.3599856909796713
145,-3.360156862785709
146,-3.3604056776839615
147,-3.3607378564786425
148,-3.361017376478451
149,-3.3612421246112083
150,-3.361465528634506
151,-3.3616246968150563
152,-3.3619179847828757
153,-3.3620967452835893
154,-3.3623049915085774
155,-3.3626929366107596
156,-3.363019015950402
157,-3.363342553666593
158,-3.3636124106473337
159,-3.364000952478756
160,-3.3641786550669064
161,-3.3643814907406826
162,-3.364588064916097
163,-3.3648428758452327
164,-3.3650820683371196
165,-3.3653622162606376
166,-3.365619845140335
167,-3.3659243169588695
168,-3.366095600484959
169,-3.3662255393344322
170,-3.3664190811966197
171,-3.366755940859496
172,-3.3670206840892747
173,-3.3672866041528344
174,-3.367431734321112
175,-3.3677924297868405
176,-3.36813270051129
177,-3.368455630737175
178,-3.368761430026008
179,-3.368935593911365
180,-3.369148735951814
181,-3.369275305289727
182,-3.3694814064447582
183,-3.3696774068032447
184,-3.3699177798566184
185,-3.370051136403317
186,-3.370285008140904
187,-3.3706264860332795
188,-3.37099581294385
189,-3.3711962419765467
190,-3.3714887063059376
191,-3.371569622484537
192,-3.371762697492378
193,-3.37212342862581
194,-3.37232802303775
195,-3.372488601780512
196,-3.3727760770124893
197,-3.3731338752506312
198,-3.3731933777135144
199,-3.373460117641735
200,-3.373869170784535
201,-3.3741430428262316
202,-3.37439171394859
203,-3.374519163572892
204,-3.374731705083365
205,-3.3750333423891465
206,-3.3752542066910394
207,-3.3755716025254743
208,-3.3757979191207257
209,-3.376037779069237
210,-3.37640172742674
211,-3.3766407577671034
212,-3.3767979878286827
213,-3.3771551045798045
214,-3.3776262371520405
215,-3.3780851069404267
216,-3.378288341155637
217,-3.3786154314779697
218,-3.378946238345525
219,-3.379244020790597
220,-3.37955091013058
221,-3.3797759268205634
222,-3.380045170868139
223,-3.380478987480582
224,-3.3807647756464054
225,-3.3810218348498666
226,-3.3813237303780204
227,-3.3815088702604763
228,-3.3816331666158956
229,-3.3819987962252167
230,-3.38224777172081
231,-3.3825491244485972
232,-3.3827661787997116
233,-3.382969725189248
234,-3.3832386573097395
235,-3.38348716204473
236,-3.383809049823857
237,-3.3841506167797677
238,-3.384379793302023
239,-3.3847319037042767
240,-3.3851283404355534
241,-3.385469657671468
242,-3.385684149966383
243,-3.3859951197831935
244,-3.3862190742440372
245,-3.386475068151535
246,-3.386687187234295
247,-3.387079951650849
248,-3.387290224278961
249,-3.3875168300669674
250,-3.3878495256774643
251,-3.3880262279613493
252,-3.388410977566942
253,-3.3885562469266075
254,-3.388757158614516
255,-3.3890890841709407
256,-3.389383659632725
257,-3.38960910827661
258,-3.3899389102143123
259,-3.3902553951646417
260,-3.3905606451978496
261,-3.3907875983616615
262,-3.391111079505156
263,-3.391316141811479
264,-3.3917001619092275
265,-3.3918170791495075
266,-3.392025035504201
267,-3.39217559564176
268,-3.3924219470491956
269,-3.3925719314365566
270,-3.392827888408204
271,-3.393026074508764
272,-3.3933428334804097
273,-3.393807778829814
274,-3.3940511562461166
275,-3.3942819171283203
276,-3.394589442867358
277,-3.394908256877065
278,-3.39525925997006
279,-3.3953540514766054
280,-3.3955037788424685
281,-3.395642271804547
282,-3.3958233267459295
283,-3.396220642032575
284,-3.3964911508506535
285,-3.3967501083911635
286,-3.3970041939701385
287,-3.3972662518921957
288,-3.397406722556514
289,-3.3976182563975383
290,-3.398033385609428
291,-3.398355768869765
292,-3.398743187953351
293,-3.3990573029684246
294,-3.399271770227461
295,-3.3995952814285975
296,-3.3998956752106975
297,-3.4002553155656523
298,-3.4006105599286176
299,-3.4007813769681388
300,-3.401069262235304
301,-3.401242604933059
302,-3.4016525902503716
303,-3.4019222336080213
304,-3.402100803941919
305,-3.4023393730805314
306,-3.4025437641172416
307,-3.4027168307396005
308,-3.402945856170456
309,-3.403329788096693
310,-3.403580024160278
311,-3.403918649237467
312,-3.4042238572853796
313,-3.4046845425118564
314,-3.404762597632925
315,-3.405011251257658
316,-3.405281251432224
317,-3.405682311676699
318,-3.4059766165165173
319,-3.406197216585956
320,-3.4065569598093868
321,-3.4067627310321504
322,-3.407028846784218
323,-3.407279644018872
324,-3.4074615473626357
325,-3.4075808533587004
326,-3.407936148793927
327,-3.4082817204060305
328,-3.4084809432412886
329,-3.4087006410338736
330,-3.4088948399326267
331,-3.4091544070472004
332,-3.4094016194798065
333,-3.409601023779806
334,-3.409885850128856
335,-3.4102354504391683
336,-3.410484938111822
337,-3.4107401130875488
338,-3.4109863651995287
339,-3.411179179772767
340,-3.411378077582406
341,-3.411537288623087
342,-3.411852138694984
343,-3.412041133879503
344,-3.412321504175096
345,-3.412696530053251
346,-3.412946324136172
347,-3.413107570173233
348,-3.413386360920506
349,-3.413647290583608
350,-3.4139873259673816
351,-3.414115566004554
352,-3.414291184596081
353,-3.414542592849335
354,-3.4148937030899216
355,-3.415108151625537
356,-3.415381196813782
357,-3.415573311788488
358,-3.4157296870437417
359,-3.4158920684708725
360,-3.4163619507380725
361,-3.4167212470361434
362,-3.417073530930799
363,-3.417369409998818
364,-3.417579182255515
365,-3.4178314720767826
366,-3.4181235228554376
367,-3.4184104435107425
368,-3.4186195570587756
369,-3.4190736524591756
370,-3.4193279574285884
371,-3.4195337185761745
372,-3.4198209117012555
373,-3.42000945379043
374,-3.4201878280567297
375,-3.420510681165744
376,-3.4206184220786326
377,-3.420838012177135
378,-3.4210281981703963
379,-3.4212863994234777
380,-3.421552417747974
381,-3.421835546106764
382,-3.4220466832690635
383,-3.4222123562006885
384,-3.4225217685528486
385,-3.4228056417794113
386,-3.4229652156674146
387,-3.423198068080196
388,-3.4233978474815694
389,-3.4236451158473553
390,-3.4239567250925886
391,-3.4241514163886286
392,-3.424279471546707
393,-3.424635357918419
394,-3.424940118195855
395,-3.425094119070481
396,-3.4253313966656957
397,-3.425571020127743
398,-3.4257741551970984
399,-3.4260047328315006
400,-3.4263276695640865
401,-3.426767151167562
402,-3.4271023155306644
403,-3.4274349000589286
404,-3.42767583687799
405,-3.427972600435275
406,-3.4281826358032657
407,-3.428529096493359
408,-3.4287631356292154
409,-3.429026922465667
410,-3.429348706625654
411,-3.429552275310417
412,-3.4299179056564917
413,-3.4300431188028746
414,-3.4303448535563823
415,-3.430741219625992
416,-3.4310486841456003
417,-3.431245191033604
418,-3.4314940397761613
419,-3.431656482955685
420,-3.4318554750589847
421,-3.4320883858723428
422,-3.4324318402995475
423,-3.4326953551782347
424,-3.4328844422959133
425,-3.4331246381005895
426,-3.4333797078214787
427,-3.4335289852119497
428,-3.433781342848625
429,-3.4339200852021414
430,-3.4341971761320242
431,-3.4343993340868115
432,-3.434550155580179
433,-3.4347379777415163
434,-3.4350232106801597
435,-3.435397920599155
436,-3.4356127425796243
437,-3.43582651606782
438,-3.4360033597108073
439,-3.4363433822250355
440,-3.4365897941251546
441,-3.4367766749849857
442,-3.4370689252248607
443,-3.4373234392449903
444,-3.4375252609564417
445,-3.4378261948625655
446,-3.4380279118643395
447,-3.438342379944128
448,-3.438527776376863
449,-3.4387311813236785
450,-3.4388948798845655
451,-3.4391800442700107
452,-3.4393935119102412
453,-3.4395176118780038
454,-3.439730526388466
455,-3.4400101407000014
456,-3.4401449551190693
457,-3.4403748673030448
458,-3.4405393040175665
459,-3.4406204479234055
460,-3.4407531237887437
461,-3.4409170067005617
462,-3.4411663556567404
463,-3.4414677671092813
464,-3.4417186882159623
465,-3.4419572734914103
466,-3.4421309273254908
467,-3.4423458310734087
468,-3.4424774842253463
469,-3.442659216903648
470,-3.442817736051702
471,-3.4430363926174783
472,-3.4433290233779035
473,-3.4435269162226723
474,-3.4437414300926474
475,-3.443949449060419
476,-3.4441607423591436
477,-3.444312940041938
478,-3.4445447118871835
479,-3.444632321092603
480,-3.4447953534266293
481,-3.444888274533161
482,-3.444997748635307
483,-3.445164651233762
484,-3.445487583347799
485,-3.445632297662461
486,-3.445992331794284
487,-3.4461963395039903
488,-3.4462493217040473
489,-3.446370843293356
490,-3.4464559290429095
491,-3.4466981245606556
492,-3.446919661970149
493,-3.4471528918088565
494,-3.4473538943490905
495,-3.447538603123562
496,-3.447746269182139
497,-3.448018112786511
498,-3.4483342217389197
499,-3.448572410925642
