iteration,value
0,1289.6496057020709
1,1289.6470318095255
2,1289.645027444347
3,1289.6426085264593
4,1289.6400959124853
5,1289.6371965214494
6,1289.6348325304252
7,1289.6320190523925
8,1289.6290369377202
9,1289.6265758153202
10,1289.6243175838881
11,1289.6215656646991
12,1289.6192563540187
13,1289.617306474715
14,1289.614553641071
15,1289.6122118385174
16,1289.6098470349698
17,1289.607649594267
18,1289.6048328892334
19,1289.6023884225929
20,1289.5993640681336
21,1289.5972406093392
22,1289.5945013178355
23,1289.5918002515332
24,1289.5891323367252
25,1289.58639536709
26,1289.5839704037835
27,1289.5809267684544
28,1289.5787165965153
29,1289.5767552605744
30,1289.5739067253794
31,1289.571094008962
32,1289.56849836736
33,1289.5661594014086
34,1289.5637339783036
35,1289.5599752861183
36,1289.5578515800808
37,1289.5552440485637
38,1289.5527564156603
39,1289.5500594864461
40,1289.5478227313963
41,1289.5451319193744
42,1289.5426068389977
43,1289.540481007787
44,1289.5379881252707
45,1289.5350811174344
46,1289.5325596622583
47,1289.530162486033
48,1289.5274788726072
49,1289.5245133192002
50,1289.5216719981167
51,1289.5194292276956
52,1289.5148970640503
53,1289.5122909095294
54,1289.509170507501
55,1289.5076870061284
56,1289.5044005472719
57,1289.5004329685394
58,1289.4985989596066
59,1289.4945015218582
60,1289.4913704464766
61,1289.486503218
62,1289.4842423346045
63,1289.481632977494
64,1289.479844853497
65,1289.4784477675767
66,1289.47700199528
67,1289.4726369898756
68,1289.4705284225176
69,1289.4685800135953
70,1289.4673138496157
71,1289.4633297051848
72,1289.4612630667286
73,1289.4573754798573
74,1289.4562023177164
75,1289.4536222848023
76,1289.4521043035409
77,1289.4494207127816
78,1289.4454687283578
79,1289.4414401968302
80,1289.4391299152553
81,1289.437936237539
82,1289.4349963762322
83,1289.42913975121
84,1289.4259150436287
85,1289.4244957243761
86,1289.423428433704
87,1289.4175044286258
88,1289.4154808070991
89,1289.412875508153
90,1289.4096728860707
91,1289.4078588750392
92,1289.4046374471204
93,1289.4005353741286
94,1289.3980627605422
95,1289.3958217356
96,1289.395095208652
97,1289.3923496301907
98,1289.3896919206811
99,1289.3879882362862
100,1289.3865568871415
101,1289.3829362039173
102,1289.3786308578926
103,1289.374867959513
104,1289.373033466301
105,1289.3720513942558
106,1289.3699402322047
107,1289.3674237724058
108,1289.365205915779
109,1289.36278847942
110,1289.3536978393631
111,1289.3525548281034
112,1289.3513630846483
113,1289.3475577821941
114,1289.3440557155961
115,1289.342906495295
116,1289.3408530882064
117,1289.3397778857366
118,1289.3342293674364
119,1289.330013164641
120,1289.3275296144236
121,1289.323596562453
122,1289.3213747571647
123,1289.319397402746
124,1289.3176344551564
125,1289.3159285465422
126,1289.3134010343729
127,1289.3094854939116
128,1289.3050258254364
129,1289.3026007419944
130,1289.2998075883497
131,1289.298894827804
132,1289.2973201410111
133,1289.2918161986827
134,1289.2901402446923
135,1289.2854988467034
136,1289.2834997409986
137,1289.2809780505154
138,1289.2764238792604
139,1289.2751434165837
140,1289.272301338292
141,1289.2704616249348
142,1289.2687862847204
143,1289.2645620160488
144,1289.2612212023432
145,1289.2596588729862
146,1289.255356087486
147,1289.251950349281
148,1289.2474538331758
149,1289.2452644426298
150,1289.2415911087978
151,1289.238572238055
152,1289.2359756803312
153,1289.232858084919
154,1289.2316389862317
155,1289.2290700406936
156,1289.2257567410286
157,1289.2232350390004
158,1289.2215456344643
159,1289.2170132476115
160,1289.2135344829253
161,1289.2095617338741
162,1289.2066439163286
163,1289.2022490195004
164,1289.1988925028095
165,1289.1949930152675
166,1289.1929101559238
167,1289.188561022282
168,1289.1870451935445
169,1289.1824297701708
170,1289.1750860809482
171,1289.172597539608
172,1289.1710233956574
173,1289.169188409358
174,1289.166964771534
175,1289.164016849496
176,1289.1617015754553
177,1289.1590957391522
178,1289.154820139574
179,1289.1518445777235
180,1289.1472103120334
181,1289.145506126653
182,1289.1441452258719
183,1289.140686048976
184,1289.1379665405302
185,1289.1347678943325
186,1289.1283746439844
187,1289.1270925478648
188,1289.1256019678299
189,1289.123253385343
190,1289.1177020416133
191,1289.1158806359056
192,1289.1119930882185
193,1289.1104105178456
194,1289.1080209196766
195,1289.1035892316117
196,1289.1012205319144
197,1289.0973582480676
198,1289.0924616839934
199,1289.0904788853366
200,1289.0877616060952
201,1289.0854193916766
202,1289.083308494461
203,1289.0783304396264
204,1289.0737894758008
205,1289.069589478442
206,1289.0667432442942
207,1289.065975276496
208,1289.0630336503707
209,1289.0617579061113
210,1289.0607627819993
211,1289.0583701947292
212,1289.0542215742082
213,1289.0483596885192
214,1289.0463259758335
215,1289.043247859221
216,1289.0408280065049
217,1289.0362345815283
218,1289.0345734665739
219,1289.0319679469092
220,1289.0304120368207
221,1289.0272656521395
222,1289.025091443129
223,1289.0216366121322
