iteration,value
0,7085.545714983342
1,7085.545595549356
2,7085.545529019205
3,7085.545420201632
4,7085.5453490575655
5,7085.545261097823
6,7085.545161440936
7,7085.545089187162
8,7085.544992454631
9,7085.544901561139
10,7085.544783588354
11,7085.544681339224
12,7085.544594567009
13,7085.54451717944
14,7085.5444225872725
15,7085.544331358937
16,7085.544244454085
17,7085.544163821991
18,7085.544069908119
19,7085.5439890960115
20,7085.543888146549
21,7085.543787750705
22,7085.543686113468
23,7085.543592582249
24,7085.5434911534685
25,7085.543411316457
26,7085.543342683429
27,7085.54326186287
28,7085.543158274854
29,7085.543047866417
30,7085.542954921994
31,7085.542871730334
32,7085.542779607768
33,7085.542687619731
34,7085.542592159149
35,7085.542499995812
36,7085.542405262778
37,7085.542293412508
38,7085.542195101076
39,7085.542098029534
40,7085.542006519576
41,7085.541904818929
42,7085.541836679671
43,7085.5417435997
44,7085.541635486679
45,7085.541557324417
46,7085.541457276463
47,7085.541356043484
48,7085.541269411427
49,7085.541202981562
50,7085.541114725416
51,7085.541020621428
52,7085.540903911407
53,7085.540820263641
54,7085.540677314133
55,7085.540594578107
56,7085.540500926025
57,7085.540416327255
58,7085.540378578487
59,7085.540314403987
60,7085.540223770615
61,7085.540194557681
62,7085.540094291111
63,7085.540019268783
64,7085.5399382666665
65,7085.5398836559925
66,7085.539807785403
67,7085.539724378859
68,7085.539616209611
69,7085.539521762792
70,7085.539442087769
71,7085.539384958478
72,7085.539271723428
73,7085.5391341578315
74,7085.539069167605
75,7085.538972890848
76,7085.538823901683
77,7085.538728905411
78,7085.538620778964
79,7085.538517032074
80,7085.538407062943
81,7085.538353181599
82,7085.53827138914
83,7085.538149117113
84,7085.537975111457
85,7085.537878922203
86,7085.537813624036
87,7085.537748717956
88,7085.537666060967
89,7085.537595432411
90,7085.5374339560285
91,7085.53737288713
92,7085.537281057702
93,7085.537156398937
94,7085.537050244286
95,7085.536906766259
96,7085.536833375842
97,7085.536727001295
98,7085.536659305298
99,7085.536551438299
100,7085.536435569161
101,7085.536264495267
102,7085.536232261543
103,7085.536189177397
104,7085.536150160898
105,7085.5361080802
106,7085.5360486039435
107,7085.536006902257
108,7085.535830803432
109,7085.535777432353
110,7085.535732577407
111,7085.535614708034
112,7085.535564113401
113,7085.535480361648
114,7085.535412844746
115,7085.535325265701
116,7085.535152830429
117,7085.535070419086
118,7085.534916781919
119,7085.534828078993
120,7085.53474617053
121,7085.534646576443
122,7085.534581527055
123,7085.5344871848
124,7085.5344216157655
125,7085.534345155361
126,7085.534272328744
127,7085.534168830917
128,7085.534086324227
129,7085.5340258234755
130,7085.53392162256
131,7085.53383844856
132,7085.53365863792
133,7085.533515533194
134,7085.533467484872
135,7085.533265118255
136,7085.533227088741
137,7085.533027984401
138,7085.532934527057
139,7085.532846712238
140,7085.532785792164
141,7085.5327402786925
142,7085.532647163496
143,7085.532566730523
144,7085.532508282832
145,7085.532428195907
146,7085.532340746745
147,7085.532274540426
148,7085.532171571669
149,7085.532097306005
150,7085.532036683658
151,7085.531876688874
152,7085.531798454695
153,7085.531741440624
154,7085.531663615433
155,7085.531607484123
156,7085.531538869107
157,7085.531410160417
158,7085.53131565179
159,7085.531196803943
160,7085.531028677825
161,7085.530948990307
162,7085.53083048156
163,7085.53075686516
164,7085.53063228514
165,7085.530535271387
166,7085.530438464012
167,7085.530318919443
168,7085.530241265013
169,7085.530132095929
170,7085.529963494174
171,7085.529812953563
172,7085.529767303139
173,7085.52971347734
174,7085.529629065135
175,7085.529484793394
176,7085.529380358167
177,7085.529267644322
178,7085.529164911614
179,7085.5291005472955
180,7085.528983087847
181,7085.528835565675
182,7085.528606002986
183,7085.528498812649
184,7085.528346435271
185,7085.528201270113
186,7085.528167707794
