iteration,value
0,791.1131100809474
1,1986.4100100762373
2,260.86839923060995
3,177.60197559033267
4,138.30961517360154
5,112.25369898618504
6,91.85373565047115
7,75.00409737392803
8,60.78076772358647
9,47.49568335276734
10,36.65534083075099
11,27.799068452779675
12,20.64905382708327
13,14.984528746232812
14,10.593748146851697
15,7.2718526166022555
16,4.834277810112678
17,3.1050427234656577
18,1.9277329131560392
19,1.1595178577864702
20,0.6843148560131118
21,0.39655612558094366
22,0.2358646859388413
23,0.14603420380238258
24,0.09426635837580684
25,0.06147980534850647
26,0.03924149009040387
27,0.026209594097046183
28,0.016145368199150675
29,0.010071196288025762
30,0.006484121264839492
31,0.0043949524373629294
32,0.002890210588309852
33,0.0019429680739289515
34,0.0013409370619288682
35,0.000982577660031083
36,0.0006899915989044612
37,0.0005044471252738596
38,0.0003458403596307231
39,0.0002323352773821037
40,0.00015646357741166364
41,0.00011022401688322855
42,7.621228343806908e-05
43,5.2804451117946904e-05
44,3.643724701997061e-05
45,2.5454008993062585e-05
46,1.8001555795124336e-05
47,1.286664461222609e-05
48,9.182688793038644e-06
49,6.569133951908014e-06
50,4.714696881831596e-06
51,3.396472213209672e-06
52,2.462325468862181e-06
53,1.8016010999971042e-06
54,1.3213932996815474e-06
55,9.73084619023365e-07
56,7.204668694091261e-07
57,5.375816740047655e-07
58,4.016600571400842e-07
59,3.0161372250619246e-07
60,2.2767535754797892e-07
61,1.7259096393655479e-07
62,1.314068481390056e-07
63,1.0051209329402052e-07
64,7.725360378099244e-08
65,5.961541650909728e-08
66,4.6206360560147017e-08
67,3.5928311011877135e-08
68,2.8038157899523625e-08
69,2.1956067777304344e-08
70,1.7255751326563136e-08
71,0.2510516797797045
72,0.39841179204253047
73,0.48274613596856497
74,0.1583492422849942
75,0.02890319863889021
76,0.013109758519185496
77,0.008755039700336028
78,0.005167321887870589
79,0.003136509126416289
80,0.0024052124847957672
81,0.0010163849157548792
82,0.0008861114207941415
83,0.0006205382170151691
84,0.00042154673047628874
85,0.00027946627421305886
86,0.0001889919436174975
87,0.00012555777952686473
88,8.851461048267198e-05
89,6.473837208480579e-05
90,4.173700898660697e-05
91,2.3809124290522175e-05
92,1.5726294660292773e-05
93,8.901295274837203e-06
94,6.210840668195847e-06
95,4.6343444113625615e-06
96,3.104124256662457e-06
97,2.178950477125322e-06
98,1.3506302716256165e-06
99,8.86916062701189e-07
100,5.265983532482751e-07
101,3.3518935428008607e-07
102,2.2247455460247252e-07
103,1.537222949226739e-07
104,1.0574215700053083e-07
105,7.114770283466572e-08
106,4.9233430489743875e-08
107,3.382828907608516e-08
108,2.4227256487772662e-08
109,1.6274672930195707e-08
110,1.1064257810457439e-08
111,7.674198700188473e-09
112,5.397969433318965e-09
113,3.8385711835994464e-09
114,2.7217446256293355e-09
115,1.933319605978419e-09
116,1.3870020640842607e-09
117,9.968523684264404e-10
118,7.145933959781119e-10
119,5.156443712231747e-10
120,0.29706982512671715
121,0.6056774076877566
122,0.7564990201705787
123,0.21261180855294634
124,0.029755043764589175
125,0.011641858214857014
126,0.007336653088726234
127,0.004791613058511877
128,0.0033449672011383585
129,0.0018690037973626392
130,0.0006472336001476282
131,0.00024729859011687796
132,0.00014112413933514128
133,0.00010041204303557903
134,8.718127373756725e-05
135,7.064545984124557e-05
136,5.2313259240574624e-05
137,3.334314420442253e-05
138,2.093302868057831e-05
139,1.4879143746708468e-05
140,1.0749921889855446e-05
141,8.023204055765721e-06
142,6.0274114855196235e-06
143,4.284713028567874e-06
144,3.1694669950968113e-06
145,2.31473572557994e-06
146,1.749287371960904e-06
147,1.311041520294391e-06
148,9.395530535706333e-07
149,6.316188573718507e-07
150,4.5270875079280436e-07
151,2.938893604636548e-07
152,1.9772265612801143e-07
153,1.4401356777955576e-07
154,1.0105003657060161e-07
155,7.081948928650222e-08
156,4.869222101890135e-08
157,3.2402608605755245e-08
158,2.2275587569198896e-08
159,1.5521574842038786e-08
160,1.073155929670207e-08
161,7.288390504377541e-09
162,4.985838891254656e-09
163,3.517272408165463e-09
164,2.5066419782375785e-09
165,1.7545523711990896e-09
166,1.2759206139522738e-09
167,9.213032038808506e-10
168,6.675705273372714e-10
169,4.842344143951623e-10
170,3.514970971691453e-10
171,2.558262722807543e-10
172,1.8728575436023305e-10
173,1.3779143844038508e-10
174,1.0192068188048203e-10
175,7.566206568346741e-11
176,5.617274616098454e-11
177,4.1982664707827045e-11
178,3.151960456084282e-11
179,2.3776814019022004e-11
180,1.8040166237686593e-11
181,1.3760285217840642e-11
182,1.0554786915675815e-11
183,8.134545685563074e-12
184,6.294378413909959e-12
185,4.889841558845596e-12
186,3.813715778579519e-12
187,2.9858731551840712e-12
188,2.3466827883220154e-12
189,1.850936029794001e-12
190,1.4655966089471736e-12
191,1.1646774476240465e-12
192,9.28796760327306e-13
193,7.431746006565485e-13
194,5.965876948109084e-13
195,4.804215637495503e-13
196,3.88033750036481e-13
197,3.1433424943795967e-13
198,2.553529029623444e-13
199,2.0801787945551655e-13
200,1.69916842282406e-13
201,1.3915829309656077e-13
202,1.1425875908338753e-13
203,9.404893420913727e-14
204,7.760212552457123e-14
