iteration,value
0,544869345938607.2
1,3.961229585445488e+16
2,2577407937328761.0
3,1238070680083602.0
4,625954972118373.1
5,358233875147044.2
6,217046284126215.3
7,135091726192415.03
8,84754678956862.06
9,52755766072807.14
10,32034566754819.656
11,18576829632318.523
12,9986695748453.207
13,5612949823515.141
14,2723454888080.1934
15,1060253549789.4032
16,417956113475.6989
17,111461596980.62222
18,15898970018.893848
19,2126119767.1415558
20,256277654.77018222
21,27253475.154388834
22,2524068.9871837376
23,202082.91711775181
24,14053.134066581699
25,963.7878308903433
26,173.8044362246799
27,130.18837251299337
28,127.48441198827734
29,127.22035760601521
30,127.18218129933713
31,127.17618677081164
32,127.1752891651542
33,127.1751644273401
34,127.17514839136382
35,127.17514648185052
36,127.17514627075954
37,127.17514624901773
38,127.17514624690152
39,127.17514624668189
