iteration,value
0,184.6908160118296
1,170.34838374952568
2,150.22015822026657
3,132.7391550473397
4,113.6599512713359
5,96.68398715904165
6,83.30884345157578
7,64.29988294832508
8,49.68613491237507
9,28.870078445038345
10,12.68157408088527
11,-2.3591020352935743
12,-18.343500966159326
13,-35.29804517421272
14,-56.831392731918854
15,-71.97796230113025
16,-92.52260320952477
17,-109.89730287892279
18,-123.48382485653991
19,-140.7681376360521
20,-153.1166942146958
21,-174.90819806128934
22,-193.6348881278511
23,-210.48087901150905
24,-224.88674341774873
25,-243.0887805344877
26,-256.2332383934682
27,-274.027435720157
28,-290.9068576918613
29,-306.56976140630417
30,-319.26228220612245
31,-334.97961409129096
32,-351.68347625084175
33,-366.4988309326395
34,-383.89696480163167
35,-400.4560411845647
36,-419.5307365878766
37,-440.62552034079783
38,-455.853509153167
39,-472.77213987068336
40,-486.5862296941256
41,-505.7987329994604
42,-523.2202629257647
43,-541.5216685728965
44,-558.8200232431985
45,-574.5490515511369
46,-594.2572874715581
47,-607.1719509353198
48,-620.7119093210579
49,-634.6789285767727
50,-654.3419518290189
51,-672.4630589879359
52,-687.1009490715529
53,-707.4709124331187
54,-724.1955832857027
55,-743.3221774098387
56,-758.7089478175535
57,-774.1268153821729
58,-791.7875723411088
59,-810.6032408216593
60,-831.7520739643852
61,-849.8425537477565
62,-868.8663139262886
63,-882.8727185925158
64,-897.8049786020597
65,-918.0397060816832
66,-933.5861396462259
67,-953.9699354223475
68,-969.7411734625088
69,-985.3457860021304
70,-1005.894782960874
71,-1024.6821854054938
72,-1041.9444536806607
73,-1058.4554665996436
74,-1075.7605185274372
75,-1095.7807755116887
76,-1112.3306431676688
77,-1129.8206039264444
78,-1144.1153852253492
79,-1161.5563057856161
80,-1175.9211690912243
81,-1187.6321672159515
82,-1205.5592461791873
83,-1221.4600110343306
84,-1236.3488460766325
85,-1253.3314548523347
86,-1269.792193261246
87,-1281.681870584337
88,-1296.016006674903
89,-1314.1581721102343
90,-1327.8627327629251
91,-1341.362551715128
92,-1357.99482479642
93,-1374.6596079535336
94,-1387.4131921147775
95,-1401.6070180328657
96,-1416.9846529269366
97,-1430.748404276328
98,-1450.087471960249
99,-1464.4286910503213
100,-1482.8725245365295
101,-1498.9409827445984
102,-1516.0354657317503
103,-1528.5777282800336
104,-1543.5994540130016
105,-1561.2206449993714
106,-1572.8453238489287
107,-1587.2907798777471
108,-1604.4105079033984
109,-1616.3112608582644
110,-1628.477282473053
111,-1643.3456098288261
112,-1656.5827242702887
113,-1669.6510165976304
114,-1685.4816368189177
115,-1702.5459024867682
116,-1714.34727958053
117,-1730.8414749594542
118,-1745.2617880572
119,-1759.5352053204622
120,-1776.6415769372625
121,-1791.940041632979
122,-1803.322365080969
123,-1817.0603745486717
124,-1831.47753427897
125,-1841.181882297448
126,-1857.9781533912712
127,-1874.155035783164
128,-1890.260328231023
129,-1902.992691651513
130,-1915.9652400766622
131,-1927.7533384245605
132,-1942.221035180451
133,-1957.7877608150175
134,-1973.8874778605582
135,-1987.2859862422508
136,-2000.850614298616
137,-2014.9683144673454
138,-2028.1652077142182
139,-2041.8168100664716
140,-2059.086177048756
141,-2069.2198400133234
142,-2083.4382660447186
143,-2095.433621706401
144,-2108.493573684687
145,-2125.8812611064236
146,-2139.4566187782775
147,-2154.435332393737
148,-2168.3903691889454
149,-2178.9020238115354
150,-2191.262958801646
151,-2205.7883632094276
152,-2220.942549456279
153,-2233.57316172434
154,-2246.457350013929
155,-2260.3173708762247
156,-2273.0329142655196
157,-2285.3121149373883
158,-2300.492552240009
159,-2316.0855694474103
160,-2327.7952035221933
161,-2340.4827692796084
162,-2351.440512478089
163,-2365.759802816019
164,-2375.426293634648
165,-2391.0612099222594
166,-2402.6169266374295
167,-2416.9606009305207
168,-2433.449607468058
169,-2447.2754279207497
170,-2458.3388201806047
171,-2469.0955449983185
172,-2479.988316803262
173,-2491.981897668915
174,-2504.625032600672
175,-2520.294477082012
176,-2532.9931184124516
177,-2547.2711536253737
178,-2560.010927942984
179,-2573.2104014913975
180,-2584.129320295511
181,-2593.805007476626
182,-2606.9887562965346
183,-2617.679991370865
184,-2626.585597363499
185,-2636.0847711328415
186,-2650.8982302765544
187,-2663.515831246487
188,-2672.414562270703
189,-2683.0728616307515
190,-2692.795676896556
191,-2705.8470619850023
192,-2719.7251674574277
193,-2731.5419096645264
194,-2747.240993657224
195,-2758.7655916129843
196,-2768.856724475724
197,-2778.808755197192
198,-2789.490095791737
199,-2801.589545623205
200,-2811.2524505142464
201,-2822.7485247185173
202,-2832.656019787539
203,-2842.426665067572
204,-2852.083232760089
205,-2861.8985122448507
206,-2870.9731768870697
207,-2877.8974720356923
208,-2886.3940696578284
209,-2897.8656470164565
210,-2908.1800394861525
211,-2918.0191699798065
212,-2928.7521614514726
213,-2937.990848497656
214,-2949.5623026654966
215,-2959.330230247713
216,-2967.049808603785
217,-2977.7939530940002
218,-2987.5128904744015
219,-2993.9350855352386
220,-3004.242528803257
221,-3013.981606564864
222,-3021.561280400614
223,-3031.3404980965524
224,-3041.1261654341947
225,-3051.200349177723
226,-3059.733953826323
227,-3066.9951584306295
228,-3076.8764390320216
229,-3086.0952384028637
230,-3093.1293197356063
231,-3101.33021585113
232,-3111.3254681928015
233,-3119.5438759332296
234,-3128.2525029254057
235,-3136.1208370876557
236,-3144.32087462093
237,-3153.8755404365697
238,-3162.7636990569695
239,-3170.7819907674593
240,-3178.1028808542424
241,-3186.48725429352
242,-3193.747454105052
243,-3203.3857687816094
244,-3210.339856599446
245,-3217.2674292595084
246,-3224.8626879868243
247,-3234.629110139009
248,-3241.35733005063
249,-3248.1584689840124
250,-3254.036928261388
251,-3262.9938971903443
252,-3272.020297323683
253,-3279.218089128105
254,-3287.552832607417
255,-3297.0016270212495
256,-3304.3983655741667
257,-3310.476285140919
258,-3316.3785322648228
259,-3323.499009188809
260,-3329.5471067488334
261,-3335.3349543778677
262,-3342.6088040992086
263,-3349.7343798671363
264,-3356.870795476272
265,-3362.0599720406785
266,-3367.7191576297314
267,-3372.5161411739973
268,-3379.2829793436626
269,-3386.0994125708653
270,-3393.0417758048684
271,-3400.6408313176444
272,-3407.467317914234
273,-3414.690153029918
274,-3420.2892684039157
275,-3426.661634075707
276,-3432.766022229829
277,-3440.0515755540714
278,-3447.32978978428
279,-3454.3730341190076
280,-3461.4910247672733
281,-3466.980953419341
282,-3474.958376153436
283,-3481.249933997771
284,-3486.499598978067
285,-3492.8296116793895
286,-3499.7550430058313
287,-3505.722420826939
288,-3512.4300575469106
289,-3519.185684706791
290,-3526.416644307892
291,-3532.4675820838165
292,-3538.0296887672807
293,-3544.2633081761446
294,-3549.177097211674
295,-3555.9068488792086
296,-3560.617753363334
297,-3564.5922541647237
298,-3569.7386419110253
299,-3576.2015661342907
300,-3582.1638851033417
301,-3587.5265717063853
302,-3593.2690815174615
303,-3597.6125276381736
304,-3602.1130222409406
305,-3607.0293567013277
306,-3612.867302563661
307,-3617.4400130752997
308,-3622.7828112416078
309,-3627.5814973608813
310,-3633.3006070271495
311,-3638.14282113947
312,-3643.613464641658
313,-3648.831175364887
314,-3652.99570266661
315,-3657.92316827308
316,-3662.19358763177
317,-3666.5795753679668
318,-3670.2260469437792
319,-3674.776987272108
320,-3680.2946007356136
