iteration,value
0,4813.215907566869
1,4646.033343898521
2,4519.4834446043615
3,4431.605265201309
4,4324.622935977918
5,4229.971896248597
6,4110.700642368531
7,3992.891993864401
8,3900.4444697741023
9,3779.5577217336886
10,3691.4395974683353
11,3606.9393359566975
12,3522.407176034257
13,3426.8685246297136
14,3338.0692149051056
15,3251.244553287057
16,3167.463805097435
17,3097.3910050545524
18,3005.253456830873
19,2938.847639565254
20,2872.3978129467323
21,2793.5901107022437
22,2701.0218928247823
23,2639.2518123883133
24,2564.6077098890664
25,2500.5888378752193
26,2440.0252962961445
27,2378.9731814499087
28,2316.450340553749
29,2261.052140387387
30,2203.693729826955
31,2152.335470938065
32,2092.2221901480207
33,2033.1559640519108
34,1991.7399239895226
35,1946.103039258899
36,1899.5967679667078
37,1845.7717976504666
38,1794.945682307048
39,1745.2554987701249
40,1699.9557291179935
41,1649.217200731816
42,1596.5175684812339
43,1565.7452780906467
44,1526.7926075263958
45,1483.7862469294519
46,1454.046683095233
47,1416.7566121886148
48,1387.1766083432549
49,1363.7787685590872
50,1363.0588456718583
51,1361.9979786696063
52,1360.6691104821602
53,1359.232804388771
54,1357.1902017122234
55,1354.926518454023
56,1351.887941137744
57,1349.2915726046906
58,1345.7182534273038
59,1342.2403250253296
60,1338.5635325241738
61,1335.4144459867152
62,1331.553112068681
63,1326.978355745395
64,1322.3991232906599
65,1317.3213614020162
66,1312.1312197709083
67,1307.00053447001
68,1302.0331358367193
69,1296.6788682247031
70,1291.161948984273
71,1285.4847953918932
72,1279.8529254709622
73,1273.0474454975817
74,1267.4953581258253
75,1261.6180235456063
76,1256.5799000361958
77,1249.7060307691486
78,1243.51408549145
79,1237.7770834566375
80,1231.7037152010569
81,1224.6560233575365
82,1218.4103553810796
83,1212.342676009233
84,1205.9963590370444
85,1199.430000016583
86,1192.146596620719
87,1186.1548265862402
88,1179.5139903919264
89,1171.7442452813677
90,1165.2368889586335
91,1158.2613128184635
92,1150.6075912137533
93,1145.0294235219367
94,1138.4511097793695
95,1132.223945693039
96,1125.4515678843356
97,1119.0858286903588
98,1111.6334231857434
99,1103.8590622796705
100,1095.846901392831
101,1088.5667698420766
102,1081.7523183536491
103,1075.5926340217477
104,1069.8523514299313
105,1064.111923238847
106,1059.902719859418
107,1054.7306964904672
108,1050.445204588252
109,1045.7979169754713
110,1041.7099476243332
111,1037.4123726820972
112,1033.7285954397885
113,1029.4897645895544
114,1025.8009516916238
115,1022.2861883278075
116,1018.301630228133
117,1014.1938102563918
118,1009.9933630326522
119,1006.65001027962
120,1002.6161642317475
121,998.3131868482728
122,993.6700336836774
123,988.9476328279226
124,984.7965840972973
125,980.776416467375
126,976.6282951139839
127,972.2270836211633
128,967.8466936306852
129,963.5648332654663
130,959.4663802856921
131,955.6093025234082
132,951.0380335851537
133,946.2686992346848
134,941.6633604728656
135,937.196885096049
136,933.13285259609
137,928.4458993561418
138,924.0825943966965
139,919.0029897929746
140,915.0046692615531
141,910.9614385695427
142,907.2858121065988
143,903.6731371751328
