iteration,value
0,192.49791830701602
1,192.4216834940934
2,192.3308445753616
3,192.21586225688282
4,192.12206965504765
5,192.03273029075328
6,191.93295079991444
7,191.83626536289503
8,191.7330023698427
9,191.616427536933
10,191.53030535632573
11,191.4707447230446
12,191.37878592434768
13,191.26627061054515
14,191.17500385056323
15,191.09023950994452
16,190.98453179453162
17,190.89563339535576
18,190.8018904718057
19,190.71707169259
20,190.63347173964112
21,190.53528259236643
22,190.41608668406604
23,190.30857750191439
24,190.21771637465542
25,190.13695765669857
26,190.04905113407656
27,189.9365497734674
28,189.8352026811687
29,189.74515759839068
30,189.64095664262817
31,189.53683484377518
32,189.43308053645225
33,189.33132161218612
34,189.232481276142
35,189.14810612852884
36,189.0562651576638
37,188.9671570828529
38,188.88187616567768
39,188.78789491758442
40,188.70338565685924
41,188.60494389914464
42,188.50916799826902
43,188.4159560600778
44,188.32564728790462
45,188.22503812060523
46,188.15139034320896
47,188.06095084858896
48,187.97833116661263
49,187.90069140864418
50,187.89956131399498
51,187.8979600660209
52,187.8951179993793
53,187.89124447278942
54,187.88498465744152
55,187.87932336458994
56,187.8736216498539
57,187.86481563992731
58,187.85641929924722
59,187.84896808792382
60,187.83816909926904
61,187.82558850581975
62,187.8122336419367
63,187.80036591588893
64,187.7867221571762
65,187.76940128526087
66,187.7549892013342
67,187.73877265024464
68,187.72123610090267
69,187.7006689524394
70,187.68388345398776
71,187.66673495725877
72,187.65154761278254
73,187.6359126879681
74,187.61655822718228
75,187.59715557545564
76,187.580417675517
77,187.56348712913908
78,187.54395176759675
79,187.52452139698997
80,187.50391322008463
81,187.48091242083225
82,187.4592122404541
83,187.4348844122103
84,187.41489803909792
85,187.39189091944584
86,187.3714986815013
87,187.35137351907758
88,187.32902031841903
89,187.30777962908004
90,187.28760186304902
91,187.26366782251532
92,187.2366518041508
93,187.21681130201176
94,187.19775609069254
95,187.168548286505
96,187.1446590135965
97,187.11975196179338
98,187.09575726438047
99,187.06079723570085
100,187.0241259575227
101,186.989536739057
102,186.9544926017858
103,186.92508088192992
104,186.89768864065329
105,186.8683380242314
106,186.8368875813943
107,186.81040745540147
108,186.78688083905462
109,186.761524890676
110,186.73587327971916
111,186.71452463064963
112,186.69051432365418
113,186.67003390120854
114,186.64853551012902
115,186.63026458273578
116,186.61086923077457
117,186.59235614873785
118,186.57352355649056
119,186.55526848320608
120,186.53563125395854
121,186.51713443011855
122,186.49580432026622
123,186.47183506337683
124,186.44875932835544
125,186.42804930827634
126,186.4065873399045
127,186.38633531149063
128,186.36901209126808
129,186.34907997122812
130,186.3289163500792
131,186.3075172682517
132,186.28356847191247
133,186.2617538378327
134,186.24096604388626
135,186.22058684085525
136,186.19707828814472
137,186.17394913927677
138,186.15074250015206
139,186.12464472298007
140,186.09860008196256
141,186.07498007474837
142,186.05313698262023
143,186.0297506608462
144,186.00520591750296
145,185.98000109109012
146,185.95208051620907
147,185.92781863492633
148,185.90215328721604
149,185.87710688432458
150,185.848048029414
151,185.8226926773611
152,185.7973945716435
153,185.77405028211808
154,185.75382801325728
155,185.73090246191404
156,185.71025554485453
157,185.69068176263198
158,185.67486306941728
159,185.6587838851344
160,185.63912230420996
161,185.62261975582098
162,185.6037838013992
163,185.587213821076
164,185.56242344231532
165,185.53854185391427
166,185.51780770130716
167,185.4974910853405
168,185.47611564104807
169,185.45269827149679
170,185.4327519491796
171,185.41348547230118
172,185.39193755643305
173,185.36853352404816
174,185.34788843717746
175,185.32573166917368
176,185.3001164199055
177,185.2797647710148
178,185.2584425865624
179,185.23737823705954
180,185.21935093233716
181,185.19902713696598
182,185.17765890427614
183,185.1565902303819
184,185.12937078396487
185,185.1062623965039
186,185.08331374246342
187,185.05766976280736
188,185.0321616693674
189,185.00658401503233
190,184.98312094910997
191,184.96429025802684
192,184.94022342907815
193,184.91828336929703
194,184.89599658725717
195,184.87192061219685
196,184.84925780829565
197,184.8255933936
198,184.8064287030756
199,184.7827452752773
200,184.7625230618081
201,184.7423293935818
202,184.72543889752654
203,184.705234558928
204,184.68324263860003
205,184.6644668284484
206,184.64303751302006
207,184.61670875034014
208,184.59592301209096
209,184.57512421356873
210,184.55182316733516
211,184.52694458221387
212,184.5054221153775
213,184.4843798696309
214,184.46702330738154
215,184.44758881867563
216,184.42750017863673
217,184.40531252096025
218,184.38298688650767
219,184.36117341002569
220,184.34090691949092
221,184.32353742536404
222,184.30130374160683
223,184.27803065354814
224,184.2561467722328
225,184.23286032506053
226,184.21211485701204
227,184.189208094907
228,184.1678151380062
229,184.1429748362204
230,184.1225667885184
231,184.10133236317867
232,184.08739108712442
233,184.06071949024383
234,184.0395334294748
235,184.0196517638931
236,183.9993985910725
237,183.97768886590276
238,183.9605633701543
239,183.94322941008835
240,183.92209119808655
241,183.89809766125128
242,183.88049949010895
243,183.85917663663312
244,183.84128289781145
245,183.82261869819266
246,183.8024095551931
247,183.77892733483623
248,183.75847719320996
249,183.74235142245416
250,183.72103824340354
251,183.69995304899405
252,183.67857015287984
253,183.65501421727544
254,183.6355542639397
255,183.61731516449677
256,183.5994237107178
257,183.5770802726865
258,183.55450183908846
259,183.53324637143822
260,183.51450998376885
261,183.49460000741655
262,183.4710902170453
263,183.44919387399088
264,183.43033928446485
265,183.4106273520269
266,183.38939743635004
267,183.37226370934087
268,183.3510892029515
269,183.32657362228045
270,183.30742567258184
271,183.2852511899081
272,183.2614532551975
273,183.2424344568678
274,183.2265374847536
275,183.20715939921917
276,183.17956661374095
277,183.15500804486692
278,183.13527744629272
279,183.1107038186263
280,183.08801634778214
281,183.06689249806993
282,183.04409160831125
283,183.02189396519174
284,183.00328927193192
285,182.98079968741226
286,182.96221986431974
287,182.94115819450687
288,182.92003610690827
289,182.89764234628365
290,182.87893736557774
291,182.86060358787287
292,182.8408853887457
293,182.82142937472898
294,182.80345143228354
295,182.78417489747198
296,182.76560077367142
297,182.74688003185008
298,182.72728588616658
299,182.71117578953593
300,182.69506138946616
301,182.6734740621837
302,182.65683527644504
303,182.6374625462151
304,182.6193273819848
305,182.60365395128434
306,182.58416177311508
307,182.56527273334865
308,182.54627417761841
309,182.5259097949255
