iteration,value
0,4144.754783732598
1,517576.5828791044
2,11347.979011389478
3,6814.7616974693065
4,4802.592048666081
5,3822.7328047207648
6,3292.9651074976573
7,3034.634362586284
8,2869.4527719107805
9,2783.8680208192372
10,2725.1674052455
11,2689.582822672366
12,2662.0925526636747
13,2639.518799175394
14,2622.5909482512757
15,2607.5037382895716
16,2595.014412180037
17,2573.0047765509275
18,2552.8898477569846
19,2538.086763121012
20,2509.2509033434653
21,2504.73987966727
22,2471.7712224322236
23,2436.2837974817567
24,2414.3540845774096
25,2363.890277821053
26,2336.1852982273062
27,2337.1772470456203
28,2265.555280015926
29,2238.676934545169
30,2181.4612487104587
31,2277.4512630357763
32,2202.010393683784
33,2285.3347673035823
34,2173.4707909743247
35,2286.919986879262
36,2431.021942153626
37,2412.5091031218185
38,2743.5123213869183
39,3060.642920255207
40,3164.506005180228
41,3239.497350537405
42,3270.3592819488167
43,3289.755024144225
44,3272.5169627073965
45,3269.1688665751285
46,3328.350191825081
47,3371.9391406474842
48,3418.6668084734465
49,3425.4505741346484
50,3432.3151050527226
51,3482.8388634503012
52,3535.275398494272
53,3501.2916954980205
54,3453.600639893321
55,3377.275913120615
56,3223.13570817888
57,3102.6563669819316
58,2907.878339789865
59,2959.7717454119015
60,3011.9208896514183
61,3046.754292494932
62,3071.751659684861
63,3074.2121594631626
64,3109.72904312141
65,3140.3436791299146
66,3177.935992997298
67,3182.7661015723033
68,3168.819811023548
69,3165.5386849330266
70,3147.2490847772824
71,3116.1374755467295
72,3108.5614527649873
73,3089.7865783096004
74,3086.5375021837526
75,3109.2195460298367
76,3111.5649605905232
77,3117.584670008528
78,3119.4229912878645
79,3106.7637192598695
80,3104.1849502756518
81,3104.1755824062434
82,3105.020060883343
83,3103.178257829306
