iteration,value
0,26.324456656530472
1,151.00219547247116
2,-2.3944320311041594
3,-4.199191046329293
4,-5.122042491629296
5,-6.261910480387679
6,-7.765577619912559
7,-9.681199421722697
8,-12.11187596074106
9,-15.280088555912217
10,-19.88808474567738
11,-26.532984915530292
12,-36.41154837684346
13,-50.37339820409536
14,-70.26218509327371
15,-96.03760517726384
16,-131.0904307926256
17,-157.63505975330878
18,-201.53578432237634
19,-239.76001680012948
20,-283.9379326982274
21,-321.0292076763598
22,-365.2948437979469
23,-410.6687716847277
24,-455.1234845989003
25,-501.1783679566019
26,-543.3604789131659
27,-588.0773477787666
28,-622.8487424383973
29,-656.0976015761435
30,-693.5868052166549
31,-700.2269933102871
32,-729.1317857076397
33,-747.5587758110614
34,-781.4497947008083
35,-801.2943768882822
36,-828.5836877297963
37,-841.7180106332306
38,-865.7761615795441
39,-883.6006876479449
40,-896.4827152559209
41,-910.0955669695225
42,-926.0011015346477
43,-940.0363432383369
44,-955.0484003958577
45,-963.5295359835889
46,-985.4355886870692
47,-990.2314606805962
48,-1007.9896263844792
49,-1023.8122071655753
50,-1039.938501109421
51,-1061.0044273504889
52,-1073.571451955504
53,-1092.6155557519198
54,-1098.025646344561
55,-1106.8595026622525
56,-1129.4878729632062
57,-1146.5526254648612
58,-1160.8961643054988
59,-1167.2701672148237
60,-1178.9150378634802
61,-1194.756703247239
62,-1211.8815328888336
63,-1222.87993510077
64,-1231.036160376679
65,-1239.5798027693336
66,-1252.6170075996629
67,-1272.9476464381269
68,-1288.8350156749548
69,-1304.3799030277855
70,-1311.3007513453194
71,-1316.1414461307163
72,-1332.4982233520925
73,-1348.2063341938574
74,-1364.2334557258073
75,-1369.313495087778
76,-1388.411778782724
77,-1400.5174270706098
78,-1415.9029749743609
79,-1434.0441655178788
80,-1450.6917687619507
81,-1458.6468627172635
82,-1458.9622272574443
83,-1474.018104237589
84,-1488.6930333223431
85,-1504.809270224582
86,-1519.0882814777751
87,-1536.5650267216042
88,-1547.6194628892026
89,-1563.857177272784
90,-1581.8058431380564
91,-1596.6315640263874
92,-1605.3667008877876
93,-1612.0086770626933
94,-1619.4683113419487
95,-1633.574590857354
96,-1645.60792491852
97,-1653.2449884501393
98,-1659.3557131483285
99,-1672.4896125839982
100,-1689.8903502032897
101,-1707.4090003304702
102,-1721.0721974952712
103,-1724.2466153097148
104,-1737.457268374019
105,-1746.33229765586
106,-1762.1896378029523
107,-1781.3512877194
108,-1795.476365251961
109,-1799.3925508604066
110,-1805.290817205877
111,-1821.1517599887409
112,-1832.2418778770525
113,-1845.998379330048
114,-1857.9200034242592
115,-1865.6290554813652
116,-1872.109760548995
117,-1885.8161959191941
118,-1900.3712759148877
119,-1915.0540252836522
120,-1909.2262685372896
121,-1923.2994546037937
122,-1939.8235309731572
123,-1954.6821203953539
124,-1971.4499922985503
125,-1973.2596764376156
126,-1984.3037120900335
127,-1988.6863674096955
128,-2003.157814681945
129,-2018.5849933744855
130,-2042.100530293036
131,-2050.5233010334
132,-2064.89964661267
133,-2076.279348334492
134,-2092.1696155972068
135,-2107.6662340769535
136,-2116.089986876277
137,-2130.1584519984353
138,-2143.5217895756946
139,-2146.606398365156
140,-2153.7720725570025
141,-2167.145477221722
142,-2170.1466454158863
143,-2179.01657843636
144,-2193.2643747005486
145,-2204.584509182304
146,-2213.315935704923
147,-2215.6749847804895
148,-2233.7939456647473
149,-2254.2185939674473
150,-2266.984091187752
151,-2282.548536183796
152,-2299.79891073407
153,-2314.2076775158584
154,-2329.7513741385637
155,-2338.7235174445223
156,-2343.830046610388
157,-2347.391643962415
158,-2347.1134591841937
159,-2365.1433205738963
160,-2369.852045468155
161,-2383.0860604810314
162,-2397.158608830744
163,-2416.8317355480967
164,-2422.200726943881
165,-2416.956040088827
166,-2441.715100528768
167,-2456.6985643727194
168,-2454.6864026769854
169,-2447.6798960036813
170,-2469.127744732246
171,-2482.5053030760955
172,-2495.84516559026
173,-2507.7990654363657
174,-2518.369072465266
175,-2505.2759679794467
176,-2504.5584927127143
177,-2520.02553948701
178,-2530.593761869113
179,-2528.182774019512
180,-2547.8910650383013
181,-2560.519745957332
182,-2578.7524660626086
183,-2591.6724256315406
184,-2601.8287304847513
185,-2609.8990038102197
186,-2621.5703236206373
187,-2639.550857326592
188,-2636.249108105043
189,-2638.7900655982444
190,-2656.4023839541746
191,-2663.969814701353
192,-2659.375207729893
193,-2678.379311167559
194,-2691.5472590417216
195,-2705.9210280044767
196,-2726.2169515245205
197,-2717.4930766077973
198,-2715.2274198955424
199,-2725.5943694032703
200,-2720.4529476962757
201,-2740.5263442155747
202,-2739.7064234345294
203,-2752.4604272324277
204,-2751.1131023914377
205,-2770.8753569225246
206,-2785.7029516809466
207,-2770.4175399942797
208,-2773.668804754424
209,-2792.8126820709003
210,-2807.1291415351475
211,-2839.96874466543
212,-2834.7058317020637
213,-2838.4928915882147
214,-2834.7845186014924
215,-2858.584657185712
216,-2857.7263918423982
217,-2849.636910896082
218,-2867.6550735221026
219,-2866.142311935633
220,-2877.6277078954236
221,-2878.707100899611
222,-2879.779071547354
223,-2871.2539995364928
224,-2897.3320124943284
225,-2903.7162662563464
226,-2905.0387418372525
227,-2902.746424504573
228,-2897.7154972644958
229,-2906.086603204972
230,-2907.577887290389
231,-2927.050014919876
232,-2938.6406062369056
233,-2949.5708341751483
234,-2964.1803590812024
235,-2957.0916370931673
236,-2964.0606356923813
237,-2962.2117441479295
238,-2972.2243843084225
239,-2986.3794368746876
240,-2982.862454250549
241,-3016.288890202864
242,-3014.962030180582
243,-2984.94166279437
244,-3009.8341047471395
245,-3023.2254408216845
246,-3028.899683828457
247,-3045.915777773069
248,-3037.4711135796874
249,-3041.037608558648
250,-3056.615498779799
251,-3065.727800018243
252,-3056.481898759301
253,-3072.1089039043927
254,-3077.3180401630702
255,-3067.973706230708
256,-3063.7913329794537
257,-3069.8535549583594
258,-3085.656446070816
259,-3102.693363368652
260,-3110.9131630949137
261,-3108.3703606278527
262,-3136.383222099211
263,-3136.9164376620383
264,-3119.364314683805
265,-3084.7043424193535
266,-3081.001323659553
267,-3088.8745921146883
268,-3061.7619589568826
269,-3062.6267964763542
270,-3061.093502809455
271,-3062.9455624961142
272,-3098.69104525221
273,-3117.1848961388764
274,-3116.1072086372124
275,-3079.566318213785
276,-3109.5105116843233
277,-3103.4878558912815
278,-3079.8472683847936
279,-3007.537934652866
280,-2995.6415588676646
281,-2950.7284930619576
282,-3003.018545551579
283,-2977.0624061784183
284,-2919.9621144935186
285,-2904.3598803760965
286,-2951.5024386042983
287,-2931.6100289922315
288,-2941.9992663217554
289,-2905.42909778017
290,-2923.364203203392
291,-2949.836468837606
292,-2939.0316708029623
293,-2963.632639022418
294,-2958.79135254133
295,-2912.8318585152874
296,-2970.1705529462247
297,-2962.5483209697672
298,-2848.0576171690327
299,-2759.221141782449
300,-2645.747433782868
301,-2612.287817840178
302,-2591.0766050419325
303,-2573.7521329449874
304,-2553.8077248093423
305,-2555.6044895366003
306,-2527.8378484414807
307,-2528.0169184376928
308,-2502.3922438178415
309,-2445.512167688573
310,-2415.081396848591
311,-2419.3223590383914
312,-2372.608758475256
