iteration,value
0,-5.857390789596865e-06
1,-0.00010220787470807268
2,-0.000143393192219515
3,-0.00017085348996224815
4,-0.00019175798741991498
5,-0.00021341624524755205
6,-0.00023213932816557026
7,-0.0002475764147012457
8,-0.0002630830124530036
9,-0.0002812683879519443
10,-0.00030262951011946485
11,-0.00032201660182048727
12,-0.00034025482870254556
13,-0.00036174673661271324
14,-0.0003826111427947652
15,-0.0004001652535831215
16,-0.0004160684844632942
17,-0.00043480565351613885
18,-0.0004586506026115015
19,-0.0004834217656108466
20,-0.0005093660131922778
21,-0.0005349959143160279
22,-0.0005575400898267145
23,-0.0005786222968544128
24,-0.0006069226647745988
25,-0.0006408965758034544
26,-0.0006778209505861028
27,-0.0007078683537008637
28,-0.0007357250646195376
29,-0.0007748624615920041
30,-0.0008233582412880193
31,-0.0008593498639652758
32,-0.0008930728958457138
33,-0.0009388859599714363
34,-0.0009945409237661347
35,-0.0010353593817287665
36,-0.0010866305044467664
37,-0.0011450309302412105
38,-0.001192814431808742
39,-0.0012541252170790052
40,-0.001324131509274517
41,-0.001400295143518676
42,-0.0014843218208090406
43,-0.001575360654255087
44,-0.001682045317135933
45,-0.0017946935466294093
46,-0.0019173180576494415
47,-0.002052238604562273
48,-0.0021830173567967295
49,-0.0023175051216361986
50,-0.002468457720391707
51,-0.0026349458709410377
52,-0.0028172050643832367
53,-0.00302445665126144
54,-0.003251418298071667
55,-0.0035051384689406056
56,-0.003785753119392526
57,-0.004091781307246733
58,-0.0044345840668073705
59,-0.004807257874987118
60,-0.005217359249470416
61,-0.005627974592758237
62,-0.00607348492971688
63,-0.006513318217208012
64,-0.0069902749564418
65,-0.007522734817724256
66,-0.008095487092764303
67,-0.008661528500154593
68,-0.009281754944261667
69,-0.00988736434436432
70,-0.010558606115139648
71,-0.011280219913442514
72,-0.01206155241569374
73,-0.012820903214565542
74,-0.01356185026988271
75,-0.014362867307732202
76,-0.015221439205193293
77,-0.016058419176449953
78,-0.016926993397586805
79,-0.017776404234635654
80,-0.018673065129413118
81,-0.019572765380628993
82,-0.02039577022304891
83,-0.021245585228671246
84,-0.022063877513727303
85,-0.02280184335273889
86,-0.02354901956937489
87,-0.024210765465916932
88,-0.02485989212929279
89,-0.025453261004229698
90,-0.02597233967862776
91,-0.02647720339963387
92,-0.02692007970775563
93,-0.027358935106065033
94,-0.027745273813504313
95,-0.02808071506410583
96,-0.028415525716238645
