iteration,value
0,2.457755273422499
1,0.39620030737669476
2,-4.387092587735132
3,-2.9178438193566305
4,-2.7323403482104083
5,-3.5830523525908706
6,-3.214443345968386
7,-5.915557503707057
8,-4.694997031441792
9,-2.3117087975957613
10,-4.79990981117186
11,-4.199718153486575
12,-3.6173138708800643
13,-5.130940655049817
14,-4.161061498952691
15,-3.164520434449824
16,-3.7768861410913432
17,-3.0067409156056857
18,-6.1396007720616055
19,-7.427231229006643
20,-6.952909350239677
21,-4.346226021476456
22,-3.925135104037612
23,-4.674422860439041
24,-3.8351767825086367
25,-5.468144572913602
26,-5.162275501894074
27,-6.649915907734659
28,-6.239197565309331
29,-3.1267545516524446
30,-3.452316657471158
31,-5.222782961684445
32,-3.2999876967753825
33,-6.804385479728539
34,-6.88227687697041
35,-4.449877980025929
36,-4.224139513092507
37,-5.165301559896811
38,-4.34663145053664
39,-4.552201480356625
40,-3.799030664735984
41,-2.793635296821387
42,-4.379849458637423
43,-4.8389360624464155
44,-1.2487896906887999
45,-3.4402596811884054
46,-4.733959747665805
47,-6.445381046032621
48,-5.835120252906225
49,-2.8114887117660423
50,-3.30682260153612
51,-3.1622554772254587
52,-4.628607075021506
53,-3.5657061167641926
54,-3.1952143840128735
55,-3.6174044194249024
56,-2.19235355611112
57,0.8879816262859246
58,-1.8301015732051482
59,-2.3376074464120413
60,-1.9353337529225743
61,-3.97148809897983
62,-1.248489385468465
63,1.138246074214388
64,-1.3916551103951122
65,-2.4068018698501756
66,-6.339896554794194
67,-2.8800466412565497
68,-2.21325276136978
