iteration,value
0,-3.2708967146459305
1,-20.592327055927406
2,-33.36336663143279
3,-37.62387720440313
4,-51.334065829569376
5,-59.51643826165202
6,-62.34201611248401
7,-66.21317248744825
8,-69.95762060470946
9,-73.42675544719516
10,-76.90495668690468
11,-80.33648140552545
12,-83.71631378167386
13,-86.95253479209403
14,-90.06187322135848
15,-92.9054061015805
16,-95.48301132884133
17,-97.84309740787852
18,-101.32948101867333
19,-103.9720068359214
20,-106.35631527766529
21,-108.4369935788512
22,-110.47675428524632
23,-112.54196876744007
24,-114.88967141481845
25,-120.23944995132783
26,-126.30459505817913
27,-132.98902067132158
28,-139.53162830301127
29,-143.64517434258616
30,-147.71518240234062
31,-151.53324139019372
32,-155.29470740618984
33,-158.9637319638291
34,-162.71291660977414
35,-170.45462449062748
36,-179.18078995764137
37,-189.05158499228472
38,-199.90555326597988
39,-212.05639068482776
40,-226.05693096457594
41,-241.98101109839837
42,-259.41019199177964
43,-279.47669538951624
44,-301.56266488874815
45,-326.699303673585
46,-355.58134458531373
47,-388.460915097674
48,-426.88338635761585
49,-469.4590891471899
50,-516.9765777897748
51,-570.5864498773765
52,-629.07738151834
53,-695.5907909103735
54,-771.568471771538
55,-853.988544649194
56,-946.268673029599
57,-1051.582388405937
58,-1170.7068301422507
59,-1300.108329225783
60,-1441.8783626741506
61,-1602.008003633777
62,-1780.336524762255
63,-1979.1740923422974
64,-2201.010213050503
65,-2446.9461962458936
66,-2720.489201425639
67,-3026.3747512598293
68,-3366.9923680822885
69,-3745.701728229691
70,-4167.15510067742
71,-4638.691282470484
72,-5161.355062357444
73,-5741.089754393909
74,-6386.735774108866
75,-7105.260183391478
76,-7904.580006144806
77,-8705.35434035517
78,-9595.053155229478
79,-10583.518564375894
80,-11573.045967151544
81,-12672.090712255069
82,-13892.962393069141
83,-15114.39809142924
84,-16473.731904662945
85,-17982.801907703833
86,-19492.74193528186
87,-21170.88872462782
88,-23037.32271485725
89,-24904.184489643718
90,-26978.516666857984
91,-29281.41841266735
92,-31587.328109987466
93,-34149.55080627445
94,-36996.22881238721
95,-39843.77375516803
96,-43004.84556864887
97,-46517.2225191334
98,-50031.877512339706
99,-53938.660589852414
100,-58278.90069616221
101,-62619.08456748869
102,-67440.61695959314
103,-72798.22270618843
104,-78158.1076227389
105,-84114.17041934076
106,-90730.97379822985
107,-97346.36621971094
108,-104699.60353682547
109,-112870.82166772199
110,-121043.18603458047
111,-130124.93671482986
112,-140213.94372372035
113,-150302.95580982324
114,-161510.3823897927
115,-173964.92782863614
116,-186421.4827014447
117,-200261.136354517
118,-215639.18266707007
119,-231017.68851642066
120,-248105.05395499885
121,-267091.29556669894
122,-286078.2687948627
123,-307174.9221221377
124,-330614.96820689633
125,-354056.3587715883
126,-380101.8740968297
127,-409041.91362796613
128,-437983.1115730304
129,-470140.9287433342
130,-505869.3670102515
131,-541596.0487843032
132,-581293.9681766037
133,-625403.6895014779
134,-669514.6423114482
135,-718526.8791622915
136,-772985.2926604546
137,-827446.0176125248
138,-887957.9969873233
139,-955189.9854244558
140,-1022420.9462795283
141,-1097122.8577240908
