iteration,value
0,639.4809646975524
1,759.4665016044612
2,282.563099249657
3,127.81498262759361
4,73.26894802387346
5,38.83274424642194
6,14.071647892338714
7,2.146082700103872
8,0.4070307060331881
9,0.2756954749978944
10,0.11587604071328544
11,0.0806426533308379
12,0.0439142620061273
13,0.037211981284612616
14,0.029400181666421075
15,0.024546846517796775
16,0.018004189307124465
17,0.012635025392694899
18,0.009635823089794337
19,0.007183388508812814
20,0.00519595726819181
21,0.003733185036091496
22,0.0026908867120271902
23,0.001971265372772028
24,0.0014177263400855006
25,0.0010168487553182592
26,0.0007700541782614366
27,0.0005832729301166509
28,0.000431283185896276
29,0.00032317369271561377
30,0.0002450389899159391
31,0.0001876896852965766
32,0.0001457327899709832
33,0.00011287030616268313
34,8.8508111386264e-05
35,6.945216187595392e-05
36,5.452671521390015e-05
37,4.314789806475791e-05
38,3.3582447929715575e-05
39,2.6312814728330663e-05
40,2.0767585541210377e-05
41,1.6459763193962596e-05
42,1.283073154128819e-05
43,1.0062355818920824e-05
44,7.927104982594518e-06
45,6.282049096713145e-06
46,5.004344681995709e-06
47,3.918694052290633e-06
48,3.087819746036719e-06
49,2.449338945036562e-06
50,1.95274087729993e-06
51,1.5279376343577481e-06
52,1.2043716941560602e-06
53,9.553726178788846e-07
54,7.613629114007661e-07
55,5.956517311836192e-07
56,4.6945781358429485e-07
57,3.7194336086534876e-07
58,2.9668666042022236e-07
59,2.3224265189578893e-07
60,1.8309740477918762e-07
61,1.4526935996610644e-07
62,0.8367738239267855
63,0.6833725284214718
64,0.5774449529728332
65,0.40351872517254583
66,0.3153272792875126
67,0.045760504693505566
68,0.0335790377579185
69,0.018789481955589486
70,0.015943733923359422
71,0.011445603554542313
72,0.007357418681228932
73,0.005481646656496485
74,0.004040331800144032
75,0.002727078852676432
76,0.0018766740442275323
77,0.0013691404041311825
78,0.0011001266697562417
79,0.0008309169323639646
80,0.00058801729302092
81,0.0004333825361880424
82,0.0003135099612378489
83,0.00022813767841235204
84,0.00016923877079129802
85,0.00012460220847406302
86,9.243142605609126e-05
87,6.92786273753919e-05
88,5.199758945761567e-05
89,3.8913688739290025e-05
90,2.915681897495599e-05
91,2.2221135896252574e-05
92,1.685419802319031e-05
93,1.2843475156614869e-05
94,9.87887531866171e-06
95,7.65298864455539e-06
96,5.964951742297183e-06
97,4.6816395459871305e-06
98,3.6954642740257475e-06
99,2.9329687053676724e-06
100,2.3424138884364657e-06
101,1.8804857192183867e-06
102,1.5167355231572608e-06
103,1.2295069958674404e-06
104,1.0025228834999807e-06
105,8.204637728198679e-07
106,6.606760266457245e-07
107,5.347272372178372e-07
108,4.3504731294949033e-07
109,3.478920674791316e-07
110,2.7985360305698123e-07
