iteration,value
0,4144.754783732598
1,517576.5828791044
2,7669.463051744146
3,4783.5504608060455
4,3585.026674743206
5,2946.297770191044
6,2583.2719285369285
7,2370.619068516258
8,2260.750157581572
9,2196.0109626420044
10,2151.829030423598
11,2117.6076141125586
12,2088.1177987924525
13,2059.571640807957
14,2031.4195497476585
15,2002.1143364690306
16,1975.9420154914199
17,1947.6884347246241
18,1912.547855260876
19,1876.5602074534559
20,1837.9287348939174
21,1797.0159377087675
22,1754.9486605338975
23,1724.4953939753298
24,1683.9124912731218
25,1637.6516895513776
26,1591.63428231437
27,1559.311844222615
28,1516.248431829629
29,1482.4165371353472
30,1458.5708494883352
31,1433.8334542204216
32,1415.9864994985228
33,1399.5268543109082
34,1380.8690584798449
35,1385.1258258279595
36,1356.698502199139
37,1348.77390841658
38,1337.288682603795
39,1321.171689007016
40,1318.029207084218
41,1329.5172530420446
42,1314.0166773799142
43,1311.1987098235513
44,1299.3026016854396
45,1299.1903471641524
46,1300.4765993002952
47,1301.344779436099
48,1290.286417441319
49,1296.8275627376156
50,1308.4743191940295
51,1309.3747537187778
52,1288.2456515359272
53,1302.8624628509306
54,1317.8898296744178
55,1291.806437671995
56,1305.9255020837022
57,1301.291921162324
58,1304.0689817539253
59,1280.587847514746
60,1316.0488002298653
61,1341.9555374272766
62,1344.822925158106
63,1295.8456736688988
64,1301.6528081956978
65,1285.6808904036716
66,1296.9478521135943
67,1296.724519177892
68,1294.0992580852753
69,1295.0239388186378
70,1300.855361033569
71,1283.1459472713327
72,1289.154514911138
73,1264.9006545495254
74,1314.52683826049
75,1333.6554136665613
76,1280.4697952549632
77,1370.3458691857174
78,1410.7942224849885
79,1381.498210192118
80,1305.637119927855
81,1339.0669975570322
82,1299.7563054840848
83,1328.594486741813
84,1275.096390420364
85,1398.1260640948194
86,1414.4083739569814
87,1360.9834032846231
88,1322.1415720336136
89,1309.9726362966658
90,1286.7814962480102
91,1292.5937295752392
92,1354.4567605089812
93,1372.2856010453693
94,1295.159402370517
95,1317.2460582417602
96,1308.8214685914322
97,1475.4965307803504
98,1529.0269249806308
99,1564.1897631623942
100,1491.3877754068712
101,1346.447864755756
102,1669.5568402575898
103,1713.1047386141663
104,1770.4591089759956
105,1740.908557420179
106,1606.6370750610088
107,1807.4340409892309
108,1879.4650505966397
109,1818.0109107706526
110,1664.9428632327563
111,1891.6541578438514
112,1968.6630343742595
113,1878.0773903492
114,2341.909057785182
115,2461.3566935355184
116,2462.867523240244
117,2467.4175231614754
118,2495.152422149788
119,2515.185685904322
120,2513.3234020599593
121,2512.8643418251377
122,2505.2428743621995
