iteration,value
0,75.1928002298645
1,141.19803943032298
2,10.984859996063534
3,3.726342516970749
4,2.3007706139927677
5,1.653554205476737
6,1.2119713652278918
7,0.8865345762970295
8,0.6479544184291591
9,0.4724229158712433
10,0.3429474182772646
11,0.24787427825256597
12,0.17812103107039234
13,0.1272918100032541
14,0.09044069452883144
15,0.06424560005980091
16,0.045530846871744614
17,0.032136310529201136
18,0.02267021478746844
19,0.015882634779124005
20,0.011063477634377407
21,0.007688202189284158
22,0.005542783988916371
23,0.0041117910479274945
24,0.003118127227512405
25,0.002414165675067834
26,0.0019021773020335712
27,0.0015233489792145123
28,0.0012082945165043106
29,0.0009732217483300585
30,0.0007952166560835991
31,0.0006432401187877264
32,0.000526422113953192
33,0.0004354552570217538
34,0.00035636719871435157
35,0.00029452546701828496
36,0.0002457725192105661
37,0.00020293512433189432
38,0.00016921074363428128
39,0.00014236172000005865
40,0.00011860443901913397
41,9.970871684736086e-05
42,8.29979398784145e-05
43,6.975708302070513e-05
44,5.9168282094100825e-05
45,4.9660562935813045e-05
46,4.2032835989566974e-05
47,3.526893958977587e-05
48,2.982428046834612e-05
49,2.5419294652483245e-05
50,2.1470185001562083e-05
51,1.8274326848310043e-05
52,1.5401105318165376e-05
53,1.3084633319358333e-05
54,1.1196182985571166e-05
55,9.495279912879616e-06
56,8.115996429179593e-06
57,6.871070366644444e-06
58,5.8629937472006425e-06
59,4.955841421827932e-06
60,4.222689573288549e-06
61,3.560896857622343e-06
62,3.026410394339266e-06
63,2.5922191868418125e-06
64,2.198534485016259e-06
65,1.8781625294677043e-06
66,1.5874565275883302e-06
67,1.3533431348499895e-06
68,1.143400795774829e-06
69,9.7303797430196e-07
70,8.344907866281854e-07
71,7.083710460756965e-07
72,6.057377319044548e-07
73,5.135120582513266e-07
74,4.386618566598709e-07
75,3.7129840746716015e-07
76,3.167063808427483e-07
77,2.720415619995146e-07
78,2.3140968064401128e-07
79,1.9823613846950605e-07
80,1.6820831149395265e-07
81,1.4387530148294125e-07
82,1.2185472355125627e-07
83,1.0403369412495993e-07
84,8.792912482626978e-08
85,7.487963990662608e-08
86,6.418936559087083e-08
87,5.451672697064448e-08
88,4.667703947172819e-08
89,3.960137806329008e-08
90,3.38729055247208e-08
91,2.8677808694020947e-08
92,2.4467104589640758e-08
93,1.6854936831228223e-09
94,7.919771130744918e-11
95,1.656639965690007e-11
96,5.786339388620507e-12
97,2.5610182104502833e-12
98,1.3229369935549208e-12
99,7.568062851653966e-13
100,4.685160065268305e-13
101,3.0679273638620283e-13
102,2.1082319480036727e-13
103,1.503394193046033e-13
104,1.1079761236254322e-13
105,8.36856106264371e-14
106,6.445014940434328e-14
107,5.0477394359073586e-14
108,4.017348314339173e-14
109,3.246393328684506e-14
110,2.652659858955199e-14
111,2.1935028876396554e-14
112,1.8323093176878117e-14
113,1.5428222241458186e-14
114,1.3103287328943066e-14
