iteration,value
0,75.39748123495184
1,144.99214456943366
2,7.851579955785229
3,2.9209563242950485
4,1.7908940135288978
5,1.1233605594459
6,0.715132645777707
7,0.46000106403316626
8,0.30146430629416726
9,0.1990503834137197
10,0.13285766573860652
11,0.08873714388766614
12,0.06012969948169293
13,0.0423351706508604
14,0.03102828819346016
15,0.023379514237864083
16,0.01750769198231225
17,0.013400739455904148
18,0.010427623272104844
19,0.008232078680691089
20,0.006576489316797529
21,0.005311146712006755
22,0.0042474954832847625
23,0.003444721018136159
24,0.0028202894062249583
25,0.002331654459833102
26,0.0019460923244191378
27,0.0016065922643843102
28,0.0013375406489238282
29,0.0011231468853525105
30,0.0009503673343854874
31,0.000796081106055566
32,0.0006584345572046708
33,0.0005500276264276848
34,0.00046338571806055397
35,0.0003857985026376186
36,0.0003238236536893699
37,0.0002740252207077193
38,0.0002335708277858045
39,0.0002003076557856319
40,0.00016997817005694836
41,0.00014524040619518663
42,0.0001227631182580061
43,0.0001027674724896892
44,8.67408133721906e-05
45,7.370739512392986e-05
46,6.303288148458011e-05
47,5.426685941339375e-05
48,4.626081312718276e-05
49,3.899417169426676e-05
50,3.314804839786299e-05
51,2.8418929856052475e-05
52,2.4176539082701666e-05
53,2.0411583253608894e-05
54,1.7077556231158266e-05
55,1.4182962143988827e-05
56,1.1681937401114612e-05
57,9.507304500825644e-06
58,7.839204809242324e-06
59,6.386073439035103e-06
60,5.26121729713917e-06
61,4.386439428078134e-06
62,3.601447047408044e-06
63,2.996064928707807e-06
64,2.4671612616936554e-06
65,2.0043147168727138e-06
66,1.6428029558704445e-06
67,1.3290108915687336e-06
68,1.077092809096749e-06
69,8.599890392373915e-07
70,6.919433955334186e-07
71,5.58785760561885e-07
72,4.450621880023227e-07
73,3.486630129481979e-07
74,2.761912028285915e-07
75,2.1529648541047938e-07
76,1.6994096693497335e-07
77,1.344363438596784e-07
78,1.0500192786721106e-07
79,7.987683132757537e-08
80,5.992820958528842e-08
81,4.581056871773867e-08
82,3.558258360517616e-08
83,2.694269597275755e-08
84,2.0462077336661824e-08
85,2.148221371239832e-12
86,9.886580683587377e-14
87,1.6149358515894656e-16
88,1.0799341696932547e-18
89,1.2463693665735181e-19
