iteration,value
0,5.856356147796612
1,-14.999426478675097
2,-38.60347542616012
3,-78.64401440311391
4,-138.40796151000075
5,-220.44670926456405
6,-327.1526339459202
7,-461.4529668352194
8,-626.9738845043498
9,-828.4476274431543
10,-1071.8774975449462
11,-1334.16473009947
12,-1643.1288088458139
13,-2007.9524329348747
14,-2439.802658737364
15,-2899.4864198511696
16,-3438.2174130598537
17,-4072.323262926682
18,-4744.807118547404
19,-5532.42109426989
20,-6458.951582494923
21,-7440.923050584537
22,-8592.25789584485
23,-9948.322582532372
24,-11388.729858655266
25,-13079.486433606005
26,-15074.092658328276
27,-17194.690427424284
28,-19687.840658153487
29,-22636.42330729074
30,-25789.669742140315
31,-28427.971408778936
32,-31105.97498116154
33,-33737.746716163514
34,-36493.40419237888
35,-39086.328422186634
36,-40974.5955553806
37,-42675.520942044
38,-43513.724009690166
39,-43825.90319189067
40,-44157.0293296741
41,-44396.31915856976
42,-44479.333836120655
43,-44472.462421911274
44,-44439.83019284734
45,-44410.81820175264
46,-44300.51663368128
47,-44229.74244390907
48,-44679.92484373645
49,-45240.1047466012
50,-45257.66656919539
51,-45038.62687791366
52,-45054.764428325114
53,-44958.15980862697
54,-44529.60619892416
55,-44667.509915333445
56,-44648.91511733631
57,-44617.253498485676
58,-43705.18914495408
59,-43705.86477709379
60,-44526.78338575723
61,-45358.36047375369
62,-45358.360419965975
63,-45358.36031972379
64,-45358.36020666674
65,-45358.39566659756
66,-45358.42936315524
67,-45359.98209388323
68,-45365.192334967986
69,-45775.30585230387
70,-47915.66639728401
71,-47916.36874007831
72,-47922.302790940026
73,-47164.414828915804
74,-47136.00618979096
75,-47111.30336767596
76,-49463.881420222
77,-49463.88141641414
78,-49463.99848842163
79,-49574.08902146779
80,-49579.002487483245
81,-49339.92441074802
82,-50743.19253563609
83,-55092.27279578327
84,-55092.26875433563
85,-55092.26875703485
86,-55092.26873497015
87,-55092.26681782526
88,-55092.26468946715
89,-55092.30222992696
90,-55092.314342303594
91,-55094.01463882825
92,-55095.93586386795
93,-55095.94924907397
94,-55096.11893050111
95,-55149.20283215007
96,-57837.15102105349
97,-57837.15102105307
98,-57837.15101914115
99,-57836.873468914026
100,-57836.87177239101
101,-57836.2635117709
102,-57835.574400258076
103,-57668.922378265415
104,-57563.87734425247
105,-55133.902019820656
106,-55133.90791388817
107,-55133.90931879086
108,-55133.90762789794
109,-55133.90486183168
110,-55133.90485730374
111,-55133.53819872253
112,-55133.26541324495
113,-55132.94271142309
114,-55132.94168472576
