iteration,value
0,5.357233641490659
1,9.397260570707738
2,8.51915977131482
3,7.459666120886153
4,6.210493863495316
5,5.214812737722383
6,4.0186604763241185
7,3.602657161086544
8,3.139372213221975
9,3.1341965638643003
10,2.6343197658707886
11,2.3606740698713438
12,1.975778194123695
13,1.6963844580560874
14,1.5082738065386074
15,1.1208468257650246
16,0.7677945718351502
17,0.4499932252444374
18,0.24442788653994896
19,0.13456532659114373
20,0.05818679714408148
21,0.027440495167187606
22,0.011146687657412002
23,0.00439372854426523
24,0.0012956982867748934
25,0.0003025239368490418
26,5.959387133458449e-05
27,7.410689580211738e-06
28,7.529194405719863e-07
29,5.0317289890244865e-08
30,3.5888945149054052e-09
31,3.4080471777997445e-10
32,1.722710862850363e-11
33,5.044853423896711e-13
34,2.842170943040401e-14
