iteration,value
0,125000639916.24042
1,124971777297.6286
2,124830173791.63736
3,124745511851.67725
4,124679017620.53395
5,124618814120.31332
6,124560263381.97072
7,124500797654.08504
8,124438605955.79082
9,124372159556.58273
10,124307337741.03458
11,124236626611.41064
12,124158576751.18997
13,124080406509.67336
14,123993217370.90558
15,123895175409.67468
16,123795406111.66849
17,123682558205.41585
18,123554098679.70914
19,123421943818.53552
20,123271001775.9422
21,123115261527.8429
22,122936907679.32785
23,122731614095.36946
24,122518294534.44077
25,122272460064.93883
26,121987857655.72215
27,121690583558.99817
28,121346444524.32942
29,120946415428.46796
30,120527100979.22931
31,120040296951.38596
32,119473112425.46037
33,118877552077.3167
34,118185413949.94658
35,117378673011.1702
36,116531845039.5137
37,115548719941.6568
38,114404969875.21661
39,113207693508.38635
40,111822567294.06648
41,110218492748.44054
42,108360405076.32654
43,106427390986.33438
44,104208304181.7358
45,101664056936.0566
46,99047822246.59709
47,96081141754.2113
48,92728024131.96681
49,88955824856.64195
50,84739180719.3548
51,80532999145.03984
52,75924170390.82884
53,70932247258.71242
54,65600994584.04372
55,60543055389.51378
56,55779754168.23361
57,50822610232.91336
58,46196785654.603195
59,41405876723.54596
60,36957789702.59143
61,32403027463.094578
62,28269243960.37883
63,24551601920.317966
64,20881222400.9765
65,17636198119.805634
66,14733613168.940845
67,11851843206.941229
68,9317377926.63177
69,7123554186.75077
70,5218796217.546973
71,3556643364.194126
72,2036317649.6050801
73,957227844.37734
74,363834625.2725476
75,135012804.2636966
76,69564792.72702767
77,28499547.33260533
78,16452184.358702093
79,8536642.67449646
80,6255938.203080057
81,4155520.289720246
82,3928884.019852812
83,3083949.416876059
84,3109115.7782553243
85,2788380.5577218835
86,2741681.9753457387
87,2618597.7532737986
88,2585203.351699152
89,2544357.036401157
90,2525782.0319997245
91,2511798.981325749
92,2503701.107857405
93,2498399.579294027
94,2494682.4901461257
95,2492060.4576619067
96,2490387.792163679
97,2489377.8235816
98,2488560.085214802
99,2488008.153984528
100,2487651.450620716
101,2487412.5511440844
102,2487243.5416204706
103,2487118.6673745406
104,2487036.078215802
105,2486977.3426246066
106,2486936.4141418287
107,2486906.534342567
108,2486883.7596455053
109,2486865.933620491
110,2486852.0414343607
111,2486840.8139220774
112,2486831.6064329976
113,2486823.7257709117
114,2486816.8715750957
115,2486810.7729674806
116,2486805.1998255667
117,2486799.4204882584
118,2486793.427160058
119,2486787.1088110236
120,2486780.4416116755
121,2486773.3157637236
122,2486765.693396101
123,2486757.5303225974
124,2486748.822157485
125,2486739.4733655723
126,2486729.425806694
127,2486718.7004729607
128,2486707.241059392
129,2486695.03125008
130,2486682.1157148965
131,2486668.4211970433
132,2486653.9292766578
133,2486638.722588467
134,2486622.822249487
135,2486606.1133780205
136,2486588.6663946114
137,2486570.5645809635
138,2486551.7639279803
139,2486532.228880932
140,2486511.9794865497
141,2486490.987059134
142,2486469.1904560197
143,2486447.140542773
144,2486424.4357509436
145,2486401.2068367815
146,2486377.5490934304
147,2486353.127175435
148,2486328.276976765
149,2486303.172961229
150,2486277.77973396
151,2486251.691424512
152,2486225.4806744577
153,2486199.0163485687
154,2486171.926123249
155,2486144.654831809
156,2486117.3045668416
157,2486089.742665849
158,2486061.838304536
159,2486033.6254920154
160,2486005.1172048682
161,2485976.766583971
162,2485948.1611491786
163,2485919.4774183836
164,2485890.7018747274
165,2485861.964549015
166,2485833.114344606
167,2485804.514352762
168,2485776.0923975627
169,2485747.6820538025
170,2485718.908669395
171,2485690.012112855
172,2485661.4441947886
173,2485632.819369001
174,2485603.9089991096
175,2485574.9127021115
176,2485545.9499701927
177,2485516.9409617833
178,2485484.9928868245
179,2485451.022400822
180,2485416.9434721866
181,2485382.7059320086
182,2485349.503369572
183,2485317.1645758636
184,2485285.017811912
185,2485255.2995298062
186,2485226.1869668094
187,2485197.289328364
188,2485168.0032696933
189,2485141.3639037735
190,2485114.296722071
191,2485084.6563522974
192,2485052.209780114
193,2485020.089582808
194,2484987.537411473
195,2484958.341065979
196,2484931.6835333337
197,2484905.178763233
198,2484878.4794273353
199,2484848.9469646155
200,2484816.792395543
201,2484781.725514149
202,2484747.1797377365
203,2484715.750378092
204,2484687.1253887224
205,2484661.044053167
206,2484634.832219846
207,2484605.832620008
208,2484573.8325439873
209,2484541.825243097
210,2484509.9050709037
211,2484477.805746179
212,2484446.430410087
213,2484417.8088550717
214,2484388.7653167406
215,2484359.6743381573
216,2484330.9945255336
217,2484302.0329030682
218,2484272.921983502
219,2484243.785154835
220,2484214.3287877077
221,2484185.2421793616
222,2484156.11412842
223,2484124.6295187674
224,2484092.9559892854
225,2484060.9645351497
226,2484032.0333099347
227,2484005.580119161
228,2483978.710706342
229,2483951.9302809043
230,2483922.22671874
231,2483889.3892804515
232,2483854.2460392406
233,2483821.9124442125
234,2483792.5771692717
235,2483766.1885866555
236,2483739.6728760237
237,2483710.5554220844
238,2483679.013376728
239,2483645.4450240224
240,2483611.8058722755
241,2483579.949713189
242,2483551.8115684967
243,2483526.1815730445
244,2483500.593294967
245,2483472.1279714634
246,2483441.323159693
247,2483408.126632535
248,2483374.6624474134
249,2483343.6841030694
250,2483316.086595093
251,2483290.665428321
252,2483264.849888803
253,2483236.557925156
254,2483205.4936150652
255,2483171.9276189115
256,2483138.8596802466
257,2483105.4789971737
258,2483075.11473341
259,2483047.866769381
260,2483020.279641716
261,2482992.788983808
262,2482963.2365134717
