iteration,value
0,-4.538347371910804
1,-302.4691471642539
2,-317.164826246877
3,-361.500220435247
4,-417.81192939690993
5,-451.8139350847946
6,-475.87007348236006
7,-481.8735976935947
8,-521.8311834494763
9,-540.471071273089
10,-498.6235713732078
11,-556.9051386159025
12,-512.5240567213461
13,-549.8574546878913
14,-584.0663889217032
15,-608.5267739799455
16,-618.5526504316258
17,-624.9839346537037
18,-565.3926215527177
19,-612.9711202073765
20,-652.5419350025692
21,-666.6534653439751
22,-601.210088722991
23,-614.5609619407705
24,-680.2037676033748
25,-719.6136200266187
26,-706.7279499633112
27,-709.4750498056499
28,-733.4145982819251
29,-742.420059265155
30,-745.7398062758464
31,-717.6693181828167
32,-795.1859066308433
33,-767.6476359140768
34,-856.5391079195698
35,-850.0397110277067
36,-897.6678860485151
37,-898.5598734181381
38,-858.9774494120164
39,-886.8249370853026
40,-910.2158429009733
41,-943.9056967050554
42,-951.2557704856628
43,-990.7865851238975
44,-1007.6561108710226
45,-1079.6099551597808
46,-1094.8663581098285
47,-1150.1146949202725
48,-1223.8048207180937
49,-1296.6457371353017
50,-1373.8580203540876
51,-1462.538258101928
52,-1559.9731846812454
53,-1669.6268875659252
54,-1792.5463018366831
55,-1930.4811408439707
56,-2092.896819876057
57,-2277.930018551633
58,-2481.606680258575
59,-2715.795260660447
60,-2978.991302617482
61,-3274.0322897525934
62,-3608.5064314693873
63,-3987.2382073947597
64,-4411.02979514602
65,-4885.064055875441
66,-5417.918434385255
67,-6014.158255061219
68,-6684.992826768257
69,-7438.866159057145
70,-8279.1663513594
71,-9218.970832565126
72,-10271.274674631284
73,-11445.006473076359
74,-12751.939665364143
75,-14211.223344491837
76,-15841.402466068143
77,-17655.447690120745
78,-19680.852669400843
79,-21937.582216862447
80,-24448.103995935675
81,-27244.5816405182
82,-30359.879157842704
83,-33826.961192481576
84,-37687.22997633034
85,-41976.337627631474
86,-46748.4663166255
87,-52059.83679598593
88,-57966.51577404482
89,-64536.856365051965
90,-71842.65645568693
91,-79966.89262605381
92,-89001.08777942669
93,-99047.14672021933
94,-110219.798918146
95,-122635.32930954327
96,-136432.83040906544
97,-151770.1326421727
98,-167110.88153142136
99,-184165.28804193682
100,-203118.89356244553
101,-222078.07368649796
102,-243152.81478513044
103,-266576.18745858036
104,-290005.6640200355
105,-316039.0668957663
106,-344967.67280108394
107,-373901.62892456836
108,-406052.79304866027
109,-441780.41134272376
110,-477513.1950109404
111,-517221.3946056369
112,-561353.4361846185
113,-605487.6909516349
114,-654522.6414347336
115,-709012.6917973543
116,-763509.9367122651
117,-824065.0593847011
118,-891348.9168716094
119,-958634.8681856842
120,-1033398.2563048042
121,-1116474.8370195413
122,-1199550.3000359233
123,-1291856.899050982
124,-1394426.1186845617
125,-1497000.048720878
126,-1610977.4923129017
127,-1737619.5035348104
128,-1864261.15463418
129,-2004974.6814051762
130,-2161328.3084975434
131,-2317683.7180057783
132,-2491415.4856923153
133,-2684451.744780414
134,-2877490.8583391854
135,-3091979.3452003007
136,-3330294.1147221047
137,-3568615.890135625
138,-3833418.553626162
139,-4127648.923933348
140,-4421877.5652259085
141,-4748801.855124727
142,-5112056.805310668
143,-5475315.158854046
144,-5878933.672667811
145,-6327397.714324535
146,-6775865.613640429
147,-7274162.883197308
148,-7827828.663101086
149,-8381502.737890881
150,-8996694.503514959
151,-9680241.121496016
152,-10363790.67062931
153,-11123284.48238579
154,-11967168.3820634
155,-12904817.63190881
156,-13842466.542469313
157,-14884296.955497386
158,-16041894.711004628
159,-17199496.470760822
160,-18485719.12807699
161,-19914855.692340832
162,-21343995.361141764
163,-22931930.0687211
164,-24696303.210872624
165,-26460675.495613627
166,-28421089.825018328
167,-30599330.212662324
168,-32777571.320446968
169,-35197837.81513297
170,-37887031.88438465
171,-40576226.074570075
172,-43564220.85192314
173,-46884216.52471075
174,-50204206.773847036
175,-53893082.83099306
176,-57991833.99611039
177,-62090587.012508996
178,-66644759.01404397
179,-71704950.64415623
180,-76765145.61661698
181,-82387586.86158045
182,-88634743.9776344
183,-94881900.11104321
184,-101823183.44281815
185,-109535719.51100276
186,-117248260.47880748
187,-125817748.72553454
188,-135339404.5671363
189,-144861062.80093068
190,-155440677.7799973
191,-167195809.67852584
192,-178950943.56217617
193,-192012205.62268347
194,-206524720.9691624
195,-221037232.17640826
196,-237162247.040378
197,-255078928.7753938
198,-272995614.5677705
199,-292903040.77547175
200,-315022405.2842965
201,-337141777.4858242
202,-361718850.26097757
203,-389026705.090838
204,-416334566.8765827
205,-446676640.088326
206,-480390052.2346921
207,-514103462.95964795
208,-551562809.3798488
209,-593184303.6286228
210,-634805801.3475507
211,-681051911.9835037
212,-732436481.8211752
213,-783821049.6159295
214,-840915009.3687458
215,-904352745.1465486
216,-967790478.1093864
217,-1038276852.7970833
218,-1116595045.937663
219,-1194913236.7849212
220,-1281933453.9978507
221,-1378622583.4718702
222,-1475311718.9586117
223,-1582744093.1125934
224,-1702113390.8902576
225,-1821482688.1556976
226,-1954115243.5158453
227,-2101484750.0935075
228,-2248854254.399707
229,-2412598149.229363
230,-2594535815.88718
231,-2776473481.796125
232,-2978626443.251128
233,-3203240845.2766786
234,-3427855248.7740946
235,-3677426807.5522313
236,-3954728539.8748097
237,-4232030273.384914
238,-4540143313.068445
239,-4882491129.810153
240,-5224838950.998207
241,-5605225420.14704
242,-6027877052.976456
243,-6450528689.950869
244,-6920141615.700213
245,-7441933755.019904
246,-7963725890.81715
247,-8543494932.518838
248,-9187682760.785183
249,-9831870589.999815
250,-10547634847.806822
251,-11342928462.480375
252,-12138222074.969225
253,-13021881651.408298
254,-14003725625.130209
255,-15094663373.487427
256,-16185601120.499584
257,-17397754172.16784
258,-18744590897.914318
259,-20091427625.17118
260,-21587912879.00115
261,-23250674270.888916
262,-24913435660.85109
263,-26760948322.48777
264,-28813740169.33086
265,-30866532014.702736
266,-33147411840.081036
267,-35681722760.92014
268,-38216033681.68274
269,-41031934705.10085
270,-44160713619.120384
271,-47289492530.35346
272,-50765913542.90516
273,-54628603558.66798
274,-58491293579.49004
275,-62783171382.47679
276,-67551924491.09015
277,-72320677597.12685
278,-77619292163.02495
279,-83506641685.01933
280,-89393991204.52507
281,-95935490674.06982
282,-103203823416.55844
283,-110472156156.64821
284,-118548081427.16608
285,-127521331729.4729
286,-136494582029.02713
287,-146464860142.37085
288,-157542946936.35028
289,-168621033727.70108
290,-180930019050.6068
291,-194606669409.19205
292,-208283319773.2664
293,-223479597956.77426
294,-240364351495.39566
295,-257249105030.2211
296,-276009942286.837
297,-296855317023.7683
298,-317700691761.72473
299,-340862219247.2106
300,-366597249787.50385
301,-392332280328.91437
302,-420926758708.9128
303,-452698401347.9418
304,-484470043991.25073
305,-519771869152.95654
306,-558996119332.1224
307,-598220369513.6813
308,-641802869713.7026
309,-690227869930.7493
310,-738652870147.3534
311,-792458425945.912
312,-852242376831.0367
313,-912026327716.946
314,-978452939819.115
315,-1052260286600.8805
316,-1126067633382.3318
317,-1208075796468.742
318,-1299195977678.6367
319,-1390316158888.2844
320,-1491560804675.333
321,-1604054855552.104
322,-1716548906430.8533
323,-1841542296297.7373
324,-1980423840593.57
325,-2119305384890.6292
326,-2273618211887.4365
327,-2445076908550.726
328,-2616535605211.586
329,-2807045268171.1284
330,-3018722671460.308
331,-3230400074748.4507
332,-3465597189514.912
333,-3726927317035.0244
334,-3988257444556.637
335,-4278624252909.229
336,-4601254039969.158
337,-4923883827029.992
338,-5282361368211.863
339,-5680669747303.078
340,-6078978126396.163
341,-6521542992057.282
342,-7013281731678.625
343,-7505020471296.927
344,-8051396848654.566
345,-8658481712384.045
346,-9265566576107.54
347,-9940105313581.562
348,-10689592799669.977
349,-11439080285759.955
350,-12271844159189.053
351,-13197137351883.03
352,-14122430544581.793
353,-15150534092027.217
354,-16292871366963.586
355,-17562135005786.088
356,-18831398644610.562
357,-20241691576635.05
358,-21808683723328.42
359,-23375675870021.066
360,-25116778255237.742
361,-27051336461039.445
362,-28985894666843.527
363,-31135403784399.83
364,-33523747248349.09
365,-35912090712299.74
366,-38061599829856.01
367,-40449943293807.07
368,-43103658253754.8
369,-45757373213702.0
370,-48705945391425.29
371,-51982136699996.2
372,-55258328008563.36
373,-58206900186284.26
374,-61483091494859.88
375,-65123304059942.51
376,-68763516625027.945
377,-72808197252898.4
378,-77302286839424.28
379,-81796376425952.17
380,-86789809299871.52
381,-92338068048668.78
382,-97886326797472.05
383,-102879759671390.95
384,-108428018420187.2
385,-114592750363296.42
386,-120757482306406.77
387,-127607184465416.75
388,-135217964642095.9
389,-142828744818778.53
390,-151285167237313.66
391,-160681192146795.88
392,-170077217056279.6
393,-178533639474813.06
394,-187929664384295.44
395,-198369692061496.94
396,-208809719738696.6
397,-220409750491141.44
398,-233298673549413.22
399,-246187596607684.8
400,-257787627360129.97
401,-270676550418406.16
402,-284997576038717.3
403,-299318601659026.3
404,-315230852348258.56
405,-332911130891849.06
406,-350591409435436.75
407,-370236163372759.1
408,-392063667747563.56
409,-413891172122362.94
410,-433535926059683.44
411,-455363430434487.25
412,-479616213073157.44
413,-503868995711829.5
414,-530816531977019.06
415,-560758238938342.5
416,-590699945899668.2
417,-617647482164860.9
418,-647589189126183.6
419,-680857752416542.0
420,-714126315706904.5
421,-751091386029530.0
422,-792163686388000.1
423,-833235986746467.6
424,-878871876033657.0
425,-929578419686089.5
426,-980284963338523.6
427,-1025920852625715.9
428,-1076627396278151.1
429,-1132968000336412.5
430,-1189308604394674.0
431,-1251909275570518.8
432,-1321465576877007.8
433,-1391021878183500.2
434,-1453622549359349.0
435,-1523178850665840.2
436,-1600463629895275.0
437,-1677748409124711.2
438,-1763620386046306.2
439,-1859033693736967.5
440,-1954447001427631.8
441,-2060461787750591.2
442,-2178255994776099.0
443,-2296050201801609.0
444,-2402064988124571.0
445,-2519859195150077.5
446,-2650741647400644.0
447,-2781624099651212.0
448,-2927049046596288.0
449,-3088632320979708.5
450,-3250215595363131.0
451,-3429752566900269.0
452,-3629238090830416.0
453,-3828723614760563.5
454,-4008260586297697.5
455,-4207746110227843.5
456,-4429396692372453.5
457,-4651047274517066.0
458,-4897325699122184.0
459,-5170968393127867.0
460,-5444611087133560.0
461,-5690889511738684.0
462,-5964532205744376.0
463,-6268579643528484.0
464,-6572627081312586.0
465,-6910457567739361.0
466,-7285824774880226.0
467,-7702899449481188.0
468,-8119974124082146.0
469,-8583390429194328.0
470,-9098297434874526.0
471,-9613204440554718.0
472,-1.0076620745666904e+16
473,-1.059152775134711e+16
474,-1.116364664654733e+16
475,-1.1735765541747556e+16
476,-1.237145320308114e+16
477,-1.3077772826785122e+16
478,-1.3784092450489106e+16
479,-1.4419780111822688e+16
480,-1.5126099735526666e+16
