iteration,value
0,66.64068834965468
1,-66.91471533011801
2,-1460.7434104162915
3,-3212.9128027472607
4,-4982.101367760021
5,-6789.341099048798
6,-8682.828851446533
7,-10710.734991481899
8,-12921.409380136756
9,-15366.085193784482
10,-18101.752657191857
11,-21193.802378214485
12,-24718.899765355738
13,-28351.78498437342
14,-32500.557494702705
15,-37273.53394741888
16,-42233.910716700266
17,-47946.0007876376
18,-54566.348224874775
19,-61494.204150964084
20,-69524.95948995935
21,-78888.80836583102
22,-88742.6707769534
23,-100226.69095682149
24,-113684.05304618477
25,-127911.34621071638
26,-144566.641968686
27,-164161.4555256261
28,-184963.14843294185
29,-209404.24217829548
30,-238245.48092083004
31,-268982.14480238
32,-304316.47751357936
33,-346107.879607869
34,-390912.6134928489
35,-434522.2692690872
36,-471319.2188241989
37,-489544.64698183106
38,-502743.45642499265
39,-513919.11100816505
40,-516947.38439379097
41,-519514.2822368793
42,-520726.50909834105
43,-520850.4282126837
44,-520921.7919077169
45,-521179.61040610424
46,-522067.5809005625
47,-523239.60369792295
48,-523407.5347087851
49,-524712.4237366831
50,-526071.7681013566
51,-524980.7540238624
52,-523534.6153645937
53,-523105.02004286746
54,-524074.9209156171
55,-524115.78478433494
56,-525197.3512453337
57,-525075.5048339126
58,-524836.9019297605
59,-524713.7609216049
60,-526095.4132503583
61,-525971.8305506689
62,-525625.6204578422
63,-528353.2590110025
64,-528243.8945312318
65,-527772.4513966095
66,-527741.6853029786
67,-527771.2107986454
68,-527763.952489592
69,-527694.3528695859
70,-526253.3762728567
71,-525839.2273115346
72,-526282.5162469179
73,-528699.5859778953
74,-528517.2458294744
75,-528496.4408960239
76,-528427.8133022825
77,-528394.2208879294
78,-528242.5614209751
79,-528025.7148352277
80,-528015.4456110258
81,-529536.3931825091
82,-529533.6649428039
83,-529537.700641
84,-529537.7402399015
85,-529541.9191574369
86,-529542.1280372958
87,-529728.8008390274
88,-529728.1890359125
89,-529728.0659992491
90,-529728.7393476131
91,-529747.2700446638
92,-529772.0529510744
93,-529798.824249821
94,-529830.3875789763
95,-529868.351664848
96,-529902.5326058919
97,-529940.68594363
98,-532743.3653805553
99,-532737.655930163
100,-532718.5837091578
101,-532698.2365949188
102,-532418.3068482318
103,-532414.1262013777
104,-532409.5049833963
105,-532327.6357038289
106,-532242.6505229579
107,-532239.6082797463
108,-532170.9810621105
109,-532111.229638856
110,-532108.7953929952
111,-532051.9238224613
112,-532048.8769743477
113,-532001.9540013558
114,-531999.5196696289
115,-531996.270472801
116,-531998.2046950327
117,-531998.3749192087
118,-532002.2507008223
119,-532002.757328701
120,-532009.9028145433
121,-532035.576724653
122,-531269.2607347794
123,-531045.9227627934
124,-531036.4483859924
125,-531025.5148592463
126,-531152.9974826415
127,-531175.7168164871
128,-531176.1669115222
129,-531178.3453146819
130,-531173.2977209435
131,-531204.2347818298
132,-531198.2156774963
133,-531198.4679267152
134,-531191.9385175967
135,-530490.2133927442
136,-530179.6371580657
137,-530061.5915660174
138,-530151.4513162123
139,-530872.8547577522
140,-530871.1780096618
141,-530872.6783753257
142,-530859.4935752515
143,-531449.2479214933
144,-534004.5009428586
145,-534004.3706478865
146,-534007.702079526
147,-534054.3066074903
148,-534070.1976680022
149,-534070.5394327699
150,-534071.16353056
151,-534515.0648570501
152,-534537.228657575
153,-534537.7549850667
154,-534558.4893821711
155,-534575.0959131337
156,-534590.5622091618
157,-534605.8574519249
158,-534621.29174042
159,-534633.7418508283
160,-534690.6455842876
161,-535176.8373889526
162,-535176.8840972587
163,-535179.8134583544
164,-535175.4147841522
165,-535171.8771189724
166,-535134.2514775405
167,-535127.2501673589
168,-535129.702630883
169,-535130.6701271378
170,-535134.0095816266
171,-535133.8380513047
172,-535135.5759571453
173,-535135.9686565282
174,-535135.1306931227
175,-535116.5042130632
176,-535097.8515316409
177,-534840.7574947298
178,-534907.7128162185
179,-534986.83181673
180,-535053.863963755
181,-535125.1895529075
182,-535557.682778921
183,-535566.3056636194
184,-535582.592199015
185,-535565.43215061
186,-535610.4975402553
187,-535610.2442586825
188,-535631.5175922833
189,-535634.3349320898
190,-535941.5679889184
191,-535985.853919203
192,-536026.9049924576
193,-536720.695030621
194,-536726.5212537705
195,-536864.5233202175
196,-536385.2121979304
197,-536944.9786703315
198,-535887.1597819742
199,-535966.5691551759
200,-535971.3615255468
201,-535333.0750809443
202,-535354.8733074432
203,-535355.7338868855
204,-535356.9910193593
205,-535367.4229174379
206,-535368.1918677205
207,-535392.1030938883
208,-541653.709171479
209,-541653.9303153197
210,-541650.3700042124
211,-541649.9212688868
212,-541646.7240572523
213,-541646.0257070559
214,-541642.4335594121
215,-541575.2184053306
216,-541571.4347647014
217,-541571.8432395079
218,-541571.6281294613
219,-541573.8238186226
220,-541648.3505178273
221,-541706.7638901599
222,-543149.7663931053
223,-543150.0441217439
224,-543120.9575834521
225,-542742.0754496681
226,-542714.5880005212
227,-542712.7149435031
228,-542710.7773148322
229,-542688.0933670175
230,-542681.9811706675
231,-542681.3673971697
232,-542679.841331716
233,-542657.9637287651
234,-542650.9868336522
235,-542527.1004776594
236,-542526.0704049026
237,-542524.3121200936
238,-542397.7424135805
239,-542398.0648895359
240,-542399.0095491209
241,-542400.8682843223
242,-542586.7104434663
243,-542976.9081364839
244,-544326.2498411027
245,-544319.9653409178
246,-544317.8485401741
247,-544317.9787549069
248,-544303.7801891384
249,-555894.3717072349
250,-555893.560644996
251,-555914.2428095621
252,-553859.6714013949
253,-553859.5158171746
254,-553859.3887394726
255,-553859.3775086388
256,-553859.4087739366
257,-553862.5701475209
258,-553862.7227514088
259,-553862.8625464372
260,-553862.5793421728
261,-553431.4760905526
262,-551797.6283687416
263,-551797.5583066291
264,-551797.4970486386
265,-551797.424449336
266,-551797.3334166087
267,-551797.3045027632
268,-551796.8507826038
269,-551796.8247540833
270,-551796.8231985035
271,-551796.7862432878
272,-551796.6150400232
273,-551796.6072618491
274,-551796.5973477273
275,-551796.0148185798
276,-551795.9764092513
277,-551795.9996665802
278,-551795.8370672528
279,-551795.6667766848
280,-551795.7192918821
281,-551799.5367674909
282,-551804.767076488
283,-551804.9710142373
284,-551808.5476098632
285,-551808.8409599751
286,-551803.3034809893
287,-551780.9857009768
288,-551759.4704213088
289,-551738.608360235
290,-551737.7483288284
291,-551737.0758002447
292,-551736.2779226
293,-551735.7773283772
294,-551724.5554689197
295,-551707.7399890876
296,-551682.7688487056
297,-551547.4320349738
298,-551471.885052467
299,-551470.0596822042
300,-551405.3699934288
