iteration,value
0,166.3924366867744
1,130.2296686910295
2,113.25487226383106
3,107.35653067303255
4,104.08858296653307
5,101.70692605451232
6,100.96489049719646
7,100.48248994541596
8,100.2171917629611
9,100.1010908784158
10,100.05863830221396
11,100.02959318805411
12,100.0166877162404
13,100.00873030343692
14,100.00673778524136
15,100.00307577799883
16,100.00266454105102
17,100.0013593279027
18,100.00108956397779
19,100.00063594877476
20,100.00049267456723
21,100.0003259290027
22,100.00023502868454
23,100.00015962031968
24,100.00011082401684
25,100.00007484069951
26,100.00005067430129
27,100.00003465424172
28,100.00002363637724
29,100.00001604311073
30,100.00001102849954
31,100.00000760574939
32,100.00000526594374
33,100.00000367382866
34,100.00000258711475
35,100.00000182745114
36,100.00000129333831
37,100.000000919787
38,100.00000066083258
39,100.00000047874046
40,100.00000034829257
41,100.0000002541231
42,100.00000018689691
43,100.00000013829442
44,100.00000010300052
45,100.0000000769965
46,100.00000005783157
47,100.0000000436947
48,100.00000003317228
49,100.00000002530723
50,100.00000001940224
51,100.00000001493575
52,100.0000000115506
53,100.00000000897299
54,100.00000000699981
55,100.00000000548177
56,100.0819249504607
57,100.13245059984519
58,100.08613784060243
59,100.00863721805976
60,100.00489403268298
61,100.00133460549095
62,100.00107978492427
63,100.00071556406898
64,100.00051025913639
65,100.00028311016067
66,100.00020280755938
67,100.00012736921042
68,100.00009696456677
69,100.00006889306972
70,100.00005077519266
71,100.00003348293338
72,100.00002240386124
73,100.00001545106731
74,100.0000105571895
75,100.00000747974468
76,100.00000518368275
77,100.00000357659101
78,100.0000024702969
79,100.00000173940825
80,100.00000123767335
81,100.00000086403037
82,100.00000060523973
83,100.00000042334086
84,100.00000029730369
85,100.00000021129998
86,100.00000014924908
87,100.00000010436688
88,100.00000007445657
89,100.00000005334365
90,100.00000003842311
91,100.00000002783325
92,100.00000002022497
93,100.00000001464123
94,100.0000000106773
95,100.00000000781037
96,100.00000000573795
97,100.00000000424615
98,100.00000000315642
99,100.0000000023582
100,100.00000000176802
101,100.0000000013316
102,100.0000000010087
103,100.00000000076739
104,100.08048463309943
105,100.14909084566199
106,100.10121866764652
107,100.01068870020353
108,100.0051990130519
109,100.00170168972126
110,100.00134725868071
111,100.00077446275648
112,100.00049141758805
113,100.00032587053008
114,100.0002110616737
115,100.0001534397471
116,100.00010093908897
117,100.00006921947956
118,100.00004659685827
119,100.00003220035084
120,100.0000211029507
121,100.00001529363783
122,100.00001110010778
123,100.00000790029924
124,100.00000542894456
125,100.00000367163958
126,100.00000250038559
127,100.00000172348287
128,100.00000117964204
129,100.00000083736482
130,100.00000057665125
131,100.00000040648534
132,100.00000028613957
133,100.00000020924809
134,100.00000014838311
135,100.00000010438265
136,100.00000007513812
137,100.00000005392033
138,100.0000000390359
139,100.00000002824413
140,100.00000002034886
141,100.00000001476853
142,100.00000001076985
143,100.00000000790321
144,100.00000000580965
145,100.00000000428189
146,100.0000000031888
147,100.0000000023786
148,100.00000000178122
149,100.00000000133929
150,100.00000000101097
151,100.00000000076726
152,100.00000000058499
153,100.00000000044842
154,100.00000000034487
155,100.0000000002663
156,100.0000000002066
157,100.00000000016094
158,100.00000000012587
159,100.0000000000988
160,100.00000000007785
161,100.00000000006159
162,100.00000000004886
163,100.00000000003894
164,100.00000000003111
165,100.00000000002494
166,100.00000000002008
167,100.0000000000162
168,100.0000000000131
169,100.00000000001064
170,100.00000000000865
171,100.00000000000708
172,100.0000000000058
173,100.00000000000476
174,100.00000000000392
175,100.00000000000325
176,100.00000000000267
177,100.00000000000225
178,100.00000000000186
179,100.00000000000153
180,100.00000000000128
181,100.00000000000108
182,100.0000000000009
183,100.00000000000074
184,100.00000000000057
185,100.00000000000045
186,100.00000000000037
187,100.00000000000028
188,100.00000000000023
189,100.0000000000002
