iteration,value
0,4092.9151958853604
1,328276.5720810697
2,14233.217324465752
3,3323.9688573410767
4,1957.241828164861
5,1442.0247764279686
6,1185.573336676527
7,1036.5398066413686
8,940.3956304474412
9,873.0091413883016
10,821.7570827603316
11,780.6879870510188
12,745.026884479843
13,713.4030973444051
14,683.5957385949855
15,654.808953283061
16,626.4127258323108
17,598.0619259977533
18,569.8044461057669
19,539.359399690307
20,508.94412308834586
21,480.1016580666078
22,449.4902715019155
23,422.90093591313484
24,396.4795299776106
25,371.92326538060377
26,352.3714463251514
27,327.4035614822256
28,301.5637532674386
29,274.89429045214496
30,254.27099587943246
31,229.41135914950635
32,197.32104929143495
33,178.69307999499148
34,154.6911449044872
35,132.66312716268786
36,114.71811567136272
37,100.6157329150994
38,88.2330358504479
39,77.54204766066148
40,65.60496932093167
41,57.22511616506452
42,51.06309809001354
43,44.33477494163683
44,38.248737132024445
45,32.606154010589286
46,28.428021952191667
47,24.48087672478266
48,19.834750267872046
49,16.881691674189533
50,14.693188145767843
51,12.944054119443924
52,11.633504839461747
53,10.63891516941415
54,9.711580346140959
55,8.718507121616746
56,7.884892856807532
57,6.906199511890504
58,6.127358446356754
59,5.445721380249813
60,4.889879766757374
61,4.297086399304416
62,3.7815369638107006
63,3.289210492047414
64,2.7918669673610745
65,2.3991437956097497
66,2.066836498650794
67,1.7816819654555578
68,1.5229212481536754
69,1.283846102740213
70,1.082609613567894
71,0.9186065248692132
72,0.7681192001059491
73,0.620517437531626
74,0.5026136146963398
75,0.38744841909066463
76,0.28205216072728545
77,0.19043467106824163
78,0.09953381625710622
79,0.02820764061598502
80,-0.03637286737512724
81,-0.09969510232653445
82,-0.1557698133412858
83,-0.2130802332989412
84,-0.2675071767465106
85,-0.3140452515818407
86,-0.35843251236508256
87,-0.3963541714335709
88,-0.43259447737620094
89,-0.46722440011001865
90,-0.4996422632185148
91,-0.531941820820132
92,-0.561337798606157
93,-0.587671355188205
94,-0.6118452050193297
95,-0.6354415009964867
96,-0.6578369198630842
97,-0.6792191122660931
98,-0.6961081334677309
99,-0.711235961204502
100,-0.7256872188608123
101,-0.7396701662038325
102,-0.7537754252188783
103,-0.7690216091001632
104,-0.7818670058828725
105,-0.7941468956224125
106,-0.804335228344286
107,-0.8137961952671874
108,-0.8230618324390564
109,-0.8320235180623791
110,-0.840920203040749
111,-0.8490994570917733
112,-0.8570780936844817
113,-0.8649320877345931
114,-0.8722876352491586
115,-0.8789112192204677
116,-0.8849544043163098
117,-0.8907852758935216
118,-0.8962324939512443
119,-0.9012550040506172
120,-0.9065485914250224
121,-0.9117328264267164
122,-0.9165535018335947
