iteration,value
0,37515.96375536813
1,53333745.7986475
2,54349608.455997355
3,2696942.7395058265
4,1705760.511441232
5,1188067.9153721945
6,872329.4019714918
7,662344.0230488568
8,515098.7242619303
9,408119.5362658478
10,328028.9642463669
11,266952.21782420174
12,219225.87943717052
13,181606.18885250614
14,151769.3456385508
15,127713.0498969827
16,108291.01311072406
17,92443.6377399735
18,79447.63365427339
19,68751.8422116638
20,59895.35911921486
21,52545.87127170318
22,46437.0705395587
23,41354.76485530338
24,37128.380856804535
25,33560.07657096886
26,30596.8751574945
27,28077.493872114806
28,25952.028642951398
29,24169.466829238627
30,22658.94960652885
31,21385.92563207593
32,20291.196717422044
33,19362.341882928937
34,18566.108538763463
35,17860.010503809102
36,17245.361543453044
37,16696.480591551684
38,16203.683977274388
39,15754.490299541605
40,15355.801556744233
41,14988.361028264935
42,14622.93632097111
43,14289.02035341673
44,13972.110544882818
45,13674.410345026366
46,13397.633509937337
47,13139.560982453693
48,12902.619335307714
49,12670.539200022637
50,12448.368258137169
51,12218.875759352168
52,12023.276387457214
53,11829.293098704153
54,11632.266986214665
55,11497.620211383435
56,11360.017262480764
57,11227.144321063099
58,11120.01581637677
59,11026.60065656357
60,10946.122036084204
61,10869.622813452002
62,10799.486053344388
63,10739.849984757868
64,10686.019596331891
65,10632.943420957821
66,10577.10105617762
67,10527.74435790426
68,10486.024951655174
69,10452.785088759696
70,10420.543262040503
71,10394.600350697545
72,10372.183774960586
73,10352.408344010511
74,10334.898445832549
75,10318.028671555685
76,10301.504774181938
77,10284.393689077022
78,10268.298242052504
79,10252.210161122679
80,10235.810309354336
81,10222.130822917632
82,10208.00919070059
83,10195.048124550025
84,10181.877315649564
85,10168.268442768263
86,10154.108258705224
87,10139.707865477958
88,10124.736583630174
89,10111.39567327168
90,10097.479620505812
91,10081.44425324443
92,10065.472045860355
93,10048.940073404021
94,10032.071502468874
95,10016.460792317514
96,9999.995615523525
97,9984.945637720373
98,9969.339158314298
99,9951.581998318365
100,9932.126964792005
101,9912.476554824323
102,9890.777447009072
103,9871.044084147368
104,9851.937438346948
105,9833.763265282043
106,9816.042756501172
107,9798.602309068801
108,9779.68934279084
109,9761.927412843757
110,9745.353458850748
111,9728.856881795919
112,9712.959881211724
113,9696.642500780537
114,9680.449807567089
115,9663.364356034986
116,9647.426901044748
117,9629.933559505022
118,9612.782752763957
119,9592.447741649272
120,9576.872914017147
121,9560.358234058316
122,9546.089165284913
123,9530.69903554835
124,9514.48444174809
125,9496.905258875215
126,9481.767415907761
127,9465.349072655556
128,9451.660762695154
129,9436.926416339571
130,9424.738380389097
131,9410.392150715426
132,9398.394748984796
133,9386.208785850748
134,9371.743723673144
135,9360.87510614298
136,9343.839321824242
137,9330.330999229418
138,9319.088046792604
139,9306.855457158206
140,9296.450778902756
141,9285.47970103234
142,9274.285966734353
143,9264.485848882276
144,9250.72516476384
145,9239.349692000753
146,9229.450024890233
147,9218.893652618817
148,9204.131257869512
