iteration,value
0,2.457755273422499
1,1.6269672517307825
2,1.2294348348354556
3,-0.9240731876068107
4,-1.0329614641887086
5,-2.208130484472421
6,-2.0346045127308825
7,-3.285425522703802
8,-2.0025214834865075
9,-4.5361446260133205
10,-3.1769933274703375
11,-2.122172258528459
12,-4.464120510141498
13,-4.656656407025224
14,-3.9075023757526655
15,-4.65362762780951
16,-4.702469949645047
17,-4.851241774336252
18,-4.799558631765838
19,-4.937721307654002
20,-4.824707644477345
21,-4.834886968117785
22,-4.973130190094484
23,-4.92522730391984
24,-5.080082432441456
25,-5.161540051585662
26,-5.12356701270085
27,-5.173281359422484
28,-5.177347746409252
29,-5.136651416083427
30,-5.006681788803073
31,-4.881132484244271
32,-4.639847401687557
33,-5.108484762445379
34,-5.210903416446047
35,-5.171385277439522
36,-5.115695435900523
37,-5.0878360303500685
38,-5.072408600581713
39,-4.607709076111528
40,-5.0177902704387005
41,-4.485238025651636
42,-5.069684415660225
43,-5.235397622905731
44,-5.205154149242048
45,-5.133966903723362
46,-5.290283360854967
47,-5.243882758842218
48,-5.32873810477278
49,-5.3359364076786875
50,-5.385749739866447
51,-5.381816502565149
52,-5.352572427832653
53,-5.3977004433091444
54,-5.3430014081144845
55,-5.4065430692623035
56,-5.414552592637854
57,-5.4074105889431445
58,-5.349361291544672
59,-5.443837858816882
60,-5.43813766896712
61,-5.441982573989912
62,-5.4253179268893055
63,-5.447203806761339
64,-5.443988010742874
65,-5.454521626687253
66,-5.4526400186133355
67,-5.460884181810909
68,-5.461441465830118
69,-5.464734484085591
70,-5.464792252669087
71,-5.466576821235114
72,-5.46685443189608
73,-5.467619403167745
74,-5.467887548849434
75,-5.468192335573624
76,-5.468456937385983
77,-5.468704074959642
78,-5.468966538812762
79,-5.469256679507746
80,-5.469582419971663
81,-5.4699504971724675
82,-5.470338461812102
83,-5.470773399247545
84,-5.471124687994603
85,-5.471807125450429
86,-5.47203187148601
87,-5.4727425056062735
88,-5.472999046905388
89,-5.473353408263229
90,-5.4736091851088275
91,-5.473845933803698
92,-5.474092126339835
93,-5.47436284366769
94,-5.474667925891927
95,-5.475006810441767
96,-5.475344440106552
97,-5.475730699317121
98,-5.476061893533544
99,-5.476497918490537
100,-5.47674160859342
101,-5.47726309832953
102,-5.477525509983984
103,-5.477854760765531
104,-5.47809042928017
105,-5.478310748980621
106,-5.478531900175927
107,-5.478743784421933
108,-5.478977553539157
109,-5.479251779577769
110,-5.479547707746981
111,-5.479876270089887
112,-5.480207305031176
113,-5.480891864981092
114,-5.481542483791282
115,-5.482334081683788
116,-5.482441226513931
117,-5.483196449484677
118,-5.4833559310150255
119,-5.484241892224759
120,-5.4844676977911515
121,-5.484969561387018
122,-5.48523232822354
123,-5.485556002505333
124,-5.485828189956702
125,-5.486078948475339
126,-5.486340572245144
127,-5.486832564552267
128,-5.487365988523017
129,-5.487692286840975
130,-5.4881578753869205
131,-5.488389551804661
132,-5.488744295587394
133,-5.489001716703052
134,-5.489243237556288
135,-5.489492621206398
136,-5.4897453429836105
137,-5.49001773517762
138,-5.490310056773602
139,-5.490634772707267
140,-5.4913486988469025
141,-5.4921441464518335
142,-5.492589378073286
143,-5.492900523921713
144,-5.492855237502948
145,-5.494301584726596
146,-5.494395867880857
147,-5.495308948607513
148,-5.495526216154546
149,-5.496028011702733
150,-5.4962827390987234
151,-5.496560509182459
152,-5.496792894906842
153,-5.4972696955700044
154,-5.497740830850148
155,-5.4982511151105005
156,-5.498724127984161
157,-5.499064852515395
158,-5.499282459818158
159,-5.4996936514256
160,-5.499929397235302
161,-5.500182412546419
162,-5.500415593377011
163,-5.500639894772797
164,-5.500890462300883
165,-5.501166075590282
166,-5.501683210743112
167,-5.502178923630567
168,-5.502344303501305
169,-5.503090385843421
170,-5.503302597934784
171,-5.50369981885686
172,-5.503940517223185
173,-5.504218621671954
174,-5.504444523762838
175,-5.504672041639138
176,-5.505124709685052
177,-5.5056089511182895
178,-5.506019635792728
179,-5.50638282229108
180,-5.506581651224938
181,-5.507058105831362
182,-5.507298966787322
183,-5.5076068897010835
184,-5.5078413040292515
185,-5.5080686514026045
186,-5.508303560214468
187,-5.508818630838937
188,-5.509393477196331
189,-5.509932256262888
190,-5.510322961193907
191,-5.5104947113894385
192,-5.510973205552362
193,-5.511148737378615
194,-5.511697034864534
195,-5.51193122229246
196,-5.5122764916894464
197,-5.512514167608904
198,-5.512949149368433
199,-5.513195236858283
200,-5.51349293813529
201,-5.513721823175016
202,-5.513954683266334
203,-5.514187881315653
204,-5.514437805579903
205,-5.51472502500845
206,-5.515042084823236
207,-5.515648892664782
208,-5.516283264639448
209,-5.516381190868581
210,-5.517001296077636
211,-5.517048347995855
212,-5.5179503930864815
213,-5.518121628808928
214,-5.518668452533366
215,-5.518838403711959
216,-5.519399822335214
217,-5.519620788139695
218,-5.520002834861913
219,-5.520234184317259
220,-5.520489556033887
221,-5.52072611404387
222,-5.520958643392354
223,-5.521193822221861
224,-5.521470241723103
225,-5.521763797208237
226,-5.522363318494705
227,-5.522621590208867
228,-5.522961549471588
229,-5.523183719831983
230,-5.523497947045184
231,-5.523713974583924
232,-5.523955251305669
233,-5.524183502711961
234,-5.524411379770013
235,-5.524652914061076
236,-5.525160304597426
237,-5.525712428519728
238,-5.525911342751986
239,-5.526333759608029
240,-5.52641411978186
241,-5.527106409058131
242,-5.527254533833956
243,-5.527754782650552
