iteration,value
0,8484.056289080047
1,146.9484555737919
2,127.53780274991074
3,108.30988416684289
4,83.18277880265487
5,62.89082303500574
6,45.194781433479335
7,30.158563482409814
8,19.44983507330224
9,13.400896549607406
10,5.972509582287028
11,6.2076826560234615
12,4.438599398833038
13,4.101039793766776
14,2.8786750471114155
15,1.4930763375028782
16,0.8639451815315762
17,0.1254454417230791
18,-0.42966122850870025
19,-0.7610961584817548
20,-0.977101701167161
21,-1.0841609189025072
22,-1.1744047645680613
23,-1.225555113975147
24,-1.2472505258716
25,-1.3307854431109472
26,-1.3534619758152648
27,-1.3701489372159772
28,-1.4002830979382936
29,-1.409223878697389
30,-1.4173540467090897
31,-1.4266729493782124
32,-1.4341951483746695
33,-1.4397062526503477
34,-1.4434737874552912
35,-1.4460586552360635
36,-1.4486058711685503
37,-1.4505497986462554
38,-1.452372517873649
39,-1.4537193930137853
40,-1.4554954109018714
41,-1.4578505486789402
42,-1.4593098596583207
43,-1.4608424983911863
44,-1.4632630753360312
45,-1.464854966079323
46,-1.4677124101455987
47,-1.4700104330296808
48,-1.4723794441547904
49,-1.4745830531057265
50,-1.4765542204716506
51,-1.4786502760288291
52,-1.4812272079344315
53,-1.4836551759074272
54,-1.4864709398876341
55,-1.4883181678664612
56,-1.4909149639358152
57,-1.4944064968073376
58,-1.4974082663594535
59,-1.5001232735418568
60,-1.502976075233167
61,-1.505482124582433
62,-1.5082214208288451
63,-1.5108475775818397
64,-1.5134583064235538
65,-1.5163980621561879
66,-1.5193246141426295
67,-1.522329438246215
68,-1.5255634030269896
69,-1.5282209819364447
70,-1.5313389447372951
71,-1.535213841849353
72,-1.5392063771497853
73,-1.5422814387737536
74,-1.5462387158568203
75,-1.55001445129463
76,-1.5538092683174531
77,-1.5567742309980135
78,-1.5605805684617802
79,-1.5642866145788985
80,-1.5677954083433696
81,-1.5709262208275752
82,-1.574816794051682
83,-1.5781623108146048
84,-1.5817668717971345
85,-1.585402665374995
86,-1.587972328013822
87,-1.5915075817856317
88,-1.5951797332822966
89,-1.5980022860421677
90,-1.6026273655419077
91,-1.6060398608911395
92,-1.6091064063020668
93,-1.6115641267892207
94,-1.6149908835472997
95,-1.6184996831743803
96,-1.6217661745028813
97,-1.6253109886867718
98,-1.628199315863192
99,-1.6315469443344646
100,-1.6346984107627494
101,-1.6383118372320347
102,-1.6422431678439706
103,-1.6470915568891475
104,-1.6498812492369013
105,-1.6534571175881958
106,-1.6566824878653736
107,-1.6595592899877767
108,-1.662556722686404
109,-1.665451332826077
110,-1.6681915423284737
111,-1.6728481548265886
112,-1.6761546139425898
113,-1.6796231751653103
114,-1.6831581469473154
115,-1.6854453283311333
116,-1.6883811106398565
117,-1.6933533959166454
118,-1.6966773666853903
119,-1.6989534948056237
120,-1.7021992627670666
121,-1.706031864353374
122,-1.7095889159146442
123,-1.7119911543636122
124,-1.7165387528362288
125,-1.719440786068966
126,-1.7219919471478566
127,-1.7243342136893514
128,-1.7269803837369362
129,-1.7297517017282664
130,-1.732793699809561
131,-1.7364018734098625
132,-1.7392900681915744
133,-1.7426060548177356
134,-1.7463764909502009
135,-1.751173482775054
136,-1.7545896849207305
137,-1.7573337725723568
138,-1.760282120855388
139,-1.7627776946378506
140,-1.7663289444520354
141,-1.7702191386066004
142,-1.7730804230254498
143,-1.776352359739309
144,-1.7793797466867929
145,-1.782488408399845
146,-1.7855613639868584
147,-1.7888546686170397
148,-1.7924543717364503
149,-1.795587727675703
150,-1.7985948200525446
151,-1.8013289235325152
152,-1.8040360442583703
153,-1.8068700724313294
154,-1.8107591617768373
155,-1.8134868501952854
156,-1.8164505846539392
157,-1.8196700257512028
158,-1.8227325529864662
159,-1.825155448756668
160,-1.8285550286805745
161,-1.83194498853962
162,-1.8349750590875678
163,-1.8381740990750528
164,-1.8408077198219517
165,-1.8435919917903685
166,-1.8465451859333566
167,-1.8489800180102973
168,-1.8522447812271046
169,-1.8564211824113805
170,-1.8591664725514914
171,-1.8617013942307095
172,-1.864328482150397
173,-1.8671526720402611
174,-1.8701992731483985
175,-1.8724792281750546
176,-1.873753540410744
177,-1.8778430373906607
178,-1.8825970194994364
179,-1.8860208871628616
180,-1.8889279416562101
181,-1.8915272679878283
182,-1.8925913954532123
183,-1.8967737960509123
184,-1.8984917043156475
185,-1.9042629242902316
186,-1.9054027201797514
187,-1.9101197104953116
188,-1.9126373701688686
189,-1.9155111419575381
190,-1.918230845786663
191,-1.9208629419709404
192,-1.9222787393080991
193,-1.9264155667659861
194,-1.9291283638969048
195,-1.9320952960772146
196,-1.934804726673638
197,-1.9374686976260014
198,-1.9395005508930199
199,-1.9430021204505026
200,-1.946266710783355
201,-1.9507064062843784
202,-1.9533794460503195
203,-1.9559341653385416
204,-1.9586965891046955
205,-1.9591203531538426
206,-1.9616434462582304
207,-1.9634547218464784
208,-1.9650115811136981
209,-1.9670049706429704
210,-1.9687439260973414
211,-1.972672671388961
212,-1.9757431319599434
213,-1.9790209732248751
214,-1.97908830108543
215,-1.981704153046802
216,-1.9833371308907424
217,-1.9849792040644507
218,-1.9871418733141517
219,-1.9886853803622047
220,-1.9905901523398168
221,-1.9944749612100043
222,-1.9960821431672995
223,-2.000061845000971
224,-2.0027695345622307
225,-2.005283810841606
226,-2.0074182856507545
227,-2.009593425686733
228,-2.011797264059622
229,-2.0152065285854266
230,-2.018641027422631
231,-2.0206352166308155
232,-2.0238456974759726
233,-2.0265061579887527
234,-2.0286784566314453
235,-2.0315741004004813
236,-2.033120019127002
237,-2.0368783443907246
238,-2.0406730275533693
239,-2.0430010032394996
240,-2.0445796009598465
241,-2.04813751895742
242,-2.0504227458468023
243,-2.053497457047671
244,-2.055583926278547
