iteration,value
0,407.2616206376084
1,221.125314208159
2,49.2679461128825
3,43.33737105646401
4,39.85064866471359
5,37.1399594488677
6,34.74924351573238
7,32.52044422620554
8,30.37565155017714
9,28.262706109755204
10,25.91203705607676
11,23.31294888455295
12,20.377606574940323
13,17.0850540820049
14,13.53461480579747
15,10.135574711822976
16,6.879554853513621
17,4.336025508783469
18,2.6417159101013814
19,1.7162338355685702
20,1.493452995226285
21,1.1699438099204946
22,1.0508768224251677
23,0.6990429745193705
24,0.539198065446298
25,0.47719589942004426
26,0.3328980766443248
27,0.25568311084832906
28,0.21833255777169125
29,0.16142433369560205
30,0.10235671409878844
31,0.06500480693096833
32,0.0541669718744302
33,0.04719074988000216
34,0.03449294473341169
35,0.028428147694715022
36,0.020044774511118746
37,0.015395389289780681
38,0.010218367992063548
39,0.00780011099977429
40,0.005925036087417013
41,0.004550297021999938
42,0.003470439513991508
43,0.002517450079787764
44,0.0017732394139517993
45,0.0012714501863957395
46,0.0009233957095897694
47,0.0007035621258744129
48,0.00047939935043217474
49,0.00032084105582974587
50,0.00021602964917022405
51,0.00015044351471793505
52,0.0001086059998218758
53,8.354590714887422e-05
54,6.126933026173731e-05
55,4.6433393723788186e-05
56,3.3126129874716526e-05
57,2.3163194743602844e-05
58,1.6433510767299708e-05
59,1.1919854221886794e-05
60,8.419609793364202e-06
61,6.110292853023225e-06
62,4.4162899790478605e-06
63,3.2378331127347337e-06
64,2.3589108426591565e-06
65,1.7163326866409534e-06
66,1.2531483744027128e-06
67,9.229411261912901e-07
68,6.812714108406226e-07
69,5.057923626594629e-07
70,3.767002620946869e-07
71,2.8187994161044116e-07
72,2.1144908934900286e-07
73,1.5952895360271668e-07
74,1.1742701566674896e-07
75,8.695499609245871e-08
76,6.492683723990922e-08
77,4.870787329025461e-08
78,3.663130598852149e-08
79,2.7651886114199442e-08
80,2.101931961817627e-08
81,0.24118567663045187
82,0.536553494777948
83,0.7355297056806638
84,0.19742538315497704
85,0.052741516160242696
86,0.038578543187052006
87,0.0332635417293865
88,0.024444410269493844
89,0.017693475300989192
90,0.0126370515746963
91,0.00910334231068255
92,0.00664864798779341
93,0.003573689743204156
94,0.0021693491647294394
95,0.0014928011417509879
96,0.0013664113952849277
97,0.0010077704835680379
98,0.0007528395830203038
99,0.0005557939102356357
100,0.00035921760835933014
101,0.00022893486178077183
102,0.00015185688743457604
103,0.00010024126562235836
104,7.28221957011499e-05
105,5.3644280479048234e-05
106,3.7500208714291716e-05
107,2.4828549593181037e-05
108,1.729060577382313e-05
109,1.239220254589668e-05
110,8.951847343396935e-06
111,6.2328094845298665e-06
112,4.322117041155593e-06
113,3.095449359946656e-06
114,2.1918280861399353e-06
115,1.5380514639673493e-06
116,1.1105340540495945e-06
117,8.022961281994867e-07
118,5.710806263437007e-07
119,4.1710121045923643e-07
120,3.0687163032894205e-07
121,2.247114991860144e-07
122,1.64216139353357e-07
123,1.2081921774154125e-07
124,8.961768571680295e-08
125,6.681195152680175e-08
126,4.994847735417807e-08
127,3.747600985093413e-08
128,2.817590427639516e-08
129,2.129014298191123e-08
130,1.6170957906069816e-08
131,0.2588036051191418
132,0.25421630109454973
133,0.6451946105716795
134,0.33926452579508304
135,0.08002720159399956
136,0.03661501263237987
137,0.027970161930028326
138,0.023785105169913834
139,0.01309533075473901
140,0.008875059083047532
141,0.006247317892290383
142,0.0052678833091786
143,0.003849558047335222
144,0.0026323563521426507
145,0.0017616189589269027
146,0.0010708542023731837
147,0.0006711713641873729
148,0.00041055128091116444
149,0.0002882552946736894
150,0.00022050774714443833
151,0.00015754431548664627
152,0.00011564270849895308
153,8.152927765792128e-05
154,5.656387270747132e-05
155,4.057889214514887e-05
156,2.7708076460797315e-05
157,1.9639078097100082e-05
158,1.3480062184711983e-05
159,9.417392908162014e-06
160,6.711892053701263e-06
161,4.734022338581667e-06
162,3.3426984895612577e-06
163,2.382704343162345e-06
164,1.6960750102157363e-06
165,1.2070854111811968e-06
166,8.667905415649102e-07
167,6.250059385592976e-07
168,4.570850382634717e-07
169,3.3675648936082325e-07
170,2.473894973320512e-07
171,1.826576223606935e-07
172,1.3553290578727228e-07
173,1.0121439686372469e-07
174,7.578535843322243e-08
175,5.701301830640659e-08
176,4.3033823615701294e-08
177,3.259417979961654e-08
178,2.480337712995606e-08
179,1.8928188794120615e-08
180,1.4522409941264414e-08
181,1.117409986761686e-08
182,8.643000981578552e-09
183,6.714936162666163e-09
184,5.233840028040504e-09
185,4.092624905638331e-09
186,3.126402248199156e-09
187,2.397628762196291e-09
188,1.8457964046092457e-09
189,1.4265921777223411e-09
190,1.1071588090771911e-09
191,8.622169644922906e-10
192,6.55447252029262e-10
193,5.007425585290548e-10
194,3.8421177350755897e-10
195,2.9597302386719093e-10
196,2.2881785355366446e-10
197,1.7753087888650043e-10
198,1.3437251311643195e-10
199,1.021174256266022e-10
200,7.791634004661319e-11
201,5.972822236799402e-11
202,4.596678593316028e-11
203,3.553957128588081e-11
204,2.759925621376169e-11
205,2.091482542709855e-11
206,1.5935697206259647e-11
207,1.219468970248272e-11
208,9.386269539390923e-12
209,7.249312261592422e-12
210,5.6203930398623925e-12
211,4.376943252282217e-12
212,3.3306690738754696e-12
213,2.545519350860559e-12
214,1.9557688801796758e-12
215,1.5099033134902129e-12
216,1.170619157164765e-12
217,9.130474154517287e-13
218,7.140954494389007e-13
219,5.435651928564766e-13
220,4.192202140984591e-13
221,3.232969447708456e-13
222,2.504663143554353e-13
223,1.936228954946273e-13
224,1.509903313490213e-13
