iteration,value
0,791.1131100809474
1,1986.4100100762373
2,260.9828719706381
3,203.9429485733965
4,150.9740120391045
5,121.90270697750805
6,100.03633164231158
7,82.09256091878972
8,66.96274440307542
9,52.767778062435035
10,41.02303327531959
11,31.370857670215468
12,23.531834333914386
13,17.270992444845135
14,12.359802826730757
15,8.602345740712343
16,5.80928615399762
17,3.7924830762464037
18,2.3870158587804835
19,1.449394988399213
20,0.8490057317848274
21,0.48850138809886556
22,0.27904808199904163
23,0.16209188339149092
24,0.09480616149618806
25,0.0616331275171574
26,0.041373774792318525
27,0.028260998999435096
28,0.019715299089466173
29,0.013704339934494391
30,0.009449389244234071
31,0.006530665692302783
32,0.0046194021742753935
33,0.003062587313170903
34,0.002081632034892407
35,0.0014032638311439387
36,0.000955613177614932
37,0.0006555247799400735
38,0.0004612955424499044
39,0.00032421296752995345
40,0.0002296916633138591
41,0.0001644664005948208
42,0.00011523562152665335
43,8.096384887960734e-05
44,5.701289467555025e-05
45,4.0721682641240246e-05
46,2.9449880697522473e-05
47,2.127474769420077e-05
48,1.5362755463616902e-05
49,1.1243235321902602e-05
50,8.17190944034207e-06
51,5.9303015443370245e-06
52,4.340052170851757e-06
53,3.2020469278720358e-06
54,2.3592809869177973e-06
55,1.7453467047330552e-06
56,1.3045162660828602e-06
57,9.78325414888995e-07
58,7.35022510711033e-07
59,5.554360282840049e-07
60,4.21771020810864e-07
61,3.2131503538036407e-07
62,2.45577372156771e-07
63,1.886718033280551e-07
64,1.4556388389257173e-07
65,1.1270660160700852e-07
66,8.76089560592779e-08
67,6.838263395976046e-08
68,5.356919407339646e-08
69,4.2117267987681334e-08
70,3.322163131058769e-08
71,0.18106574381217277
72,0.3212397915267989
73,0.40380500293942234
74,0.164409170050512
75,0.04169728999725607
76,0.019788764732371508
77,0.01020417830448155
78,0.007344804556803563
79,0.004702773357558075
80,0.0035655739910629004
81,0.002340419780590771
82,0.0016189472176204556
83,0.0009398890516675756
84,0.0006381790727441801
85,0.000455795708965543
86,0.000351971223278535
87,0.0002620857257412432
88,0.00020188446401309495
89,0.0001499152027113971
90,9.23829112867657e-05
91,4.775426028839016e-05
92,2.8218597569491194e-05
93,1.8732240439824175e-05
94,1.2255410869296778e-05
95,8.02015013149515e-06
96,5.318502680349482e-06
97,3.6513009021756435e-06
98,2.510662498749258e-06
99,1.7238657671575536e-06
100,1.1188701752965987e-06
101,7.72351538015027e-07
102,5.417391693612674e-07
103,3.808679645266628e-07
104,2.746727716627521e-07
105,1.9635200678649588e-07
106,1.333108826692734e-07
107,9.478034520990771e-08
108,6.595253446570201e-08
109,4.6519516678675924e-08
110,3.161396776694419e-08
111,2.17024627562573e-08
112,1.5122351726071227e-08
113,1.0832614313562757e-08
114,7.719735926923042e-09
115,5.611706057890686e-09
116,4.01404331812529e-09
117,2.8952759372486025e-09
118,2.0855818391478245e-09
119,1.5126292501790115e-09
120,0.21664060515743444
121,0.49196389846042315
122,0.6171120196577567
123,0.2166543082875562
124,0.0411072791279284
125,0.018440950595203953
126,0.008643065273836749
127,0.006384008901912161
128,0.003966932145926909
129,0.0029980025221381
130,0.0020236082661614294
131,0.0013100380267350971
132,0.0007507298024700558
133,0.0004842488073157944
134,0.0003755747506267555
135,0.0002765349977329791
136,0.00022483805743164385
137,0.00016732844462293944
138,0.0001299069965995368
139,9.985785897399857e-05
140,5.9102980823705055e-05
141,3.28524435305174e-05
142,1.9722654890041354e-05
143,1.179373845845899e-05
144,7.716292734811555e-06
145,4.820183780600866e-06
146,3.440645722134665e-06
147,2.2987623712504434e-06
148,1.6678862408643681e-06
149,1.1327680333272441e-06
150,8.061509118750023e-07
151,5.827933052030395e-07
152,4.0858326650558535e-07
153,2.857447678820344e-07
154,2.027478302516475e-07
155,1.4232341666303632e-07
156,9.80706711787716e-08
157,6.871371983650833e-08
158,4.856736989271798e-08
159,3.362486342848118e-08
160,2.3702000350360365e-08
161,1.6656494489715893e-08
162,1.1729143533405973e-08
163,8.373475580708346e-09
164,5.89638290655852e-09
165,4.160686703563413e-09
166,2.961673620407837e-09
167,2.1298797260569143e-09
168,1.5314808856344187e-09
169,1.110421175605447e-09
170,8.092918143922015e-10
171,5.914839853767812e-10
172,4.34304359514684e-10
173,3.192108357817043e-10
174,2.3670962778407264e-10
175,1.7518823015726114e-10
176,1.3099596027594472e-10
177,9.823500766838105e-11
178,7.396190006255524e-11
179,5.5985957612655286e-11
180,4.25733230851611e-11
181,3.248551427453243e-11
182,2.488181025579175e-11
183,1.9154662596887187e-11
184,1.4794232931915112e-11
185,1.1471936448211784e-11
186,8.931064805443374e-12
187,6.97629799834196e-12
188,5.470512051553755e-12
189,4.3054566959178316e-12
190,3.400158867799744e-12
191,2.694261954280562e-12
192,2.1418004721661954e-12
193,1.7080804419762352e-12
194,1.3665870127945094e-12
195,1.096581349822849e-12
196,8.824765985939872e-13
197,7.122376644714785e-13
198,5.765189268349554e-13
199,4.679635351882508e-13
200,3.808646752104911e-13
201,3.1081257358292434e-13
202,2.5430569124321763e-13
203,2.085814632318497e-13
204,1.7149004349301954e-13
