iteration,value
0,5353.7775075257105
1,22951758.26332945
2,2820563.882519456
3,1540302.4137393287
4,565420.7766938849
5,308950.2262376772
6,193377.48982919607
7,123569.3378948833
8,83830.14172853131
9,59091.5294822895
10,40780.615582540464
11,28921.15237786052
12,20896.678355940705
13,15292.739316200103
14,11286.609373112957
15,8372.319590947529
16,5868.623971559605
17,3813.9625296180307
18,2226.401509934597
19,1104.8115658218057
20,424.7770778536347
21,167.679224187904
22,92.41838473991818
23,87.92486878680799
24,95.14775734406314
25,110.32659030223982
26,130.38367827054196
27,152.84358117032602
28,175.75341626830996
29,197.6095015189616
30,217.3011407282101
31,234.05675806449253
32,247.3775748438524
33,256.9645318142729
34,262.6493538726042
35,265.5146597532921
36,264.51963636767226
37,261.60245060533975
38,270.6681930748891
39,272.49338588419306
40,268.04053736616095
41,282.1339479768434
42,286.6801092271866
43,282.3332173448149
44,306.97142624114946
45,319.52715489342347
46,323.2394424168167
47,319.0712405791001
48,325.9485871099106
49,324.1977757793808
50,318.34233744577637
51,313.1027588676553
52,301.35690361584165
53,292.58009499853597
54,281.01836692756956
55,259.21430839576476
56,267.9957234004675
57,257.61569405444504
58,245.12284721631494
59,299.7533975431577
60,311.64391764217964
61,305.85606906433986
62,293.98955493952167
63,305.2509170158869
64,299.3767007307699
65,294.62696361082874
66,271.74254990234937
67,284.2708283405243
68,268.2805996572925
69,281.7082456768344
70,267.6413948917806
71,255.4201982733622
72,255.44120517693298
