iteration,value
0,8.833932422515595e+22
1,9.643589649288527e+20
2,1.7298636083635074e+20
3,1.2112141318506072e+19
4,1.1613382244233638e+17
5,1.1045364176742632e+17
6,1.0245788058118853e+17
7,9.482376202862618e+16
8,8.757824273081478e+16
9,2.059774419775093e+16
10,1.4245497994063638e+16
11,1.0786091135578466e+16
12,8563006565824466.0
13,119018257210660.98
14,109859773627131.95
15,101322600633541.75
16,101030538083237.5
17,100706651722136.53
18,100687673673037.58
19,100641170158464.75
20,100589532978117.8
21,100589168298778.47
22,98865680849626.98
23,97022427026218.11
24,95057714252571.55
25,92970765247083.72
26,90760024779939.67
27,88417337298293.58
28,85959084214355.31
29,83358533074007.61
30,80656275163316.4
31,77865253695461.64
32,74997465100111.16
33,72061360369371.19
34,69075245467658.37
35,68937584590646.05
36,68784882049674.305
37,68616025245431.93
38,68429444702816.19
39,68223326751169.33
40,67993990496018.94
41,67740903029883.3
42,67461512619786.5
43,67152662552502.625
44,66812504612884.78
45,66438851419774.45
46,66028812420906.44
47,56659712095480.875
48,56300674705690.016
49,55906990218230.62
50,55476317111263.25
51,55447563471963.0
52,55415388381298.805
53,55379628225973.75
54,55339314644471.29
55,55294530056885.164
56,55244118030640.234
57,53954387788338.93
58,52596139920984.04
59,51170992099646.21
60,26481435039693.46
61,26101443329888.188
62,26077448365571.047
63,26050822267394.656
64,25547827889495.055
65,25516443668266.03
66,25481619043964.188
67,25443023222191.83
68,25400252805126.375
69,25396588805271.805
70,25392508563252.76
71,25333694353928.97
72,24241845804278.17
73,24176350097774.355
74,24093880377619.043
75,22565378917231.074
76,21110848802016.906
77,21028426541172.324
78,20937570978930.035
79,20837577981733.617
80,20724894448102.33
81,20601090426905.617
82,20465129436836.188
83,20316401495120.23
84,20152641806983.105
85,19974212386747.055
86,19780069562693.793
87,19764005811973.574
88,19746181883294.06
89,19744241184015.67
90,19722235477900.746
91,19719840815643.08
92,19692242809479.934
93,19661537242890.254
94,19206487527288.543
95,18729048129668.52
96,18229266321552.94
97,11326127907615.611
98,8675145856028.931
99,8576946529403.164
100,8471095322861.312
101,8462288133374.066
102,8242802306252.697
103,8015431824211.793
104,7998321137261.619
105,7739074553737.541
106,7475944487556.611
107,7456481967316.486
108,7162870605470.568
109,7141549545751.971
110,7117789346576.238
111,7091442462567.955
112,6694681575114.97
113,6320677284384.299
114,2737833205974.0513
115,2712457383586.5234
116,2710525497405.792
117,2708363507503.4414
118,2707913971899.661
119,2707903041208.4834
120,2707888493032.5312
121,2707304605185.3926
122,2707223949805.1084
123,2707129930049.143
124,2705171774936.8613
125,2702961247056.3867
126,2702678838624.749
127,2699859594719.8984
128,2696719199352.6953
129,2693224612067.545
130,2689293302663.5625
131,2688738920606.5156
132,2688064494674.4893
