iteration,value
0,490.60416439440274
1,4065.7108141216686
2,197.22941421198396
3,127.70000088259583
4,71.36167885039563
5,52.40721464775389
6,41.90380809772846
7,34.830251005411135
8,29.56937599559598
9,25.382388470119352
10,21.916733953749162
11,18.963794733647973
12,16.385105766799025
13,14.110927933646751
14,12.07484020888202
15,10.242097318315672
16,8.59282547269376
17,7.107370183720914
18,5.781126116133559
19,4.608128618766354
20,3.5897598119393597
21,2.7250790955192072
22,2.01121228461061
23,1.4472110991351474
24,1.006571625722119
25,0.6859843685880961
26,0.4575039991911801
27,0.3039951084158874
28,0.20184534569823356
29,0.13774631296627968
30,0.09549313360290133
31,0.06594668099655199
32,0.046805509436726914
33,0.03137933989871927
34,0.022259516860651356
35,0.015698066096863646
36,0.011312349334025909
37,0.008240840425521619
38,0.006029397896791314
39,0.004458234060292277
40,0.0032707573456176673
41,0.002423001041009948
42,0.0017560334387212448
43,0.001282906991304126
44,0.0009487064971870837
45,0.0007077764314498756
46,0.0005280961826093087
47,0.00039447137529025436
48,0.00029143248484604775
49,0.0002167052455623699
50,0.0001620639758434302
51,0.00012111682982508599
52,9.09459569554117e-05
53,6.8778991034769e-05
54,5.2273291178191834e-05
55,3.891908315616505e-05
56,2.92105757133959e-05
57,2.196321418074096e-05
58,1.660173798630421e-05
59,1.2568737801798354e-05
60,9.609044719434596e-06
61,7.388570390738669e-06
62,5.53186446490471e-06
63,4.201430341332812e-06
64,3.1951796278061804e-06
65,2.442452500478892e-06
66,1.879580547127834e-06
67,1.452561170463237e-06
68,1.0981734103408298e-06
69,8.327820781671049e-07
70,6.365522731095359e-07
71,4.888332573801669e-07
72,3.770435356482789e-07
73,2.92359141291892e-07
74,2.214707609911853e-07
75,1.6888762254145292e-07
76,1.2933196637255828e-07
77,9.972441653188105e-08
78,7.720936340284205e-08
79,6.008486094034483e-08
80,0.4346956939887331
81,0.666532577778462
82,0.3675530910138489
83,0.04921790986292294
84,0.0278906862880174
85,0.012653885661109598
86,0.007029872123913742
87,0.003882071228249726
88,0.002502684821636233
89,0.0016999321607026974
90,0.0013963918532944035
91,0.0008202568778594569
92,0.0005503787201206538
93,0.0004384458892727256
94,0.0002679284767791244
95,0.0001520133057973464
96,0.00011228904771376738
97,8.736879587080746e-05
98,5.9930291812032075e-05
99,4.135860889012009e-05
100,3.0462173145197294e-05
101,2.1295072600661995e-05
102,1.5059312788754327e-05
103,8.908672812084698e-06
104,4.884936728839169e-06
105,3.308406143766224e-06
106,1.8746032993595412e-06
107,1.310826812461579e-06
108,9.042109568793807e-07
109,5.859985300257387e-07
110,3.6897804094799657e-07
111,2.3395324480149052e-07
112,1.6019708063353727e-07
113,1.1518922868084635e-07
114,8.085061431454148e-08
115,5.3803825702502257e-08
116,3.8010308907476914e-08
117,2.3355989578092973e-08
118,1.7168092313943403e-08
119,1.2376619367442621e-08
120,8.360823657066234e-09
121,5.492738543895169e-09
122,3.656513061816406e-09
123,2.47502598138228e-09
124,1.737468117310871e-09
125,1.1914490284900116e-09
126,8.889645700472043e-10
127,6.496119216975986e-10
128,0.5450722605786912
129,0.8528528887733015
130,0.3982731277173013
131,0.0446809876170858
132,0.030173516200064157
133,0.01123673518124751
134,0.007314785190064861
135,0.004624645229374033
136,0.0028697635237527573
137,0.0017657257264985112
138,0.0011369258186641788
139,0.0007096734575712989
140,0.0005688085503255393
141,0.0003244005940720587
142,0.00020659823106027118
