iteration,value
0,166.3924366867744
1,130.2296686910295
2,119.60015149920902
3,113.8950814438221
4,110.01276346261511
5,107.54209476654322
6,105.71319523447615
7,104.20679253973688
8,102.79742634422645
9,101.58711963237587
10,100.78412623935697
11,100.33490442466498
12,100.14491920655344
13,100.08551702170355
14,100.0322348619915
15,100.01875671582063
16,100.00772382103597
17,100.00530410356225
18,100.00280506725561
19,100.00199875527107
20,100.00132940329776
21,100.00087630710101
22,100.00059517981593
23,100.00038893367963
24,100.00025335401234
25,100.00016327958858
26,100.00010561917955
27,100.00007116399519
28,100.00004809701521
29,100.00003193993588
30,100.00002185486439
31,100.00001450304217
32,100.0000100549123
33,100.00000705601963
34,100.00000493104992
35,100.00000347374068
36,100.00000241752369
37,100.00000164097735
38,100.00000113575517
39,100.00000080275395
40,100.0000005643631
41,100.00000039394683
42,100.00000027830497
43,100.00000019627197
44,100.00000014079079
45,100.0000001001027
46,100.0000000712617
47,100.00000005123908
48,100.00000003696881
49,100.00000002673833
50,100.00000001940082
51,100.00000001408387
52,100.00000001034577
53,100.00000000761706
54,100.00000000562406
55,100.00000000415947
56,100.00000000309313
57,100.00000000230754
58,100.00000000173054
59,100.00000000130362
60,100.00000000098518
61,100.06786482909219
62,100.11866266971592
63,100.0815511555533
64,100.00928986580858
65,100.0044170179478
66,100.00163369755823
67,100.00093982506762
68,100.00065622619296
69,100.00049768650459
70,100.00033528386929
71,100.00020124388406
72,100.00012731477239
73,100.00009138220825
74,100.00006430742145
75,100.00004489371615
76,100.00002975331773
77,100.00002016405205
78,100.00001370786664
79,100.00000959630404
80,100.00000661499412
81,100.00000458769057
82,100.00000319237405
83,100.00000219334561
84,100.00000148787116
85,100.00000105160137
86,100.00000070647164
87,100.00000046528724
88,100.00000032130936
89,100.00000022149054
90,100.00000015447249
91,100.00000010848494
92,100.00000007730974
93,100.00000005328249
94,100.00000003687956
95,100.00000002548875
96,100.00000001761647
97,100.00000001229999
98,100.00000000868093
99,100.00000000613008
100,100.00000000434873
101,100.00000000308236
102,100.00000000221365
103,100.00000000159456
104,100.00000000113523
105,100.00000000081153
106,100.00000000058554
107,100.00000000042499
108,100.00000000031127
109,100.09042124306113
110,100.16272651308033
111,100.10430593337405
112,100.01019726150069
113,100.00411315951746
114,100.0018147345906
115,100.00112725241797
116,100.00067596092224
117,100.00046944655087
118,100.00030775573691
119,100.00021122519522
120,100.00012365257997
121,100.0000907516776
122,100.00006627805689
123,100.00004729670093
124,100.00003067711484
125,100.0000198126782
126,100.00001305864268
127,100.00000900129692
128,100.00000629806243
129,100.00000456825023
130,100.00000308844021
131,100.00000212189151
132,100.0000014648475
133,100.00000105671693
134,100.00000071185471
135,100.00000046741114
136,100.00000032428683
137,100.00000022601922
138,100.00000015958442
139,100.00000011070436
140,100.00000007533214
141,100.00000005213963
142,100.00000003596706
143,100.00000002516045
144,100.0000000174655
145,100.00000001198813
146,100.00000000845775
147,100.00000000593309
148,100.00000000419057
149,100.00000000296298
150,100.00000000208834
151,100.0000000014859
152,100.00000000106232
153,100.00000000076902
154,100.00000000055554
155,100.00000000040143
156,100.00000000029314
157,100.00000000021504
158,100.0000000001586
159,100.00000000011688
160,100.00000000008684
161,100.00000000006476
162,100.00000000004842
163,100.0000000000363
164,100.0000000000273
165,100.00000000002063
166,100.00000000001563
167,100.00000000001188
168,100.00000000000908
169,100.00000000000695
170,100.00000000000534
171,100.00000000000412
172,100.0000000000032
173,100.00000000000249
174,100.00000000000193
175,100.0000000000015
176,100.0000000000012
177,100.00000000000095
178,100.00000000000077
179,100.00000000000057
180,100.00000000000045
181,100.00000000000034
182,100.00000000000028
183,100.00000000000023
184,100.0000000000002
