iteration,value
0,0.3595216070058529
1,0.28380214897606676
2,0.004098447719965009
3,-7.617201548358766
4,-7.246598705662094
5,-6.445585062969241
6,-6.823721573199013
7,-8.365180960881963
8,-7.236354391957074
9,-7.301735943188837
10,-7.491025668761178
11,-9.061184060186012
12,-9.171942629770063
13,-9.144299627532195
14,-9.083828769156593
15,-9.129101910391258
16,-9.347457237832835
17,-9.367226353095882
18,-9.338271467635872
19,-9.311496019355731
20,-9.427620363585202
21,-9.432808039757056
22,-9.433777753817749
23,-9.420307726563566
24,-9.401959677980015
25,-9.336909776138066
26,-9.372528951599394
27,-9.366720553345186
28,-9.299838980815746
29,-9.334552363646255
30,-9.350595528462714
31,-9.306126481853877
32,-9.426492221530689
33,-9.381225077580892
34,-9.311811490170852
35,-9.40560215587196
36,-9.424929710564946
37,-9.441769172758036
38,-9.442220037464983
39,-9.444446431105035
40,-9.440108935399998
41,-9.446310688272026
42,-9.444287471884632
43,-9.445691279864581
44,-9.44554504384067
45,-9.446784798452756
46,-9.446260824878072
47,-9.446710946176612
48,-9.44660706169312
49,-9.446902464293931
50,-9.446853644963605
51,-9.446874098473224
52,-9.446922240780905
53,-9.446938608485407
54,-9.446948729266952
55,-9.446954051890703
56,-9.446965561616153
57,-9.44696995607281
58,-9.446974383578619
59,-9.44697786583361
60,-9.44698055304718
61,-9.446982794517908
62,-9.446984694981968
63,-9.446986391580193
64,-9.446987825316686
65,-9.446989024517979
66,-9.446990196379982
67,-9.446991278902608
68,-9.446992319493395
69,-9.446993364290943
70,-9.44699438050453
71,-9.446995338984458
72,-9.446996154237587
73,-9.446997054227921
74,-9.44699796562629
75,-9.44699872269241
76,-9.446999465362621
77,-9.447000163535655
78,-9.447000868633086
79,-9.447001553404784
80,-9.447002277958946
81,-9.44700295553495
82,-9.447003633427197
83,-9.447004254857125
84,-9.447004827407284
85,-9.447005416641067
86,-9.447006022970646
87,-9.44700664964735
88,-9.447007269946297
89,-9.447007968873267
90,-9.4470086099326
91,-9.447009339200564
92,-9.447009986974061
93,-9.447010579240041
94,-9.447011192842378
95,-9.447011819097252
96,-9.447012482592783
97,-9.44701325230347
98,-9.44701403368688
99,-9.44701480308586
100,-9.447015681700414
101,-9.447016556634065
102,-9.447017346007371
103,-9.447018229190634
104,-9.447019209481851
105,-9.447020104155051
106,-9.447020977108345
107,-9.447021832092467
108,-9.447022708470442
109,-9.447023617482607
110,-9.447024670105122
111,-9.447025652139896
112,-9.44702665359731
113,-9.447027401846567
114,-9.44702840288888
115,-9.447029065946843
116,-9.44702969873998
117,-9.447030347555703
118,-9.44703109177078
119,-9.44703190512538
120,-9.447032741452238
121,-9.44703364147702
122,-9.447034485868775
123,-9.447035442804074
124,-9.447036216125936
125,-9.447036976939946
126,-9.447037566151375
127,-9.44703838281198
128,-9.447039025255778
129,-9.447039649490431
130,-9.447040270523221
131,-9.447040864122092
132,-9.447041484867547
133,-9.44704218626062
134,-9.44704292192949
135,-9.447043775437088
136,-9.447044617176534
137,-9.447045345958948
138,-9.447046207772853
139,-9.447047064201325
140,-9.44704800718875
141,-9.447048722213227
142,-9.447049180717135
143,-9.447049830915141
144,-9.447050418724212
145,-9.447050949197724
146,-9.447051516048528
147,-9.447052082542916
148,-9.4470526521957
149,-9.44705328868079
150,-9.447053997590272
151,-9.447054793095836
152,-9.447055585756832
153,-9.447056557183057
154,-9.447057340678777
155,-9.447058180472792
156,-9.447058900763123
157,-9.44705956715054
158,-9.447060229739584
159,-9.447060894520453
160,-9.447061566712364
161,-9.447062166299709
162,-9.447062892694303
163,-9.44706360400294
164,-9.447064271950268
165,-9.447065018310939
166,-9.44706582987536
167,-9.447066475098534
168,-9.447067368119864
169,-9.447068071181974
170,-9.44706874755488
171,-9.447069428652032
172,-9.447070052153766
173,-9.44707077465605
174,-9.447071413827775
175,-9.447072186503098
176,-9.44707298087701
177,-9.4470735917914
178,-9.447074438788338
179,-9.447074962861976
180,-9.447075620848825
181,-9.447076123370344
182,-9.447076565800286
183,-9.447077097085558
184,-9.44707764294177
185,-9.447078215475807
186,-9.447078856396416
187,-9.44707949936268
188,-9.447080169954699
189,-9.447080857579502
190,-9.447081642994688
191,-9.447082462330272
192,-9.447083091609322
193,-9.447083783503595
194,-9.447084471464283
195,-9.44708538245358
196,-9.447085958596587
197,-9.447086849628633
198,-9.447087422552032
199,-9.44708806823031
200,-9.447088630173937
201,-9.447089181264133
202,-9.447089759477695
203,-9.447090345835159
204,-9.447091025532082
205,-9.447091706333248
206,-9.447092387397092
207,-9.447092985878015
208,-9.447093599679624
209,-9.447094355636569
210,-9.447095002464799
211,-9.447095609607686
212,-9.447096187064693
213,-9.447096818454995
214,-9.447097436738433
215,-9.447098016136584
216,-9.447098608561312
217,-9.447099019670581
218,-9.44709966761152
219,-9.44710021247375
220,-9.44710073637501
221,-9.447101268786819
222,-9.447101878913637
223,-9.44710248950946
224,-9.447103227784762
225,-9.447103773329285
226,-9.447104475066881
227,-9.447105012172065
228,-9.44710555456262
229,-9.447106031354844
230,-9.447106506112572
231,-9.447107056858277
232,-9.447107644711922
233,-9.447108072664967
234,-9.447108699167039
235,-9.447109262696161
236,-9.447109821862801
237,-9.44711037651541
238,-9.447110909439726
239,-9.447111449495763
240,-9.447111967902059
241,-9.4471125216522
242,-9.447113163124378
243,-9.447113819095769
244,-9.447114455614422
245,-9.447115308273784
246,-9.447116037280576
247,-9.447116440241665
248,-9.447117320435732
249,-9.447117845460127
250,-9.447118331717016
251,-9.447118881390768
252,-9.447119410715915
253,-9.44711991548739
254,-9.447120544970835
255,-9.447121056809255
256,-9.447121683823115
257,-9.447122307133577
258,-9.447122852653496
259,-9.447123386318363
260,-9.447123918545286
261,-9.447124396263792
262,-9.447124989371286
263,-9.447125525758052
264,-9.447126159375092
265,-9.44712674916961
266,-9.447127189820453
267,-9.447127758765411
268,-9.447128320281198
269,-9.447128908909825
270,-9.44712936671829
271,-9.447129961427107
272,-9.447130502490403
273,-9.447131022583736
274,-9.447131551987665
275,-9.447132029818366
276,-9.447132506113748
277,-9.447133065677173
278,-9.447133614345098
279,-9.447134141342532
280,-9.447134474306274
281,-9.447135197359199
282,-9.447135630644917
283,-9.447136109509303
284,-9.447136538418308
285,-9.447136947486458
286,-9.447137376792247
287,-9.447137865452236
288,-9.447138297258787
289,-9.447139027752158
290,-9.447139542672403
291,-9.447140155679586
292,-9.447140608649327
293,-9.44714106999242
294,-9.44714146200181
295,-9.44714183821247
296,-9.447142278604735
297,-9.44714276951909
298,-9.447143302541367
299,-9.447143908781928
300,-9.44714436470032
