iteration,value
0,4.677625041939959
1,-104.51510201668428
2,-213.50227002674634
3,-296.3608624120949
4,-509.4390606840233
5,-812.4074412106959
6,-1223.6533280163583
7,-1820.641475845603
8,-2585.291161772394
9,-3578.349435022243
10,-5026.65514585021
11,-6778.647822672258
12,-8766.666478454794
13,-11242.80483584197
14,-14520.98007917756
15,-17963.47474656374
16,-21774.580741908947
17,-26415.893423509613
18,-32085.745291388157
19,-38320.44107649421
20,-45401.967484396286
21,-53442.08512602296
22,-62166.61548600487
23,-72220.30518057277
24,-83900.2399252687
25,-96224.65684183309
26,-109609.34420180666
27,-125592.70246673349
28,-142719.5365282815
29,-162817.4440622263
30,-187153.760954938
31,-212072.29351662978
32,-240065.33828734377
33,-271248.19582299085
34,-305124.6832890161
35,-341054.73491381976
36,-381830.66367566475
37,-426116.0723638839
38,-456284.0465129956
39,-487503.80760233157
40,-543330.5306926622
41,-561540.7013896266
42,-564117.474509874
43,-566672.4522351631
44,-569356.070091372
45,-571669.6310017916
46,-574254.4287989076
47,-577411.2173358108
48,-581365.677946985
49,-586135.4357451346
50,-590923.9113076831
51,1.0411422807767747e+136
52,1.0411422807767747e+136
53,8.579558339794502e+130
54,8.579476455892696e+130
55,8.579473035836256e+130
56,8.579063760350602e+130
57,8.578358298287438e+130
58,8.576078986369746e+130
59,8.507483612018906e+130
60,8.507474922021534e+130
61,8.469752764930263e+130
62,5.908922707497301e+130
63,5.90892119557494e+130
64,5.852096805633157e+130
65,3.7998797427438354e+130
66,3.7434143877267164e+130
67,2.808389116515938e+123
68,2.8083850857807485e+123
69,2.80838105749205e+123
70,2.808198174749392e+123
71,2.788490402766102e+123
72,2.759667106828123e+123
73,2.7594707739815956e+123
74,2.7593101458832335e+123
75,2.701407556349678e+123
76,2.5859430171213534e+123
77,2.5300878558924276e+123
78,2.5081333436715785e+123
79,3.424957075458882e+121
80,3.3008366831409965e+121
81,3.2666466097723257e+121
82,3.129375104128924e+121
83,1.3131237240140969e+116
84,1.2919409660231125e+116
85,1.244340181962213e+116
86,8.468397090750916e+109
87,8.468366921824375e+109
88,8.468366921692238e+109
89,3.074621316349353e+109
90,3.0558494263177834e+109
91,3.0307668232933758e+109
92,1.6586635261688912e+103
93,1.6586635144542797e+103
94,1.658572416282622e+103
95,1.6327431899666117e+103
96,1.2933561516083966e+103
97,7.286288662519751e+102
98,2.047034687228435e+81
99,2.047034687228435e+81
