iteration,value
0,139.4362874764207
1,1066.7521306670355
2,-384.5270417610819
3,-462.1400703846788
4,-569.9882695502384
5,-627.3607865603498
6,-648.1480980148857
7,-651.1460526748737
8,-651.5393023603226
9,-651.8161291341602
10,-651.9910846346312
11,-652.1306301407951
12,-652.2355629993602
13,-652.3215269016873
14,-652.3929425200004
15,-652.4542950659768
16,-652.5063605608331
17,-652.5527977919571
18,-652.5940662392351
19,-652.6306037657728
20,-652.6668035401955
21,-652.7023775093174
22,-652.7339827464276
23,-652.7655124589609
24,-652.7962262563569
25,-652.8233821753148
26,-652.8474306178084
27,-652.870928812926
28,-652.8936899632338
29,-652.9134254332414
30,-652.9324341492409
31,-652.9505622050655
32,-652.9659471259256
33,-652.9791771260343
34,-652.9916971252783
35,-653.0034344311719
36,-653.0132931897421
37,-653.0224683060516
38,-653.0309192043703
39,-653.0378389430002
40,-653.0435666914915
41,-653.0487865778189
42,-653.0530797771299
43,-653.0566374469922
44,-653.0599001064958
45,-653.062841524161
46,-653.0654630633237
47,-653.0675761843418
48,-653.0692811036258
49,-653.0708072460054
50,-653.0721623382512
51,-653.0732244696519
52,-653.0741461946319
53,-653.0749402029822
54,-653.0756213255755
55,-653.0761931981962
56,-653.0766747789413
57,-653.0770786886424
58,-653.077413405212
59,-653.0776873113359
60,-653.0779077233555
61,-653.0780837228535
62,-653.0782230524591
63,-653.0783229766242
64,-653.0784024823582
65,-653.0784659926024
66,-653.0785142821048
67,-653.0785532291662
68,-653.07858248792
69,-653.0786051365768
70,-653.0786223437381
71,-653.0786343127263
72,-653.0786434847073
73,-653.0786501480605
74,-653.0786552426832
75,-653.0786594018133
76,-653.0786623417471
77,-653.0786646500899
78,-653.0786663035909
79,-653.0786676115862
80,-653.0786685747098
81,-653.0786693727615
82,-653.0786700002801
83,-653.0786704885629
84,-653.0786708668965
85,-653.0786711935732
86,-653.078671470405
87,-653.0786716898116
88,-653.078671865285
89,-653.0786720160628
90,-653.0786721366411
91,-653.0786722335746
92,-653.0786723126647
93,-653.0786723763948
94,-653.0786724277375
95,-653.0786724738533
96,-653.0786725148963
97,-653.0786725523628
98,-653.0786725815593
99,-653.0786726048648
100,-651.9568158887537
101,-648.2291975548504
102,-648.9429045355545
103,-652.7943779285737
104,-653.0021479305789
105,-653.0595158228894
106,-653.0600072451605
107,-653.0655903882598
108,-653.0678841981612
109,-653.0711326706313
110,-653.0737352350973
111,-653.0751472319591
112,-653.0759398889733
113,-653.0766018893606
114,-653.0768898032023
115,-653.077351075193
116,-653.077558680516
117,-653.0778033196195
118,-653.0779662232247
119,-653.0780751094974
120,-653.0781570041837
121,-653.0782265325678
122,-653.0782865021821
123,-653.0783359313971
124,-653.0783769556465
125,-653.0784098124726
126,-653.0784378123521
127,-653.0784624002958
128,-653.0784836875109
129,-653.078501950139
130,-653.0785180305627
131,-653.0785318168304
132,-653.078544075801
133,-653.0785549373086
134,-653.0785655155978
135,-653.0785750271248
136,-653.0785834602705
137,-653.0785916574656
138,-653.0785996251722
139,-653.0786065852091
140,-653.0786133532396
141,-653.0786192195702
142,-653.0786248801385
143,-653.0786297644469
144,-653.0786344324788
145,-653.0786388864414
146,-653.0786426601798
147,-653.0786462424552
148,-653.0786495698641
