iteration,value
0,301.0494437445066
1,1173.6864912692877
2,128.21784704348048
3,-81.54276013890579
4,-89.7611442886052
5,-91.25279188772345
6,-91.71749380334595
7,-91.87398639983982
8,-91.94009530725504
9,-91.97472938312825
10,-92.01188004313613
11,-92.0305720207661
12,-92.04323098211248
13,-92.05242730911242
14,-92.05981572694007
15,-92.06589951640238
16,-92.07110015272092
17,-92.07570267661161
18,-92.07988816357538
19,-92.08368042695383
20,-92.08722283270228
21,-92.09055973872061
22,-92.09374793568041
23,-92.09681045609224
24,-92.09979312129657
25,-92.10271655090553
26,-92.1059072068781
27,-92.10906740428628
28,-92.11256804761572
29,-92.116477114224
30,-92.12087614934093
31,-92.12585952670968
32,-92.13157605037239
33,-92.13824731159896
34,-92.14615137009179
35,-92.15568751807926
36,-92.16741712290668
37,-92.18219483640333
38,-92.20121260943746
39,-92.2264405268325
40,-92.26106012595771
41,-92.30998526674071
42,-92.38124848458871
43,-92.48866116752454
44,-92.65519000734756
45,-92.91633424631814
46,-93.31884033732129
47,-93.90673380294314
48,-94.67447173581871
49,-95.54921258752177
50,-96.42792122693206
51,-97.24061814581923
52,-98.0600773921498
53,-98.87465292466827
54,-99.69358255205013
55,-100.57637882793712
56,-101.51887261481912
57,-102.47840252702863
58,-103.46390272871962
59,-104.54976163419136
60,-105.64064429557719
61,-106.75898215268067
62,-107.96972802141057
63,-109.15826149067587
64,-110.3929213032257
65,-111.58802967529866
66,-112.64352338801407
67,-113.69832463120177
68,-114.83455054320748
69,-116.0705766060229
70,-117.32081290043003
71,-118.80188024232184
72,-120.61280671493171
73,-123.04275910808882
74,-125.56308495559546
75,-127.77566654920109
76,-129.80889210740068
77,-131.81678006678203
78,-133.69704757088795
79,-135.4766121666034
80,-137.2579534339247
81,-138.94795536134987
82,-140.603720302413
83,-142.30670180182702
84,-144.0016175552878
85,-145.81568309726617
86,-147.8145828726597
87,-149.66415797421985
88,-151.5771408680504
89,-153.45783354998278
90,-155.09827576284377
91,-156.80563977692188
92,-158.6019417286015
93,-160.59899785910054
94,-162.6194015323031
95,-164.97509905913427
96,-167.86057168173224
97,-170.86308433492823
98,-174.42341811136606
99,-177.6095704958421
100,-180.54583429673372
101,-183.44590707753252
102,-186.25564350059298
103,-188.9288973600475
104,-191.64746219633597
105,-194.23515466588282
106,-196.90508797612608
107,-199.37468688947698
108,-201.97182539220069
109,-204.7112987512345
110,-207.3421785239852
111,-209.87018933784344
112,-212.4281625836468
113,-215.01879389357552
114,-217.5692444757839
115,-220.10850250393364
116,-223.03105373130234
117,-226.05651597667887
118,-229.49068193436932
119,-233.07878990403074
120,-236.88182128326068
121,-241.15263370286004
122,-245.14559035369342
123,-248.55567351755855
124,-251.89544594602123
125,-255.2372292656006
126,-258.6720548945681
127,-261.59966586882564
128,-264.55914152780343
129,-267.785980520392
130,-270.9868239384324
131,-274.57661229566935
132,-278.05831184764367
133,-281.35577460444085
134,-284.4404904156773
135,-287.61828011619843
136,-290.3815406309588
137,-293.58940335766005
138,-296.7210435474544
139,-299.897415788961
140,-303.11392752016917
141,-306.2524965790625
142,-309.8443299943548
143,-313.6209154941828
144,-317.2533281686922
145,-321.5896780281489
146,-326.44245401581355
147,-331.6425712539238
148,-336.59119570583636
149,-341.49709998328706
150,-346.4666083420298
151,-351.5282132361318
152,-356.1844330547884
153,-360.5270864231983
154,-365.34802604404376
155,-369.68856706564327
156,-374.1408655880038
157,-378.7212601831399
158,-383.3731463366796
159,-387.37553493178604
160,-391.01287454060247
161,-394.77242233806624
162,-398.1853804663518
163,-401.8437591607069
164,-405.55179394321533
165,-409.29698469218357
166,-413.2044934115346
167,-417.3756902893291
168,-421.5429674214768
169,-425.6621938743377
170,-430.5159370694127
171,-435.9161954626929
172,-441.1758668076611
173,-446.3263604549977
174,-451.4129487166556
175,-456.7292636484791
176,-462.0018907073529
177,-466.9430823809609
178,-471.43079204906076
179,-475.75800122234745
180,-480.80920343792286
181,-485.5158138712598
182,-490.01393002957275
183,-494.1784332894871
184,-498.6805736322808
185,-502.74826605697933
186,-507.29170620251443
187,-512.2469450708267
188,-517.2873347968292
189,-522.2689571800876
190,-526.9092149296308
191,-531.6203410123774
192,-536.2909689257881
193,-541.0886402858407
194,-546.0479253130211
195,-551.4917346302927
196,-557.3783880120518
197,-563.1596346886611
198,-568.9249991194699
199,-574.7718819272518
200,-580.9628162865043
201,-586.8543442420277
202,-592.8208631389783
203,-598.6375567946627
204,-604.9479376450687
205,-610.6392592214127
206,-616.9131202872346
207,-622.6259009522829
208,-627.6490970855081
209,-633.2907455927997
210,-639.5655580530549
211,-645.8418936060192
212,-652.2891152561506
213,-658.3465134562601
214,-664.0464312245282
215,-670.060017844967
216,-676.6329681822433
217,-684.3175293154181
218,-691.9779181017766
219,-700.0419649386571
220,-707.9374386548327
221,-715.7993977397374
222,-723.3147008360849
223,-730.7180183151116
224,-738.0551083464933
225,-745.4116677403787
226,-752.0670145837065
227,-758.8647592885759
228,-766.3053598647575
229,-773.1193136927595
230,-780.7038447221411
231,-788.1867916322757
232,-796.741153255195
233,-804.6110689689939
234,-812.6418250916616
235,-821.1657536756711
236,-829.2749360761726
237,-837.9253093816106
238,-846.5952597125826
239,-855.2036672136627
240,-863.1673373533014
241,-870.6405099690786
242,-877.9371671735654
243,-884.9383897957886
244,-891.7787556567397
245,-899.2363768477433
246,-907.1980157724479
247,-915.0834923721894
248,-922.8884594395341
249,-930.9735677132702
250,-938.6664904630175
251,-946.3082563290554
252,-953.3232613130948
253,-960.527047756423
254,-967.9506823473831
255,-975.7180603186799
256,-983.4381230381873
257,-991.0943233702366
258,-999.9317034509864
259,-1008.3145141196177
260,-1017.5525051744438
261,-1027.6521359650756
262,-1037.148862249407
263,-1046.9255609759823
264,-1057.2791867898973
265,-1067.1324748938794
266,-1078.5885467124663
267,-1088.8157102231585
268,-1097.7537524648367
269,-1109.0208425756543
270,-1115.201623111967
271,-1121.5746476619831
272,-1127.7014157741446
273,-1133.2981432412548
274,-1138.8459039167117
275,-1148.7326981825606
276,-1158.4582013423285
277,-1167.2539012867016
278,-1176.157187363753
279,-1186.044036807676
280,-1195.5599946270179
281,-1205.854299242424
282,-1215.9920575962617
283,-1225.8967845215543
284,-1236.3283742316448
285,-1246.5493863314368
286,-1257.0284510409585
287,-1266.1576306628206
288,-1274.7355528642877
289,-1283.7592509141948
290,-1292.7376120546392
291,-1302.901176859416
292,-1312.7113155696147
293,-1322.135321339931
294,-1331.7848426242062
295,-1341.7846369327272
296,-1352.9261308789908
297,-1363.9550151466851
298,-1375.202284483533
299,-1387.4818901384306
300,-1400.3098820125717
301,-1412.6288968431925
302,-1426.1734736607066
303,-1438.6034998892999
304,-1450.2451031836501
305,-1463.4819256095345
306,-1476.2776594702623
307,-1488.8382013773762
308,-1500.441375819296
309,-1512.2993127077045
310,-1525.4429623700212
311,-1538.4509515368409
312,-1552.8405107441843
313,-1565.2422768110991
314,-1577.2328701084127
315,-1591.3154277029194
316,-1607.3905973859376
317,-1623.0949736966336
318,-1639.5843420922024
319,-1653.4640680979198
320,-1668.9458890042124
321,-1684.6437311754196
322,-1699.989173407458
323,-1714.626248472635
324,-1731.119868134437
325,-1739.8639523400677
326,-1749.7172533329726
327,-1759.1510881722434
328,-1767.662954669507
329,-1776.3781026261179
330,-1793.1087449030413
331,-1808.433383385798
332,-1825.2823145307805
333,-1841.3119571340555
334,-1856.9812488150392
335,-1871.1161457630342
336,-1884.172318603759
337,-1898.66734173192
338,-1913.1860308676194
339,-1928.7837093934509
340,-1944.48238763043
341,-1961.968218460978
342,-1982.8380850817682
343,-2000.7225765168407
344,-2022.233360888023
345,-2041.5153850985014
346,-2064.2300911757743
347,-2084.846747571055
348,-2098.0338660953635
349,-2110.1833987668356
350,-2122.4124517413093
351,-2133.859470056819
352,-2145.894584009164
353,-2169.2421748508673
354,-2191.1397043257634
355,-2212.3673115804254
356,-2231.79987114688
357,-2251.09415026204
358,-2270.9001736436094
359,-2291.048334005474
360,-2311.8056032833097
361,-2333.1316835630564
362,-2353.159373329325
363,-2373.57839199469
364,-2394.098629952491
365,-2412.552835227247
