iteration,value
0,93.74984639734888
1,9.644261332060095
2,6.412473687191098
3,4.2201310246100885
4,2.5112609777349677
5,1.3494631827540484
6,0.7073607957829215
7,0.3850761622068152
8,0.10054403988455796
9,-0.09747882018777854
10,-0.2932611975555608
11,-0.38865441936780465
12,-0.42824922203002325
13,-0.48996461776639844
14,-0.5608355878448315
15,-0.5582467515885228
16,-0.6536399439077925
17,-0.7158142310373474
18,-0.7290590455905185
19,-0.7617905337838461
20,-0.8080995922915675
21,-0.8450998139513725
22,-0.8766809928805945
23,-0.8795216895653045
24,-0.8965824070345638
25,-0.9188318254870697
26,-0.9335855103736559
27,-0.9413077155515017
28,-0.9523668256035797
29,-0.9569775285081261
30,-0.9613821868356953
31,-0.9670383113590474
32,-0.9746585644232022
33,-0.9815455866238438
34,-0.987204770043909
35,-0.9903566618086845
36,-0.9945993390888044
37,-0.9975395707032965
38,-0.999201558677713
39,-1.0008067760642554
40,-1.0023361602742373
41,-1.003838021426812
42,-1.0051837630640115
43,-1.0064283261234241
44,-1.0076566016198445
45,-1.00848239565234
46,-1.0090378873663686
47,-1.0094599595620097
48,-1.0099665904914816
49,-1.0103596408311957
50,-1.0106239588899797
51,-1.010848706519324
52,-1.0109989477487622
53,-1.0112035116539497
54,-1.0113608830707526
55,-1.0114529748259535
56,-1.0115446745109498
57,-1.011650189651777
58,-1.0117303563808788
59,-1.0117981670517389
60,-1.0118633636714471
61,-1.011910647938718
62,-1.0119509669935025
63,-1.011984826049761
64,-1.0120128562320077
65,-1.0120368899048324
66,-1.0120577231115513
67,-1.0120756498714791
68,-1.0120916551228463
69,-1.0121066259271234
70,-1.0121195416703945
71,-1.0121306871288325
72,-1.0121396520147046
73,-1.0121481076426708
74,-1.012155006285128
75,-1.0121615217944357
76,-1.012166404810182
77,-1.0121703983852968
78,-1.0121740481008268
79,-1.0121775208279933
80,-1.01218078567018
81,-1.0121830738460613
82,-1.0121856650117682
83,-1.0121877802077286
84,-1.012189436033058
85,-1.0121909018485615
86,-1.012192142934385
87,-1.0121933471523017
88,-1.0121943710922994
89,-1.0121952069447446
90,-1.0121960437429265
91,-1.0121966686682549
92,-1.01219723405934
93,-1.0121977477937234
94,-1.012198222431839
95,-1.0121986536380605
96,-1.0121990405354269
97,-1.0121993908949127
98,-1.0121997160132337
99,-1.0122000021675241
100,-1.0122002667708148
101,-1.0122004955270816
102,-1.012200684483928
103,-1.012200860057515
104,-1.012201003817808
105,-1.0122011333914696
106,-1.0122012400392837
107,-1.0122013349804957
108,-1.0122014250619373
109,-1.0122015079942233
110,-1.0122015830495055
111,-1.0122016488230556
112,-1.0122017110839054
113,-1.0122017637143463
114,-1.012201806591085
115,-1.0122018460956972
116,-1.012201882295642
117,-1.0122019128535737
118,-1.0122019402674245
119,0.8459565215219267
120,1.882365997188952
121,1.807046877003279
122,-0.5714421422398603
123,-0.7773450959079002
124,-0.8860106739856128
125,-0.8654434878708467
126,-0.9125887408468691
127,-0.9479731132607496
128,-0.9575453124829827
129,-0.9717220174098888
130,-0.9846545170011188
131,-0.9939724135780197
132,-0.9978876614162815
133,-1.0009764707607944
134,-1.0035594268458947
135,-1.0053253682090582
136,-1.0065236872078658
137,-1.007056762324718
138,-1.0081091871224048
139,-1.0086826761602528
140,-1.009715250151846
141,-1.0103430465786396
142,-1.0105010975716415
143,-1.0108856255311296
144,-1.0111746307439955
145,-1.0113735137845148
146,-1.011538182729258
147,-1.0116815662137844
148,-1.0118108343862473
149,-1.0119011625664176
150,-1.011959469988866
151,-1.0119991231907444
152,-1.0120407894474164
153,-1.0120775562259485
154,-1.012102587745804
155,-1.0121221235790647
156,-1.012137011987076
157,-1.0121489175114264
158,-1.012156189471891
159,-1.0121632330467614
160,-1.012168857459638
161,-1.012174342383337
162,-1.012179029024134
163,-1.0121830023307121
164,-1.0121863267020597
165,-1.012188791616736
166,-1.012190844412382
167,-1.012192710956799
